dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,model,seconds,error,acc,logloss,auc,rmse,r2,coverage80,width80
breast_cancer,classification,398,30,none,0.0,0.0,0,tabicl_impute,1.6629502773284912,,0.9766081871345029,0.06760688126087189,0.9956191588785047,,,,
breast_cancer,classification,398,30,none,0.0,0.0,0,tabicl_indicator,0.4319174289703369,,0.9766081871345029,0.06760688126087189,0.9956191588785047,,,,
breast_cancer,classification,398,30,none,0.0,0.0,0,tabicl_aware_zero,0.7249889373779297,,0.9766081871345029,0.06760688126087189,0.9956191588785047,,,,
breast_cancer,classification,398,30,none,0.0,0.0,0,tabicl_aware,0.39441370964050293,,0.9824561403508771,0.064666248857975,0.9960572429906542,,,,
breast_cancer,classification,398,30,none,0.0,0.0,0,xgboost,0.8809738159179688,,0.9590643274853801,0.1011410653591156,0.991676401869159,,,,
breast_cancer,classification,398,30,none,0.0,0.0,0,catboost,0.46793365478515625,,0.9649122807017544,0.10222740564783224,0.9902161214953271,,,,
breast_cancer,classification,398,30,mcar,0.1,0.09607498535442296,0,tabicl_impute,0.3052816390991211,,0.9649122807017544,0.08752383291721344,0.994304906542056,,,,
breast_cancer,classification,398,30,mcar,0.1,0.09607498535442296,0,tabicl_indicator,0.4989132881164551,,0.9649122807017544,0.08508693426847458,0.9945969626168224,,,,
breast_cancer,classification,398,30,mcar,0.1,0.09607498535442296,0,tabicl_aware_zero,0.39800047874450684,,0.9649122807017544,0.08541304618120193,0.9948890186915887,,,,
breast_cancer,classification,398,30,mcar,0.1,0.09607498535442296,0,tabicl_aware,0.4324073791503906,,0.9707602339181286,0.08224798738956451,0.9948890186915887,,,,
breast_cancer,classification,398,30,mcar,0.1,0.09607498535442296,0,xgboost,0.07220315933227539,,0.9415204678362573,0.17127233743667603,0.9865654205607477,,,,
breast_cancer,classification,398,30,mcar,0.1,0.09607498535442296,0,catboost,0.39408397674560547,,0.9590643274853801,0.13709064618034844,0.9906542056074766,,,,
breast_cancer,classification,398,30,mcar,0.3,0.2915641476274165,0,tabicl_impute,0.3064289093017578,,0.9590643274853801,0.09860250353813171,0.9928446261682243,,,,
breast_cancer,classification,398,30,mcar,0.3,0.2915641476274165,0,tabicl_indicator,0.4213073253631592,,0.9707602339181286,0.09431756287813187,0.993428738317757,,,,
breast_cancer,classification,398,30,mcar,0.3,0.2915641476274165,0,tabicl_aware_zero,0.3256566524505615,,0.9590643274853801,0.09800011664628983,0.9931366822429907,,,,
breast_cancer,classification,398,30,mcar,0.3,0.2915641476274165,0,tabicl_aware,0.37973546981811523,,0.9590643274853801,0.09318246692419052,0.9932827102803738,,,,
breast_cancer,classification,398,30,mcar,0.3,0.2915641476274165,0,xgboost,0.11134004592895508,,0.9590643274853801,0.135573610663414,0.986857476635514,,,,
breast_cancer,classification,398,30,mcar,0.3,0.2915641476274165,0,catboost,0.38942790031433105,,0.9473684210526315,0.15029736136868296,0.9867114485981309,,,,
breast_cancer,classification,398,30,mcar,0.5,0.4955477445811365,0,tabicl_impute,0.30529260635375977,,0.9473684210526315,0.16001346707344055,0.983498831775701,,,,
breast_cancer,classification,398,30,mcar,0.5,0.4955477445811365,0,tabicl_indicator,0.3877115249633789,,0.9532163742690059,0.15293307602405548,0.9840829439252337,,,,
breast_cancer,classification,398,30,mcar,0.5,0.4955477445811365,0,tabicl_aware_zero,0.3218677043914795,,0.9473684210526315,0.16877348721027374,0.9837908878504673,,,,
breast_cancer,classification,398,30,mcar,0.5,0.4955477445811365,0,tabicl_aware,0.38155341148376465,,0.9473684210526315,0.1637258529663086,0.9846670560747663,,,,
breast_cancer,classification,398,30,mcar,0.5,0.4955477445811365,0,xgboost,0.08549141883850098,,0.9415204678362573,0.18961361050605774,0.9810163551401869,,,,
breast_cancer,classification,398,30,mcar,0.5,0.4955477445811365,0,catboost,0.35246825218200684,,0.9590643274853801,0.20336873671062425,0.9754672897196262,,,,
breast_cancer,classification,398,30,mar,0.1,0.10076157000585823,0,tabicl_impute,0.3055448532104492,,0.9766081871345029,0.09729135781526566,0.9915303738317757,,,,
breast_cancer,classification,398,30,mar,0.1,0.10076157000585823,0,tabicl_indicator,0.41321229934692383,,0.9707602339181286,0.10151210427284241,0.9913843457943925,,,,
breast_cancer,classification,398,30,mar,0.1,0.10076157000585823,0,tabicl_aware_zero,0.31995654106140137,,0.9649122807017544,0.09944218397140503,0.9913843457943925,,,,
breast_cancer,classification,398,30,mar,0.1,0.10076157000585823,0,tabicl_aware,0.3785982131958008,,0.9707602339181286,0.09777037054300308,0.9913843457943925,,,,
breast_cancer,classification,398,30,mar,0.1,0.10076157000585823,0,xgboost,0.06832242012023926,,0.9415204678362573,0.14091618359088898,0.9880257009345794,,,,
breast_cancer,classification,398,30,mar,0.1,0.10076157000585823,0,catboost,0.3874208927154541,,0.9590643274853801,0.12298111478571902,0.9899240654205608,,,,
breast_cancer,classification,398,30,mar,0.3,0.29548916227299354,0,tabicl_impute,0.35141777992248535,,0.9590643274853801,0.08631742745637894,0.9935747663551402,,,,
