dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,model,seconds,error,acc,logloss,auc,rmse,r2,coverage80,width80
openml:31,classification,700,20,none,0.0,0.0,0,tabicl_impute,1.7174317836761475,,0.78,0.4517080783843994,0.8355555555555556,,,,
openml:31,classification,700,20,none,0.0,0.0,0,tabicl_indicator,0.3773057460784912,,0.78,0.4517080783843994,0.8355555555555556,,,,
openml:31,classification,700,20,none,0.0,0.0,0,tabicl_aware_zero,0.7300097942352295,,0.78,0.4517080783843994,0.8355555555555556,,,,
openml:31,classification,700,20,none,0.0,0.0,0,tabicl_aware,0.35188889503479004,,0.7766666666666666,0.4486393630504608,0.8404232804232804,,,,
openml:31,classification,700,20,none,0.0,0.0,0,xgboost,0.8715002536773682,,0.7633333333333333,0.534471869468689,0.7864021164021162,,,,
openml:31,classification,700,20,none,0.0,0.0,0,catboost,0.38414525985717773,,0.7666666666666667,0.5321151045006128,0.7991534391534391,,,,
openml:31,classification,700,20,mcar,0.1,0.0967,0,tabicl_impute,0.29566454887390137,,0.7766666666666666,0.49084416031837463,0.7944973544973546,,,,
openml:31,classification,700,20,mcar,0.1,0.0967,0,tabicl_indicator,0.39296460151672363,,0.7866666666666666,0.49291524291038513,0.7929100529100528,,,,
openml:31,classification,700,20,mcar,0.1,0.0967,0,tabicl_aware_zero,0.30309200286865234,,0.77,0.49075937271118164,0.795079365079365,,,,
openml:31,classification,700,20,mcar,0.1,0.0967,0,tabicl_aware,0.38135242462158203,,0.7733333333333333,0.4900321066379547,0.7957671957671957,,,,
openml:31,classification,700,20,mcar,0.1,0.0967,0,xgboost,0.07491779327392578,,0.7333333333333333,0.6406463384628296,0.7326455026455027,,,,
openml:31,classification,700,20,mcar,0.1,0.0967,0,catboost,0.2889554500579834,,0.7466666666666667,0.6098280471293887,0.7395238095238096,,,,
openml:31,classification,700,20,mcar,0.3,0.2943,0,tabicl_impute,0.2864410877227783,,0.7266666666666667,0.5220973491668701,0.7541798941798943,,,,
