dataset,task,mechanism,rate,model,auc,acc,logloss,rmse,r2,coverage80,width80,auc_std,acc_std,logloss_std,rmse_std,r2_std,coverage80_std,width80_std,n_fits
openml:1590,classification,block,0.1,catboost,0.8970987356615318,0.86,0.3210719587932425,,,,,0.010287494308388306,0.012018504251546585,0.016461830460419526,,,,,3
openml:1590,classification,block,0.1,tabicl_aware,0.9074914654789262,0.8677777777777779,0.3033823569615682,,,,,0.0042937149498616595,0.004006168083848818,0.009104287634587553,,,,,3
openml:1590,classification,block,0.1,tabicl_aware_zero,0.9062479313833962,0.865925925925926,0.3043182094891866,,,,,0.004144611673780876,0.0032075014954979176,0.007475132495919523,,,,,3
openml:1590,classification,block,0.1,tabicl_impute,0.9066250106385997,0.8648148148148148,0.3034187952677409,,,,,0.004706312302772966,0.002312962221629011,0.0076848078613546995,,,,,3
openml:1590,classification,block,0.1,tabicl_indicator,0.9065079860421572,0.8648148148148148,0.30299390355745953,,,,,0.003348478475127597,0.0006415002990995562,0.005770871600306349,,,,,3
openml:1590,classification,block,0.1,xgboost,0.8949922929255676,0.8562962962962963,0.3294195532798767,,,,,0.00887447511095758,0.015329038582648093,0.014910287304324551,,,,,3
openml:1590,classification,block,0.3,catboost,0.8854884772144835,0.8496296296296296,0.33974235382547563,,,,,0.006220291708459433,0.009251848886516143,0.011061532818112231,,,,,3
openml:1590,classification,block,0.3,tabicl_aware,0.9013612679319508,0.8611111111111112,0.3145266075929006,,,,,0.010057456990115196,0.005091750772173109,0.01454560822377025,,,,,3
openml:1590,classification,block,0.3,tabicl_aware_zero,0.9014735642618703,0.8614814814814814,0.31433725357055664,,,,,0.01070485173083262,0.0016972502573910386,0.015598017653955841,,,,,3
openml:1590,classification,block,0.3,tabicl_impute,0.9014404663962098,0.8644444444444445,0.3135425349076589,,,,,0.009975739526139109,0.004444444444444473,0.01375609181497224,,,,,3
openml:1590,classification,block,0.3,tabicl_indicator,0.9012536998685542,0.862962962962963,0.31414473056793213,,,,,0.008975476995951108,0.009049475350274451,0.013066933532016213,,,,,3
openml:1590,classification,block,0.3,xgboost,0.8844837205783614,0.8503703703703703,0.347817728916804,,,,,0.0010309769391976184,0.009251848886516171,0.004320514368484903,,,,,3
openml:1590,classification,block,0.5,catboost,0.8549604244092031,0.8337037037037037,0.37818079738130334,,,,,0.014217991730183392,0.008339503888294566,0.011677058138999878,,,,,3
openml:1590,classification,block,0.5,tabicl_aware,0.864680558313711,0.84,0.36250487963358563,,,,,0.018485589695052682,0.0019245008972988051,0.017830183035618754,,,,,3
openml:1590,classification,block,0.5,tabicl_aware_zero,0.8619677153961814,0.8392592592592593,0.3657636245091756,,,,,0.016673927574788992,0.0023129622216290424,0.015851170971591878,,,,,3
openml:1590,classification,block,0.5,tabicl_impute,0.8597028757316991,0.8381481481481482,0.3677404820919037,,,,,0.02052025729626631,0.0027962349760262016,0.01876154025095281,,,,,3
openml:1590,classification,block,0.5,tabicl_indicator,0.8564380076976179,0.8344444444444444,0.3734574615955353,,,,,0.014478516333723714,0.00509175077217317,0.015961063310654233,,,,,3
openml:1590,classification,block,0.5,xgboost,0.848966164524762,0.8296296296296296,0.3843739330768585,,,,,0.02011349132245087,0.011129614223197543,0.023245595412289592,,,,,3
openml:1590,classification,mar,0.1,catboost,0.8833394800798131,0.8525925925925927,0.34462043095402844,,,,,0.015788756151609438,0.006119522830317879,0.024470595779462912,,,,,3
openml:1590,classification,mar,0.1,tabicl_aware,0.9034239742025778,0.8596296296296296,0.31181400020917255,,,,,0.008116493425296542,0.010501812502783568,0.011947890499891988,,,,,3
openml:1590,classification,mar,0.1,tabicl_aware_zero,0.9048412720928253,0.8603703703703705,0.30871254205703735,,,,,0.008737791199310296,0.009958762710925027,0.012441105898061654,,,,,3
openml:1590,classification,mar,0.1,tabicl_impute,0.9051805252158455,0.8577777777777778,0.30762021740277606,,,,,0.009515414718961291,0.01252158629953847,0.013713514543820547,,,,,3
