dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,acc,logloss,auc,rmse,r2,coverage80,width80
breast_cancer,classification,398,30,none,0.0,0.0,0,random,,tabicl_impute,1.5442521572113037,,0.9766081871345029,0.06760690688944813,0.9956191588785047,,,,
breast_cancer,classification,398,30,none,0.0,0.0,0,random,,tabicl_aware,0.40016698837280273,,0.9883040935672515,0.06306923124040685,0.9966413551401869,,,,
breast_cancer,classification,398,30,none,0.0,0.0,0,random,,catboost,1.1056139469146729,,0.9649122807017544,0.10222740564783224,0.9902161214953271,,,,
breast_cancer,classification,281,30,block,0.3,0.25061511423550087,0,source,0.0,tabicl_impute,0.2873096466064453,,0.9652777777777778,0.20641823401626958,0.9947530864197531,,,,
breast_cancer,classification,281,30,block,0.3,0.25061511423550087,0,source,0.0,tabicl_aware,0.3242611885070801,,0.9826388888888888,0.10099268839692775,0.9936213991769548,,,,
breast_cancer,classification,281,30,block,0.3,0.25061511423550087,0,source,0.0,catboost,0.40808916091918945,,0.6284722222222222,0.5898570041892726,0.9887860082304527,,,,
breast_cancer,classification,453,30,block,0.5,0.49279437609841825,0,source,2.0,tabicl_impute,0.2197709083557129,,0.9396551724137931,0.22211512816763732,0.9812042051608793,,,,
breast_cancer,classification,453,30,block,0.5,0.49279437609841825,0,source,2.0,tabicl_aware,0.34379053115844727,,0.9482758620689655,0.15834198488773946,0.9840713603058299,,,,
breast_cancer,classification,453,30,block,0.5,0.49279437609841825,0,source,2.0,catboost,0.3949000835418701,,0.8706896551724138,0.4882776161008615,0.9665498566422427,,,,
breast_cancer,classification,281,30,block_shift,0.3,0.2662565905096661,0,source,0.0,tabicl_impute,0.2055816650390625,,0.8611111111111112,0.2901145824683613,0.9789609053497943,,,,
breast_cancer,classification,281,30,block_shift,0.3,0.2662565905096661,0,source,0.0,tabicl_aware,0.28482627868652344,,0.8993055555555556,0.23545721520885068,0.9855452674897119,,,,
breast_cancer,classification,281,30,block_shift,0.3,0.2662565905096661,0,source,0.0,catboost,0.35967135429382324,,0.625,1.556388888634387,0.9433127572016461,,,,
breast_cancer,classification,453,30,block_shift,0.5,0.48728763913298184,0,source,2.0,tabicl_impute,0.22007036209106445,,0.8793103448275862,0.2295677349435257,0.9719655941382606,,,,
