dataset,task,mechanism,rate,model,auc,acc,logloss,rmse,r2,coverage80,width80,auc_std,acc_std,logloss_std,rmse_std,r2_std,coverage80_std,width80_std,n_fits
breast_cancer,classification,block,0.3,catboost,0.983174388609255,0.8507153880070547,0.32901583194154993,,,,,0.006183498970969549,0.1401028600389634,0.1795728047005969,,,,,5
breast_cancer,classification,block,0.3,tabicl_aware,0.9896691344559045,0.9607690854119426,0.12052322616981045,,,,,0.005243155377885991,0.021467766904341965,0.03257271599661827,,,,,5
breast_cancer,classification,block,0.3,tabicl_impute,0.98401157967131,0.9460692239858906,0.19701796391443216,,,,,0.012642789740621866,0.021247186502779868,0.057099032653589454,,,,,5
breast_cancer,classification,block,0.5,catboost,0.9717451765103012,0.7225366510883753,1.1290211316898116,,,,,0.015111775665014988,0.16920378917681217,0.7465869569469168,,,,,5
breast_cancer,classification,block,0.5,tabicl_aware,0.9885968194515353,0.9459554545071786,0.13700388418878875,,,,,0.007336630762874765,0.008277049102628203,0.038574362580090255,,,,,5
breast_cancer,classification,block,0.5,tabicl_impute,0.967664827978691,0.9227880089259399,0.30575067006782597,,,,,0.02981601113017225,0.03995952522544528,0.12158045669339569,,,,,5
breast_cancer,classification,block_shift,0.3,catboost,0.964045629262072,0.7481723985890653,0.7494980811434275,,,,,0.012185623770449159,0.10140261820338564,0.49399840369890385,,,,,5
breast_cancer,classification,block_shift,0.3,tabicl_aware,0.9860624753061661,0.9305739795918366,0.1794946231524746,,,,,0.0034125615289915664,0.02112028574287784,0.045680665666158415,,,,,5
breast_cancer,classification,block_shift,0.3,tabicl_impute,0.9820322083899826,0.9176045603426555,0.21309369673275652,,,,,0.00496853436358505,0.03843642551210527,0.05984259389821753,,,,,5
breast_cancer,classification,block_shift,0.5,catboost,0.9554497229454981,0.6922052966190897,1.006779841848834,,,,,0.04625194183519046,0.09278459098544173,0.47548949469350754,,,,,5
breast_cancer,classification,block_shift,0.5,tabicl_aware,0.9854163386586519,0.8936184160666919,0.2586643828778352,,,,,0.010048202602991645,0.02812306005282265,0.08046812649145849,,,,,5
breast_cancer,classification,block_shift,0.5,tabicl_impute,0.9625225917456799,0.8324034777483054,0.35948221548439224,,,,,0.03743444522225727,0.085038399799352,0.11386743549880585,,,,,5
breast_cancer,classification,none,0.0,catboost,0.9958528037383179,0.9730994152046784,0.07305147374447343,,,,,0.0034964491715948863,0.01212657389083493,0.029101893737828177,,,,,5
breast_cancer,classification,none,0.0,tabicl_aware,0.9966413551401869,0.9754385964912281,0.06217636766204802,,,,,0.0028782715164174925,0.015137051585432501,0.025660238858585305,,,,,5
breast_cancer,classification,none,0.0,tabicl_impute,0.996232476635514,0.9719298245614034,0.06505443202545838,,,,,0.002851101603239666,0.015137051585432501,0.027572839110277247,,,,,5
diabetes,regression,block,0.3,catboost,,,,68.61626022931166,0.2207032853890957,,,,,,3.763381583953372,0.08188481559887979,,,5
