dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,acc,logloss,auc,rmse,r2,coverage80,width80
breast_cancer,classification,398,30,none,0.0,0.0,0,random,,tabicl_impute,1.5544099807739258,,0.9766081871345029,0.06760689145416986,0.9956191588785047,,,,
breast_cancer,classification,398,30,none,0.0,0.0,0,random,,tabicl_aware,0.4025406837463379,,0.9883040935672515,0.06306923828936967,0.9966413551401869,,,,
breast_cancer,classification,398,30,none,0.0,0.0,0,random,,catboost,1.068453073501587,,0.9649122807017544,0.10222740564783224,0.9902161214953271,,,,
breast_cancer,classification,398,30,block,0.3,0.25061511423550087,0,random,,tabicl_impute,0.29233455657958984,,0.9707602339181286,0.09116685322458584,0.9931366822429907,,,,
breast_cancer,classification,398,30,block,0.3,0.25061511423550087,0,random,,tabicl_aware,0.33552026748657227,,0.9824561403508771,0.09125296243818158,0.9928446261682243,,,,
breast_cancer,classification,398,30,block,0.3,0.25061511423550087,0,random,,catboost,0.40440845489501953,,0.9532163742690059,0.13631493979037435,0.985981308411215,,,,
breast_cancer,classification,398,30,block,0.5,0.4859988283538371,0,random,,tabicl_impute,0.2189185619354248,,0.9766081871345029,0.09705961156715781,0.9912383177570093,,,,
breast_cancer,classification,398,30,block,0.5,0.4859988283538371,0,random,,tabicl_aware,0.34798192977905273,,0.9707602339181286,0.09758112404089764,0.9905081775700935,,,,
breast_cancer,classification,398,30,block,0.5,0.4859988283538371,0,random,,catboost,0.3889896869659424,,0.9532163742690059,0.12934479157934,0.983498831775701,,,,
breast_cancer,classification,398,30,block_shift,0.3,0.283128295254833,0,random,,tabicl_impute,0.2251288890838623,,0.9532163742690059,0.11165750728140768,0.9894859813084113,,,,
breast_cancer,classification,398,30,block_shift,0.3,0.283128295254833,0,random,,tabicl_aware,0.3064441680908203,,0.9590643274853801,0.11722266585752365,0.9884637850467289,,,,
breast_cancer,classification,398,30,block_shift,0.3,0.283128295254833,0,random,,catboost,0.41360044479370117,,0.9415204678362573,0.16248780767474594,0.9855432242990654,,,,
breast_cancer,classification,398,30,block_shift,0.5,0.49279437609841825,0,random,,tabicl_impute,0.22408413887023926,,0.9532163742690059,0.1258403087011544,0.990070093457944,,,,
breast_cancer,classification,398,30,block_shift,0.5,0.49279437609841825,0,random,,tabicl_aware,0.30301642417907715,,0.9532163742690059,0.13065370160686968,0.9905081775700935,,,,
breast_cancer,classification,398,30,block_shift,0.5,0.49279437609841825,0,random,,catboost,0.40280652046203613,,0.9415204678362573,0.19754588282900742,0.9799941588785046,,,,
breast_cancer,classification,398,30,none,0.0,0.0,1,random,,tabicl_impute,0.22787117958068848,,0.9532163742690059,0.08575637829523897,0.9931366822429907,,,,
breast_cancer,classification,398,30,none,0.0,0.0,1,random,,tabicl_aware,0.3051724433898926,,0.9649122807017544,0.08698214689075598,0.9926985981308412,,,,
breast_cancer,classification,398,30,none,0.0,0.0,1,random,,catboost,0.38810014724731445,,0.9707602339181286,0.08424755747681414,0.9957651869158879,,,,
breast_cancer,classification,398,30,block,0.3,0.2886350322202695,1,random,,tabicl_impute,0.2233905792236328,,0.9707602339181286,0.07746909338761308,0.9951810747663551,,,,
breast_cancer,classification,398,30,block,0.3,0.2886350322202695,1,random,,tabicl_aware,0.30701208114624023,,0.9707602339181286,0.07179888115261317,0.9954731308411215,,,,
breast_cancer,classification,398,30,block,0.3,0.2886350322202695,1,random,,catboost,0.4087064266204834,,0.9766081871345029,0.08609569262358058,0.9945969626168224,,,,
breast_cancer,classification,398,30,block,0.5,0.4677211482132396,1,random,,tabicl_impute,0.22256970405578613,,0.9590643274853801,0.10521615826596778,0.9910922897196262,,,,
breast_cancer,classification,398,30,block,0.5,0.4677211482132396,1,random,,tabicl_aware,0.3089160919189453,,0.9473684210526315,0.09942587097743842,0.9929906542056075,,,,
breast_cancer,classification,398,30,block,0.5,0.4677211482132396,1,random,,catboost,0.40192484855651855,,0.9473684210526315,0.12590120175443298,0.9894859813084111,,,,
breast_cancer,classification,398,30,block_shift,0.3,0.2895137668424136,1,random,,tabicl_impute,0.22424983978271484,,0.9649122807017544,0.10555137596108333,0.9908002336448598,,,,
breast_cancer,classification,398,30,block_shift,0.3,0.2895137668424136,1,random,,tabicl_aware,0.30925536155700684,,0.9532163742690059,0.11109452326799218,0.990070093457944,,,,
breast_cancer,classification,398,30,block_shift,0.3,0.2895137668424136,1,random,,catboost,0.4118220806121826,,0.9473684210526315,0.1390252360545659,0.9894859813084111,,,,
breast_cancer,classification,398,30,block_shift,0.5,0.4545401288810779,1,random,,tabicl_impute,0.22496819496154785,,0.9239766081871345,0.1317491101878629,0.9891939252336448,,,,
breast_cancer,classification,398,30,block_shift,0.5,0.4545401288810779,1,random,,tabicl_aware,0.345320463180542,,0.9473684210526315,0.12371897646769082,0.9896320093457944,,,,
breast_cancer,classification,398,30,block_shift,0.5,0.4545401288810779,1,random,,catboost,0.39531826972961426,,0.9590643274853801,0.1350670566907406,0.9878796728971962,,,,
breast_cancer,classification,398,30,none,0.0,0.0,2,random,,tabicl_impute,0.22886347770690918,,0.9707602339181286,0.04525282092996222,0.9982476635514018,,,,
breast_cancer,classification,398,30,none,0.0,0.0,2,random,,tabicl_aware,0.3079099655151367,,0.9707602339181286,0.0452175476952926,0.9986857476635514,,,,
breast_cancer,classification,398,30,none,0.0,0.0,2,random,,catboost,0.3857455253601074,,0.9883040935672515,0.03192124400626812,0.9994158878504673,,,,
breast_cancer,classification,398,30,block,0.3,0.26719390743995314,2,random,,tabicl_impute,0.22311639785766602,,0.9824561403508771,0.04314885323471291,0.9994158878504673,,,,
breast_cancer,classification,398,30,block,0.3,0.26719390743995314,2,random,,tabicl_aware,0.3036642074584961,,0.9883040935672515,0.04863673667043832,0.9989778037383178,,,,
breast_cancer,classification,398,30,block,0.3,0.26719390743995314,2,random,,catboost,0.40770936012268066,,0.9824561403508771,0.03789436998201892,0.9995619158878505,,,,
breast_cancer,classification,398,30,block,0.5,0.4555360281195079,2,random,,tabicl_impute,0.21886610984802246,,0.9883040935672515,0.03740076750578802,0.9995619158878505,,,,
breast_cancer,classification,398,30,block,0.5,0.4555360281195079,2,random,,tabicl_aware,0.3030376434326172,,0.9941520467836257,0.038130748333417556,0.9994158878504673,,,,
breast_cancer,classification,398,30,block,0.5,0.4555360281195079,2,random,,catboost,0.38105177879333496,,0.9824561403508771,0.03876832435011853,0.9992698598130841,,,,
breast_cancer,classification,398,30,block_shift,0.3,0.21745752782659636,2,random,,tabicl_impute,0.2187504768371582,,0.9766081871345029,0.07000111048008,0.9979556074766355,,,,
breast_cancer,classification,398,30,block_shift,0.3,0.21745752782659636,2,random,,tabicl_aware,0.29987049102783203,,0.9766081871345029,0.06966989208136018,0.9976635514018691,,,,
breast_cancer,classification,398,30,block_shift,0.3,0.21745752782659636,2,random,,catboost,0.41510486602783203,,0.9766081871345029,0.05987740559219739,0.997517523364486,,,,
breast_cancer,classification,398,30,block_shift,0.5,0.47685998828353837,2,random,,tabicl_impute,0.2192831039428711,,0.9941520467836257,0.051186659665684725,1.0,,,,
breast_cancer,classification,398,30,block_shift,0.5,0.47685998828353837,2,random,,tabicl_aware,0.3013784885406494,,0.9941520467836257,0.04989982781717926,1.0,,,,
breast_cancer,classification,398,30,block_shift,0.5,0.47685998828353837,2,random,,catboost,0.37186241149902344,,0.9766081871345029,0.06048846884616461,0.9979556074766355,,,,
breast_cancer,classification,398,30,none,0.0,0.0,3,random,,tabicl_impute,0.22194123268127441,,0.9649122807017544,0.09655373090790954,0.9941588785046729,,,,
breast_cancer,classification,398,30,none,0.0,0.0,3,random,,tabicl_aware,0.29905223846435547,,0.9590643274853801,0.08689142259045447,0.9951810747663552,,,,
breast_cancer,classification,398,30,none,0.0,0.0,3,random,,catboost,0.3857419490814209,,0.9590643274853801,0.09239252084032869,0.9959112149532711,,,,
