dataset,task,mechanism,rate,model,auc,acc,logloss,rmse,r2,coverage80,width80,auc_std,acc_std,logloss_std,rmse_std,r2_std,coverage80_std,width80_std,n_fits
breast_cancer,classification,block,0.3,catboost,0.9946553738317757,0.9695906432748538,0.08426841855355857,,,,,0.005175864856234263,0.011248762609164516,0.034974413806282245,,,,,5
breast_cancer,classification,block,0.3,tabicl_aware,0.9970210280373832,0.9801169590643275,0.06294594376062206,,,,,0.002773764035183129,0.006667692544439409,0.018343714318360033,,,,,5
breast_cancer,classification,block,0.3,tabicl_impute,0.9972546728971963,0.9777777777777776,0.062077563792453105,,,,,0.002946728564399394,0.007624798134739963,0.02105252423752339,,,,,5
breast_cancer,classification,block,0.5,catboost,0.9926109813084112,0.9614035087719298,0.09329918794837985,,,,,0.006180454467962829,0.01346299933710101,0.03686432224418953,,,,,5
breast_cancer,classification,block,0.5,tabicl_aware,0.9952394859813085,0.9707602339181285,0.07573086007310534,,,,,0.0034994972492129175,0.016540509501439708,0.02492369977032304,,,,,5
breast_cancer,classification,block,0.5,tabicl_impute,0.9952686915887851,0.9754385964912281,0.07461606917657111,,,,,0.003871258079352705,0.01124876260916456,0.027276972851103316,,,,,5
breast_cancer,classification,block_shift,0.3,catboost,0.9907418224299065,0.9497076023391813,0.1313002829524459,,,,,0.0045063315400221135,0.01580029951591383,0.041208639036262984,,,,,5
breast_cancer,classification,block_shift,0.3,tabicl_aware,0.9938960280373832,0.9660818713450292,0.0899049095625039,,,,,0.004315122327509544,0.01046113673684115,0.02246509061052835,,,,,5
breast_cancer,classification,block_shift,0.3,tabicl_impute,0.9935163551401869,0.9649122807017545,0.0917254723567806,,,,,0.0034099970020354574,0.011695906432748551,0.016848301317552983,,,,,5
breast_cancer,classification,block_shift,0.5,catboost,0.9896612149532711,0.9567251461988304,0.12867833865066888,,,,,0.006592644338517098,0.013462999337101007,0.04880521007957422,,,,,5
breast_cancer,classification,block_shift,0.5,tabicl_aware,0.9944509345794392,0.967251461988304,0.09305860333349293,,,,,0.004704732387145727,0.020088378991014854,0.03602257825773234,,,,,5
breast_cancer,classification,block_shift,0.5,tabicl_impute,0.9943341121495326,0.967251461988304,0.09222484020686014,,,,,0.00466764636354507,0.02852938226350985,0.03550307274829493,,,,,5
