dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,acc,logloss,auc,rmse,r2,coverage80,width80
breast_cancer,classification,398,30,none,0.0,0.0,0,random,,tabpfn25,2.2613730430603027,,0.9883040935672515,0.06641118228435516,0.9948890186915887,,,,
breast_cancer,classification,398,30,none,0.0,0.0,0,random,,tabpfn3,0.9985518455505371,,0.9883040935672515,0.07306552678346634,0.9945969626168224,,,,
breast_cancer,classification,281,30,block,0.3,0.25061511423550087,0,source,0.0,tabpfn25,0.4281437397003174,,0.96875,0.16419024765491486,0.9940843621399177,,,,
breast_cancer,classification,281,30,block,0.3,0.25061511423550087,0,source,0.0,tabpfn3,0.7700891494750977,,0.9791666666666666,0.08451756089925766,0.9952674897119341,,,,
breast_cancer,classification,453,30,block,0.5,0.49279437609841825,0,source,2.0,tabpfn25,0.4169423580169678,,0.9482758620689655,0.15574529767036438,0.9872570882446638,,,,
breast_cancer,classification,453,30,block,0.5,0.49279437609841825,0,source,2.0,tabpfn3,0.7599766254425049,,0.9396551724137931,0.15502747893333435,0.988212806626314,,,,
breast_cancer,classification,281,30,block_shift,0.3,0.2662565905096661,0,source,0.0,tabpfn25,0.41301822662353516,,0.9097222222222222,0.30625465512275696,0.9869855967078189,,,,
breast_cancer,classification,281,30,block_shift,0.3,0.2662565905096661,0,source,0.0,tabpfn3,0.7524738311767578,,0.8298611111111112,0.34774693846702576,0.9855709876543209,,,,
breast_cancer,classification,453,30,block_shift,0.5,0.48728763913298184,0,source,2.0,tabpfn25,0.42044591903686523,,0.9137931034482759,0.19045843183994293,0.9796113411914622,,,,
breast_cancer,classification,453,30,block_shift,0.5,0.48728763913298184,0,source,2.0,tabpfn3,0.7861158847808838,,0.9396551724137931,0.1721726357936859,0.9837527875119465,,,,
breast_cancer,classification,398,30,none,0.0,0.0,1,random,,tabpfn25,0.42792820930480957,,0.9649122807017544,0.09726382791996002,0.9921144859813085,,,,
breast_cancer,classification,398,30,none,0.0,0.0,1,random,,tabpfn3,0.7581713199615479,,0.9590643274853801,0.08501829206943512,0.9941588785046729,,,,
breast_cancer,classification,373,30,block,0.3,0.2886350322202695,1,source,0.0,tabpfn25,0.42436933517456055,,0.9744897959183674,0.10531473159790039,0.9927631578947369,,,,
breast_cancer,classification,373,30,block,0.3,0.2886350322202695,1,source,0.0,tabpfn3,0.7531905174255371,,0.9795918367346939,0.07954844832420349,0.99375,,,,
breast_cancer,classification,366,30,block,0.5,0.47855887521968365,1,source,0.0,tabpfn25,0.42165160179138184,,0.9408866995073891,0.23404528200626373,0.9936746987951808,,,,
breast_cancer,classification,366,30,block,0.5,0.47855887521968365,1,source,0.0,tabpfn3,0.7599174976348877,,0.9655172413793104,0.11270198225975037,0.9957831325301205,,,,
breast_cancer,classification,373,30,block_shift,0.3,0.3,1,source,0.0,tabpfn25,0.4305570125579834,,0.9540816326530612,0.1542520374059677,0.9887061403508772,,,,
breast_cancer,classification,373,30,block_shift,0.3,0.3,1,source,0.0,tabpfn3,0.7988200187683105,,0.9489795918367347,0.13447487354278564,0.9879385964912281,,,,
breast_cancer,classification,366,30,block_shift,0.5,0.44499121265377856,1,source,0.0,tabpfn25,0.42062854766845703,,0.9014778325123153,0.3704363703727722,0.9919678714859438,,,,
breast_cancer,classification,366,30,block_shift,0.5,0.44499121265377856,1,source,0.0,tabpfn3,0.8012678623199463,,0.9556650246305419,0.181553915143013,0.9934738955823293,,,,
