dataset,task,mechanism,rate,model,auc,acc,logloss,rmse,r2,coverage80,width80,auc_std,acc_std,logloss_std,rmse_std,r2_std,coverage80_std,width80_std,n_fits
breast_cancer,classification,block,0.3,tabpfn25,0.9918011459993339,0.9606331884605694,0.1451483815908432,,,,,0.0028996997284948586,0.016537092306029354,0.025638365766691283,,,,,5
breast_cancer,classification,block,0.3,tabpfn3,0.9929176775548438,0.9605524061476443,0.10004464983940124,,,,,0.0024518875342474573,0.019825858202063465,0.02187741141286154,,,,,5
breast_cancer,classification,block,0.5,tabpfn25,0.9905187493536998,0.94994892846617,0.20510635077953338,,,,,0.004990089577678915,0.012810984201018791,0.05607273867967208,,,,,5
breast_cancer,classification,block,0.5,tabpfn3,0.9911518759823765,0.9514332449160035,0.1282133549451828,,,,,0.00475799116562656,0.009580521775468684,0.03079824569861112,,,,,5
breast_cancer,classification,block_shift,0.3,tabpfn25,0.9878862685927953,0.9399223670949862,0.20357581973075867,,,,,0.002126710275037953,0.022468352702808565,0.0623612963228447,,,,,5
breast_cancer,classification,block_shift,0.3,tabpfn3,0.9871824248083445,0.9182427878558832,0.19964902698993683,,,,,0.0028653405278715642,0.05455246694940804,0.10089551789900653,,,,,5
breast_cancer,classification,block_shift,0.5,tabpfn25,0.9840721001648269,0.8727927666203529,0.3044507533311844,,,,,0.010101392367970025,0.07063126499483724,0.12179120905080955,,,,,5
breast_cancer,classification,block_shift,0.5,tabpfn3,0.9820548472782488,0.8851848764262558,0.28225735723972323,,,,,0.015224519178982694,0.06710627023465936,0.1194538395303645,,,,,5
breast_cancer,classification,none,0.0,tabpfn25,0.996232476635514,0.9777777777777779,0.06379001140594483,,,,,0.0035280204593578063,0.014561286079519002,0.029347066754622467,,,,,5
breast_cancer,classification,none,0.0,tabpfn3,0.9965537383177571,0.9789473684210526,0.06355763822793961,,,,,0.0026398379762795844,0.013462999337100993,0.026573025510718266,,,,,5
diabetes,regression,block,0.3,tabpfn25,,,,62.79798936911961,0.3489202009892975,,,,,,3.2003233129312862,0.0421594813066009,,,5
diabetes,regression,block,0.3,tabpfn3,,,,62.25589588627382,0.35962576672830854,,,,,,2.3661360196694536,0.03960246212849305,,,5
diabetes,regression,block,0.5,tabpfn25,,,,63.64867872655644,0.2963019548648738,,,,,,2.537342256005904,0.08389676984236093,,,5
diabetes,regression,block,0.5,tabpfn3,,,,63.979580333830185,0.28775353759001915,,,,,,3.1546389931086525,0.09985393688805302,,,5
diabetes,regression,block_shift,0.3,tabpfn25,,,,66.63776529474582,0.25721733780381906,,,,,,8.980513263144871,0.19592333806285553,,,5
diabetes,regression,block_shift,0.3,tabpfn3,,,,67.58566761860851,0.2366649614856998,,,,,,8.423018156381756,0.1835428921147666,,,5
diabetes,regression,block_shift,0.5,tabpfn25,,,,65.55911491136702,0.2567161037921106,,,,,,3.9323914473578494,0.06429066617541872,,,5
diabetes,regression,block_shift,0.5,tabpfn3,,,,65.45390968547443,0.2590409842969974,,,,,,3.8461868525847125,0.061829260622027885,,,5
diabetes,regression,none,0.0,tabpfn25,,,,56.32620697717423,0.4718285639380582,,,,,,3.379225956301082,0.04137998373838603,,,5
diabetes,regression,none,0.0,tabpfn3,,,,56.30941015906335,0.47204226946104055,,,,,,3.404400079984222,0.04344507099536665,,,5
openml:1063,classification,block,0.3,tabpfn25,0.8343069992455291,0.8263903609435893,0.38749477863311765,,,,,0.03892694233657851,0.03850886356092186,0.03640567868922248,,,,,5
