dataset,task,mechanism,rate,model,auc,acc,logloss,rmse,r2,coverage80,width80,auc_std,acc_std,logloss_std,rmse_std,r2_std,coverage80_std,width80_std,n_fits
breast_cancer,classification,block,0.3,tabpfn25,0.9969042056074766,0.983625730994152,0.06255670934915543,,,,,0.003332192151785814,0.0048927486931817565,0.020801904286868914,,,,,5
breast_cancer,classification,block,0.3,tabpfn3,0.9966705607476636,0.9777777777777779,0.06297638081014156,,,,,0.0035700794094074926,0.013335385088878809,0.02833519027433542,,,,,5
breast_cancer,classification,block,0.5,tabpfn25,0.9959696261682243,0.9777777777777776,0.07190379947423935,,,,,0.0039799003285298845,0.016227411608785474,0.024560616611408695,,,,,5
breast_cancer,classification,block,0.5,tabpfn3,0.9961740654205608,0.9695906432748538,0.0707822434604168,,,,,0.003332192151785715,0.01724898386403815,0.025957292107761588,,,,,5
breast_cancer,classification,block_shift,0.3,tabpfn25,0.9943341121495328,0.9719298245614034,0.08752623945474625,,,,,0.003075961976905763,0.013961796943056505,0.015851043945178608,,,,,5
breast_cancer,classification,block_shift,0.3,tabpfn3,0.9935747663551402,0.9695906432748538,0.08961797058582306,,,,,0.00408095461813146,0.011984737737964423,0.019183439487515715,,,,,5
breast_cancer,classification,block_shift,0.5,tabpfn25,0.9949182242990654,0.9695906432748538,0.08640370890498161,,,,,0.0037930765141937187,0.01674598954769164,0.02597375314369993,,,,,5
breast_cancer,classification,block_shift,0.5,tabpfn3,0.9952394859813085,0.967251461988304,0.08367835208773614,,,,,0.004512242725946071,0.028228113183969953,0.031683582816034,,,,,5
breast_cancer,classification,none,0.0,tabpfn25,0.996232476635514,0.9777777777777779,0.06379001140594483,,,,,0.0035280204593578063,0.014561286079519002,0.029347066754622467,,,,,5
breast_cancer,classification,none,0.0,tabpfn3,0.9965537383177571,0.9789473684210526,0.06355763822793961,,,,,0.0026398379762795844,0.013462999337100993,0.026573025510718266,,,,,5
diabetes,regression,block,0.3,tabpfn25,,,,59.126698922592254,0.4182738846147925,,,,,,2.9873741427203107,0.030904088257731648,,,5
diabetes,regression,block,0.3,tabpfn3,,,,58.8580298553489,0.4235876568027336,,,,,,2.7573209874099236,0.02535098412799463,,,5
diabetes,regression,block,0.5,tabpfn25,,,,64.84039314733259,0.30033112987199806,,,,,,3.555744470217308,0.043766908806897806,,,5
diabetes,regression,block,0.5,tabpfn3,,,,64.21331892010173,0.31405013649878805,,,,,,3.4808667052171676,0.03676035159993209,,,5
diabetes,regression,block_shift,0.3,tabpfn25,,,,59.03032878844543,0.4189211224311505,,,,,,0.4481623706571159,0.03316091917215761,,,5
diabetes,regression,block_shift,0.3,tabpfn3,,,,58.553522455028656,0.4279190043934803,,,,,,0.24462135171607885,0.039170966832640854,,,5
diabetes,regression,block_shift,0.5,tabpfn25,,,,64.1097696525145,0.3160017576852322,,,,,,2.955426005063273,0.031734641454566025,,,5
