family,dim,n_train,seed,model,nrmse,time,error
gp_short,1,300,0,tabicl_released,0.13100813958377164,2.137122869491577,
gp_short,1,300,0,tabicl_m,0.11588676444993738,0.3569483757019043,
gp_short,1,300,1,tabicl_released,0.03500525775514773,0.2808372974395752,
gp_short,1,300,1,tabicl_m,0.03377954920293432,0.3025503158569336,
gp_short,1,300,2,tabicl_released,0.01972664742060161,0.22412872314453125,
gp_short,1,300,2,tabicl_m,0.012373275238061003,0.26821446418762207,
gp_short,1,1000,0,tabicl_released,0.01044553833520956,0.24521875381469727,
gp_short,1,1000,0,tabicl_m,0.010880070379745185,0.2905094623565674,
gp_short,1,1000,1,tabicl_released,0.09455327719675283,0.2494189739227295,
gp_short,1,1000,1,tabicl_m,0.09255166945647074,0.290386438369751,
gp_short,1,1000,2,tabicl_released,0.01157106036448758,0.2784090042114258,
gp_short,1,1000,2,tabicl_m,0.011287206127237033,0.29405665397644043,
gp_short,1,3000,0,tabicl_released,0.01587602465536632,0.3107461929321289,
gp_short,1,3000,0,tabicl_m,0.01666719400983657,0.3650240898132324,
gp_short,1,3000,1,tabicl_released,0.09521983022159711,0.2527275085449219,
gp_short,1,3000,1,tabicl_m,0.034076286595415846,0.2918117046356201,
gp_short,1,3000,2,tabicl_released,0.08906286859658236,0.24698686599731445,
gp_short,1,3000,2,tabicl_m,0.03108628778364619,0.29285502433776855,
gp_short,8,300,0,tabicl_released,1.0156902760293205,0.24192023277282715,
gp_short,8,300,0,tabicl_m,1.0140837900090276,0.29123497009277344,
gp_short,8,300,1,tabicl_released,1.006845882761388,0.24282193183898926,
gp_short,8,300,1,tabicl_m,1.0067392503622674,0.2882540225982666,
gp_short,8,300,2,tabicl_released,1.0058283588940482,0.23972654342651367,
gp_short,8,300,2,tabicl_m,1.0063727322562757,0.2811872959136963,
gp_short,8,1000,0,tabicl_released,1.007180241643603,0.27843785285949707,
gp_short,8,1000,0,tabicl_m,1.0054894233489622,0.3226196765899658,
gp_short,8,1000,1,tabicl_released,0.9996937555884587,0.275378942489624,
gp_short,8,1000,1,tabicl_m,1.0002117181876586,0.32184743881225586,
gp_short,8,1000,2,tabicl_released,1.0016819652688334,0.27567410469055176,
gp_short,8,1000,2,tabicl_m,1.0007467809266544,0.31987833976745605,
gp_short,8,3000,0,tabicl_released,1.0005485470279776,0.31458234786987305,
gp_short,8,3000,0,tabicl_m,1.001197625919872,0.3366100788116455,
gp_short,8,3000,1,tabicl_released,0.9999938765785711,0.28699493408203125,
gp_short,8,3000,1,tabicl_m,0.9997019621287896,0.33301448822021484,
gp_short,8,3000,2,tabicl_released,1.000687272592861,0.2979869842529297,
gp_short,8,3000,2,tabicl_m,1.000383969620835,0.34032177925109863,
gp_long,1,300,0,tabicl_released,0.10104737998916047,0.22487187385559082,
gp_long,1,300,0,tabicl_m,0.13087560698889875,0.2706587314605713,
gp_long,1,300,1,tabicl_released,0.015165651928449955,0.22319865226745605,
gp_long,1,300,1,tabicl_m,0.013680301408368947,0.27189207077026367,
gp_long,1,300,2,tabicl_released,0.011075570612040146,0.22218561172485352,
gp_long,1,300,2,tabicl_m,0.011161675089921833,0.2672395706176758,
gp_long,1,1000,0,tabicl_released,0.056184764976003825,0.24330353736877441,
gp_long,1,1000,0,tabicl_m,0.05909269159483164,0.2898719310760498,
gp_long,1,1000,1,tabicl_released,0.010394834310425718,0.24367570877075195,
gp_long,1,1000,1,tabicl_m,0.010874995751272274,0.2894713878631592,
gp_long,1,1000,2,tabicl_released,0.024054217082839634,0.24495148658752441,
gp_long,1,1000,2,tabicl_m,0.012936664168414153,0.29091525077819824,
gp_long,1,3000,0,tabicl_released,0.010412840782721259,0.2467055320739746,
gp_long,1,3000,0,tabicl_m,0.011960772909576221,0.2946624755859375,
gp_long,1,3000,1,tabicl_released,0.016339423478271803,0.2776305675506592,
gp_long,1,3000,1,tabicl_m,0.010676583464115234,0.29657506942749023,
gp_long,1,3000,2,tabicl_released,0.012220983032776925,0.25476598739624023,
gp_long,1,3000,2,tabicl_m,0.011597549305494637,0.2977602481842041,
gp_long,8,300,0,tabicl_released,0.4360064305962664,0.2410261631011963,
gp_long,8,300,0,tabicl_m,0.4544075198113329,0.2884180545806885,
gp_long,8,300,1,tabicl_released,0.5653327914558646,0.2389850616455078,
gp_long,8,300,1,tabicl_m,0.5641410177797334,0.28656768798828125,
gp_long,8,300,2,tabicl_released,0.6216537882638888,0.23981237411499023,
gp_long,8,300,2,tabicl_m,0.6190171916949057,0.28697729110717773,
gp_long,8,1000,0,tabicl_released,0.33066123392770524,0.27539825439453125,
gp_long,8,1000,0,tabicl_m,0.33864682113052397,0.32566356658935547,
gp_long,8,1000,1,tabicl_released,0.3895030025343366,0.2787313461303711,
gp_long,8,1000,1,tabicl_m,0.38122593699145774,0.32284021377563477,
gp_long,8,1000,2,tabicl_released,0.31414770417908955,0.27538347244262695,
gp_long,8,1000,2,tabicl_m,0.32761669519465647,0.3243241310119629,
gp_long,8,3000,0,tabicl_released,0.20625446407990058,0.287182092666626,
gp_long,8,3000,0,tabicl_m,0.19967285205608157,0.33905458450317383,
gp_long,8,3000,1,tabicl_released,0.2041798368192334,0.28684425354003906,
gp_long,8,3000,1,tabicl_m,0.21591978517346516,0.33841490745544434,
gp_long,8,3000,2,tabicl_released,0.22453106693748473,0.3190145492553711,
gp_long,8,3000,2,tabicl_m,0.2263330097799033,0.33896350860595703,
sine_mlp,1,300,0,tabicl_released,0.011361444708331725,0.20654749870300293,
sine_mlp,1,300,0,tabicl_m,0.01479511962946762,0.2665243148803711,
sine_mlp,1,300,1,tabicl_released,0.050957717887875766,0.20389866828918457,
sine_mlp,1,300,1,tabicl_m,0.043126527409113644,0.2665274143218994,
sine_mlp,1,300,2,tabicl_released,0.04137925367635106,0.20333480834960938,
sine_mlp,1,300,2,tabicl_m,0.03869424313349219,0.2664194107055664,
sine_mlp,1,1000,0,tabicl_released,0.010379549580200053,0.22507452964782715,
sine_mlp,1,1000,0,tabicl_m,0.010537906306511748,0.28946447372436523,
sine_mlp,1,1000,1,tabicl_released,0.013963869880684914,0.22584819793701172,
sine_mlp,1,1000,1,tabicl_m,0.01212085584502937,0.29161596298217773,
sine_mlp,1,1000,2,tabicl_released,0.010744042695894414,0.22545719146728516,
sine_mlp,1,1000,2,tabicl_m,0.01175938296084282,0.2920100688934326,
sine_mlp,1,3000,0,tabicl_released,0.018539035474949055,0.22860383987426758,
sine_mlp,1,3000,0,tabicl_m,0.011426144617534639,0.2971475124359131,
sine_mlp,1,3000,1,tabicl_released,0.011096666287131029,0.2303004264831543,
sine_mlp,1,3000,1,tabicl_m,0.012470018399107741,0.2984120845794678,
