family,dim,n_train,seed,model,nrmse,time,error
gp_short,1,300,0,tabpfn3,0.19383175713397724,2.870504140853882,
gp_short,1,300,1,tabpfn3,0.03562688631173014,0.744232177734375,
gp_short,1,300,2,tabpfn3,0.01877810945504423,0.6619687080383301,
gp_short,1,1000,0,tabpfn3,0.010775386050062067,0.6737451553344727,
gp_short,1,1000,1,tabpfn3,0.04705935006020988,0.7036299705505371,
gp_short,1,1000,2,tabpfn3,0.011098743102927192,0.6683886051177979,
gp_short,1,3000,0,tabpfn3,0.015955751484630694,0.7480525970458984,
gp_short,1,3000,1,tabpfn3,0.03276305538619231,0.7306318283081055,
gp_short,1,3000,2,tabpfn3,0.07540917471161052,0.7296242713928223,
gp_short,8,300,0,tabpfn3,1.0026468825106767,0.6751863956451416,
gp_short,8,300,1,tabpfn3,1.0027432567459345,0.7197537422180176,
gp_short,8,300,2,tabpfn3,1.001561379561658,0.693058967590332,
gp_short,8,1000,0,tabpfn3,1.0025477296917389,0.7016439437866211,
gp_short,8,1000,1,tabpfn3,1.0006189194353372,0.6763789653778076,
gp_short,8,1000,2,tabpfn3,1.0003066027973566,0.6784834861755371,
gp_short,8,3000,0,tabpfn3,1.0005605950608207,0.7800271511077881,
gp_short,8,3000,1,tabpfn3,1.00036092969903,0.7828209400177002,
gp_short,8,3000,2,tabpfn3,1.000244653487347,0.7819986343383789,
gp_long,1,300,0,tabpfn3,0.019502787639817387,0.6806850433349609,
gp_long,1,300,1,tabpfn3,0.01895569927730468,0.7613224983215332,
gp_long,1,300,2,tabpfn3,0.011241059091953932,0.692511796951294,
gp_long,1,1000,0,tabpfn3,0.04576521652885412,0.6736116409301758,
gp_long,1,1000,1,tabpfn3,0.010296240861118286,0.6786718368530273,
gp_long,1,1000,2,tabpfn3,0.010171829116654239,0.679633617401123,
gp_long,1,3000,0,tabpfn3,0.010167773281928642,0.7357854843139648,
gp_long,1,3000,1,tabpfn3,0.010750943525572374,0.7297077178955078,
gp_long,1,3000,2,tabpfn3,0.01044500259601642,0.7316310405731201,
gp_long,8,300,0,tabpfn3,0.42138699856370004,0.728919267654419,
gp_long,8,300,1,tabpfn3,0.5833666047087929,0.6780593395233154,
gp_long,8,300,2,tabpfn3,0.5948980779041294,0.716153621673584,
gp_long,8,1000,0,tabpfn3,0.330341285054304,0.6915779113769531,
gp_long,8,1000,1,tabpfn3,0.3600456490026019,0.6906681060791016,
gp_long,8,1000,2,tabpfn3,0.29306974887017334,0.6849124431610107,
gp_long,8,3000,0,tabpfn3,0.18354534406785206,0.7912998199462891,
gp_long,8,3000,1,tabpfn3,0.21476409316962175,0.77406907081604,
gp_long,8,3000,2,tabpfn3,0.19583943894896513,0.7743887901306152,
sine_mlp,1,300,0,tabpfn3,0.014173964130242665,0.6670057773590088,
sine_mlp,1,300,1,tabpfn3,0.04372591146500215,0.6631052494049072,
sine_mlp,1,300,2,tabpfn3,0.04331434048917132,0.7115211486816406,
sine_mlp,1,1000,0,tabpfn3,0.010328335365943294,0.6821565628051758,
sine_mlp,1,1000,1,tabpfn3,0.011929419781014564,0.6698517799377441,
sine_mlp,1,1000,2,tabpfn3,0.010167422146511416,0.6815743446350098,
sine_mlp,1,3000,0,tabpfn3,0.019971707013139845,0.7296457290649414,
sine_mlp,1,3000,1,tabpfn3,0.010297155199033764,0.737896203994751,
sine_mlp,1,3000,2,tabpfn3,0.010468620121170412,0.7413389682769775,
sine_mlp,8,300,0,tabpfn3,0.40954988102851425,0.6637308597564697,
sine_mlp,8,300,1,tabpfn3,0.45494514209813264,0.6656136512756348,
sine_mlp,8,300,2,tabpfn3,0.5062203044130543,0.6775546073913574,
sine_mlp,8,1000,0,tabpfn3,0.32362261147534294,0.7155485153198242,
sine_mlp,8,1000,1,tabpfn3,0.2370578734947912,0.671205997467041,
sine_mlp,8,1000,2,tabpfn3,0.31112460621625015,0.6762921810150146,
sine_mlp,8,3000,0,tabpfn3,0.20681595954187929,0.7955381870269775,
sine_mlp,8,3000,1,tabpfn3,0.20091810918836517,0.7739129066467285,
sine_mlp,8,3000,2,tabpfn3,0.12402745182997069,0.7868912220001221,
product,1,300,0,tabpfn3,0.011517181713369726,0.6866602897644043,
product,1,300,1,tabpfn3,0.01087435333260129,0.6629204750061035,
product,1,300,2,tabpfn3,0.010469217547753762,0.6784017086029053,
product,1,1000,0,tabpfn3,0.010461437820190937,0.6720082759857178,
product,1,1000,1,tabpfn3,0.012197371208653936,0.7236695289611816,
product,1,1000,2,tabpfn3,0.010055668715392128,0.6905307769775391,
product,1,3000,0,tabpfn3,0.009511616830470172,0.7325053215026855,
product,1,3000,1,tabpfn3,0.010134269622529833,0.7355294227600098,
product,1,3000,2,tabpfn3,0.010027045803740123,0.7309572696685791,
product,8,300,0,tabpfn3,0.053885125562603935,0.6710362434387207,
product,8,300,1,tabpfn3,0.019059135184141672,0.6734976768493652,
product,8,300,2,tabpfn3,0.09724961614555024,0.6612424850463867,
