dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,acc,logloss,auc,rmse,r2,coverage80,width80
breast_cancer,classification,398,30,none,0.0,0.0,0,random,,tabicl_impute,1.6103904247283936,,0.9766081871345029,0.06760688126087189,0.9956191588785047,,,,
breast_cancer,classification,398,30,none,0.0,0.0,0,random,,tabicl_indicator,0.43308329582214355,,0.9766081871345029,0.06760688126087189,0.9956191588785047,,,,
breast_cancer,classification,398,30,none,0.0,0.0,0,random,,tabicl_iterimpute,0.38492870330810547,,0.9766081871345029,0.06760688126087189,0.9956191588785047,,,,
breast_cancer,classification,398,30,none,0.0,0.0,0,random,,tabicl_knnimpute,0.3483281135559082,,0.9766081871345029,0.06760688126087189,0.9956191588785047,,,,
breast_cancer,classification,398,30,none,0.0,0.0,0,random,,tabicl_aware_zero,0.6987228393554688,,0.9766081871345029,0.06760688126087189,0.9956191588785047,,,,
breast_cancer,classification,398,30,none,0.0,0.0,0,random,,tabicl_aware,0.36192870140075684,,0.9824561403508771,0.064666248857975,0.9960572429906542,,,,
breast_cancer,classification,398,30,none,0.0,0.0,0,random,,xgboost,0.8463742733001709,,0.9590643274853801,0.1011410653591156,0.991676401869159,,,,
breast_cancer,classification,398,30,none,0.0,0.0,0,random,,catboost,0.48703575134277344,,0.9649122807017544,0.10222740564783224,0.9902161214953271,,,,
breast_cancer,classification,281,30,block,0.3,0.25061511423550087,0,source,0.0,tabicl_impute,0.2812962532043457,,0.9652777777777778,0.2064182013273239,0.9947530864197531,,,,
breast_cancer,classification,281,30,block,0.3,0.25061511423550087,0,source,0.0,tabicl_indicator,0.2876095771789551,,0.9652777777777778,0.2064182013273239,0.9947530864197531,,,,
breast_cancer,classification,281,30,block,0.3,0.25061511423550087,0,source,0.0,tabicl_iterimpute,0.3197755813598633,,0.9826388888888888,0.15319415926933289,0.9901748971193416,,,,
breast_cancer,classification,281,30,block,0.3,0.25061511423550087,0,source,0.0,tabicl_knnimpute,0.3129723072052002,,0.9513888888888888,0.11988881230354309,0.9932098765432099,,,,
breast_cancer,classification,281,30,block,0.3,0.25061511423550087,0,source,0.0,tabicl_aware_zero,0.29633331298828125,,0.96875,0.20980694890022278,0.9950102880658436,,,,
breast_cancer,classification,281,30,block,0.3,0.25061511423550087,0,source,0.0,tabicl_aware,0.35874128341674805,,0.96875,0.1728406548500061,0.9952674897119341,,,,
breast_cancer,classification,281,30,block,0.3,0.25061511423550087,0,source,0.0,xgboost,0.06265926361083984,,0.8368055555555556,0.408294677734375,0.9897633744855967,,,,
breast_cancer,classification,281,30,block,0.3,0.25061511423550087,0,source,0.0,catboost,0.37910914421081543,,0.6284722222222222,0.5898570041892726,0.9887860082304527,,,,
breast_cancer,classification,453,30,block,0.5,0.49279437609841825,0,source,2.0,tabicl_impute,0.3082141876220703,,0.9396551724137931,0.22577650845050812,0.9837527875119464,,,,
breast_cancer,classification,453,30,block,0.5,0.49279437609841825,0,source,2.0,tabicl_indicator,0.4626743793487549,,0.9224137931034483,0.2502860426902771,0.9837527875119465,,,,
breast_cancer,classification,453,30,block,0.5,0.49279437609841825,0,source,2.0,tabicl_iterimpute,0.4863746166229248,,0.8017241379310345,0.5118438601493835,0.8626951258362535,,,,
breast_cancer,classification,453,30,block,0.5,0.49279437609841825,0,source,2.0,tabicl_knnimpute,0.38175106048583984,,0.9310344827586207,0.20863580703735352,0.9783370500159286,,,,
breast_cancer,classification,453,30,block,0.5,0.49279437609841825,0,source,2.0,tabicl_aware_zero,0.38552284240722656,,0.9310344827586207,0.23992642760276794,0.9827970691302962,,,,
breast_cancer,classification,453,30,block,0.5,0.49279437609841825,0,source,2.0,tabicl_aware,0.40774965286254883,,0.9396551724137931,0.1684536635875702,0.9840713603058299,,,,
breast_cancer,classification,453,30,block,0.5,0.49279437609841825,0,source,2.0,xgboost,0.08073306083679199,,0.9051724137931034,0.2273293435573578,0.9745141764893278,,,,
breast_cancer,classification,453,30,block,0.5,0.49279437609841825,0,source,2.0,catboost,0.41855525970458984,,0.896551724137931,0.4940767199568278,0.9620898375278751,,,,
breast_cancer,classification,281,30,block_shift,0.3,0.2662565905096661,0,source,0.0,tabicl_impute,0.27046775817871094,,0.8611111111111112,0.29011452198028564,0.9789609053497943,,,,
breast_cancer,classification,281,30,block_shift,0.3,0.2662565905096661,0,source,0.0,tabicl_indicator,0.26846885681152344,,0.8611111111111112,0.29011452198028564,0.9789609053497943,,,,
breast_cancer,classification,281,30,block_shift,0.3,0.2662565905096661,0,source,0.0,tabicl_iterimpute,0.296252965927124,,0.8784722222222222,0.2600932717323303,0.9806069958847736,,,,
breast_cancer,classification,281,30,block_shift,0.3,0.2662565905096661,0,source,0.0,tabicl_knnimpute,0.29024505615234375,,0.7395833333333334,0.696524441242218,0.9661522633744856,,,,
breast_cancer,classification,281,30,block_shift,0.3,0.2662565905096661,0,source,0.0,tabicl_aware_zero,0.27795934677124023,,0.8368055555555556,0.34547725319862366,0.9746399176954733,,,,
breast_cancer,classification,281,30,block_shift,0.3,0.2662565905096661,0,source,0.0,tabicl_aware,0.3390781879425049,,0.84375,0.3181637227535248,0.979783950617284,,,,
breast_cancer,classification,281,30,block_shift,0.3,0.2662565905096661,0,source,0.0,xgboost,0.05048727989196777,,0.375,3.0819735527038574,0.9587448559670781,,,,
breast_cancer,classification,281,30,block_shift,0.3,0.2662565905096661,0,source,0.0,catboost,0.33988022804260254,,0.625,1.556388888634387,0.9433127572016461,,,,
breast_cancer,classification,453,30,block_shift,0.5,0.48728763913298184,0,source,2.0,tabicl_impute,0.30734896659851074,,0.8879310344827587,0.2525360584259033,0.9719655941382606,,,,
breast_cancer,classification,453,30,block_shift,0.5,0.48728763913298184,0,source,2.0,tabicl_indicator,0.3890495300292969,,0.896551724137931,0.25005510449409485,0.9741956036954443,,,,
breast_cancer,classification,453,30,block_shift,0.5,0.48728763913298184,0,source,2.0,tabicl_iterimpute,1.1892821788787842,,0.8362068965517241,0.4308200776576996,0.9662312838483593,,,,
breast_cancer,classification,453,30,block_shift,0.5,0.48728763913298184,0,source,2.0,tabicl_knnimpute,0.3556101322174072,,0.8706896551724138,0.2639707326889038,0.9684612934055432,,,,
breast_cancer,classification,453,30,block_shift,0.5,0.48728763913298184,0,source,2.0,tabicl_aware_zero,0.32165002822875977,,0.8879310344827587,0.25606226921081543,0.972284166932144,,,,
breast_cancer,classification,453,30,block_shift,0.5,0.48728763913298184,0,source,2.0,tabicl_aware,0.3852419853210449,,0.8879310344827587,0.2522819936275482,0.9713284485504937,,,,
breast_cancer,classification,453,30,block_shift,0.5,0.48728763913298184,0,source,2.0,xgboost,0.3530712127685547,,0.8879310344827587,0.3191320598125458,0.9640012742911755,,,,
breast_cancer,classification,453,30,block_shift,0.5,0.48728763913298184,0,source,2.0,catboost,0.4211916923522949,,0.8448275862068966,0.4444745329841518,0.9716470213443771,,,,
breast_cancer,classification,398,30,none,0.0,0.0,1,random,,tabicl_impute,0.3141012191772461,,0.9532163742690059,0.08575630933046341,0.9931366822429907,,,,
breast_cancer,classification,398,30,none,0.0,0.0,1,random,,tabicl_indicator,0.31796979904174805,,0.9532163742690059,0.08575630933046341,0.9931366822429907,,,,
breast_cancer,classification,398,30,none,0.0,0.0,1,random,,tabicl_iterimpute,0.34902238845825195,,0.9532163742690059,0.08575630933046341,0.9931366822429907,,,,
breast_cancer,classification,398,30,none,0.0,0.0,1,random,,tabicl_knnimpute,0.3162205219268799,,0.9532163742690059,0.08575630933046341,0.9931366822429907,,,,
breast_cancer,classification,398,30,none,0.0,0.0,1,random,,tabicl_aware_zero,0.314655065536499,,0.9532163742690059,0.08575630933046341,0.9931366822429907,,,,
breast_cancer,classification,398,30,none,0.0,0.0,1,random,,tabicl_aware,0.42169737815856934,,0.9590643274853801,0.0862879678606987,0.993428738317757,,,,
breast_cancer,classification,398,30,none,0.0,0.0,1,random,,xgboost,0.05974626541137695,,0.9766081871345029,0.08250546455383301,0.9940128504672897,,,,
breast_cancer,classification,398,30,none,0.0,0.0,1,random,,catboost,0.3890969753265381,,0.9707602339181286,0.08424755747681414,0.9957651869158879,,,,
breast_cancer,classification,373,30,block,0.3,0.2886350322202695,1,source,0.0,tabicl_impute,0.30200791358947754,,0.9795918367346939,0.107785165309906,0.9910087719298246,,,,
breast_cancer,classification,373,30,block,0.3,0.2886350322202695,1,source,0.0,tabicl_indicator,0.3691573143005371,,0.9744897959183674,0.11487355828285217,0.9911184210526316,,,,
breast_cancer,classification,373,30,block,0.3,0.2886350322202695,1,source,0.0,tabicl_iterimpute,0.634343147277832,,0.9336734693877551,0.32497480511665344,0.9798245614035088,,,,
breast_cancer,classification,373,30,block,0.3,0.2886350322202695,1,source,0.0,tabicl_knnimpute,0.34147119522094727,,0.9693877551020408,0.09168913215398788,0.9924342105263158,,,,
breast_cancer,classification,373,30,block,0.3,0.2886350322202695,1,source,0.0,tabicl_aware_zero,0.3086864948272705,,0.9795918367346939,0.0999792218208313,0.9926535087719299,,,,
breast_cancer,classification,373,30,block,0.3,0.2886350322202695,1,source,0.0,tabicl_aware,0.36655354499816895,,0.9744897959183674,0.09403005242347717,0.9911184210526316,,,,
breast_cancer,classification,373,30,block,0.3,0.2886350322202695,1,source,0.0,xgboost,0.06094646453857422,,0.9642857142857143,0.11194149404764175,0.9881578947368421,,,,
breast_cancer,classification,373,30,block,0.3,0.2886350322202695,1,source,0.0,catboost,0.3966538906097412,,0.9693877551020408,0.12368280789373688,0.9871710526315789,,,,
breast_cancer,classification,366,30,block,0.5,0.47855887521968365,1,source,0.0,tabicl_impute,0.3031439781188965,,0.8916256157635468,0.35847991704940796,0.9616465863453815,,,,
breast_cancer,classification,366,30,block,0.5,0.47855887521968365,1,source,0.0,tabicl_indicator,0.37334346771240234,,0.8768472906403941,0.38706913590431213,0.9669678714859438,,,,
breast_cancer,classification,366,30,block,0.5,0.47855887521968365,1,source,0.0,tabicl_iterimpute,0.7092034816741943,,0.896551724137931,0.4245981276035309,0.9273092369477911,,,,
breast_cancer,classification,366,30,block,0.5,0.47855887521968365,1,source,0.0,tabicl_knnimpute,0.33562493324279785,,0.9211822660098522,0.20249968767166138,0.9822289156626507,,,,
breast_cancer,classification,366,30,block,0.5,0.47855887521968365,1,source,0.0,tabicl_aware_zero,0.30016660690307617,,0.8866995073891626,0.3457675278186798,0.9764056224899599,,,,
breast_cancer,classification,366,30,block,0.5,0.47855887521968365,1,source,0.0,tabicl_aware,0.3598654270172119,,0.9064039408866995,0.2926231324672699,0.9838353413654619,,,,
breast_cancer,classification,366,30,block,0.5,0.47855887521968365,1,source,0.0,xgboost,0.07119107246398926,,0.4088669950738916,2.4993720054626465,0.9144578313253012,,,,
breast_cancer,classification,366,30,block,0.5,0.47855887521968365,1,source,0.0,catboost,0.3589630126953125,,0.5911330049261084,2.19870437727687,0.9314257028112449,,,,
breast_cancer,classification,373,30,block_shift,0.3,0.3,1,source,0.0,tabicl_impute,0.3000500202178955,,0.9540816326530612,0.1974475085735321,0.9780701754385965,,,,
breast_cancer,classification,373,30,block_shift,0.3,0.3,1,source,0.0,tabicl_indicator,0.35915255546569824,,0.9540816326530612,0.22203361988067627,0.9797149122807017,,,,
breast_cancer,classification,373,30,block_shift,0.3,0.3,1,source,0.0,tabicl_iterimpute,0.521730899810791,,0.9030612244897959,0.26525625586509705,0.9869517543859649,,,,
breast_cancer,classification,373,30,block_shift,0.3,0.3,1,source,0.0,tabicl_knnimpute,0.3391530513763428,,0.923469387755102,0.1807599812746048,0.9888157894736842,,,,
breast_cancer,classification,373,30,block_shift,0.3,0.3,1,source,0.0,tabicl_aware_zero,0.3089864253997803,,0.9489795918367347,0.21340763568878174,0.9775219298245614,,,,
breast_cancer,classification,373,30,block_shift,0.3,0.3,1,source,0.0,tabicl_aware,0.36784911155700684,,0.9387755102040817,0.20958459377288818,0.9783991228070175,,,,
breast_cancer,classification,373,30,block_shift,0.3,0.3,1,source,0.0,xgboost,0.06160998344421387,,0.5663265306122449,0.7965527176856995,0.9472587719298246,,,,
breast_cancer,classification,373,30,block_shift,0.3,0.3,1,source,0.0,catboost,0.4049112796783447,,0.8826530612244898,0.4753028174304677,0.9610745614035088,,,,
breast_cancer,classification,366,30,block_shift,0.5,0.44499121265377856,1,source,0.0,tabicl_impute,0.28992176055908203,,0.7931034482758621,0.4417377710342407,0.9759036144578312,,,,
breast_cancer,classification,366,30,block_shift,0.5,0.44499121265377856,1,source,0.0,tabicl_indicator,0.3833942413330078,,0.7536945812807881,0.48573431372642517,0.9772088353413654,,,,
breast_cancer,classification,366,30,block_shift,0.5,0.44499121265377856,1,source,0.0,tabicl_iterimpute,0.5663950443267822,,0.8719211822660099,0.45093366503715515,0.9185742971887549,,,,
breast_cancer,classification,366,30,block_shift,0.5,0.44499121265377856,1,source,0.0,tabicl_knnimpute,0.3236110210418701,,0.8571428571428571,0.38901787996292114,0.9528112449799198,,,,
breast_cancer,classification,366,30,block_shift,0.5,0.44499121265377856,1,source,0.0,tabicl_aware_zero,0.2947275638580322,,0.896551724137931,0.4194662868976593,0.9697791164658635,,,,
breast_cancer,classification,366,30,block_shift,0.5,0.44499121265377856,1,source,0.0,tabicl_aware,0.3541231155395508,,0.8866995073891626,0.36709046363830566,0.9680722891566265,,,,
