dataset,task,mechanism,rate,model,auc,acc,logloss,rmse,r2,coverage80,width80,auc_std,acc_std,logloss_std,rmse_std,r2_std,coverage80_std,width80_std,n_fits
breast_cancer,classification,block,0.3,catboost,0.9832949495208787,0.8494595616024186,0.32347323452465243,,,,,0.006827135285059817,0.13955555926926388,0.18429798292764538,,,,,5
breast_cancer,classification,block,0.3,tabicl_aware,0.9861196550718005,0.9528366717057193,0.16931152939796448,,,,,0.012682208291010294,0.022059123430180648,0.04933247427127559,,,,,5
breast_cancer,classification,block,0.3,tabicl_aware_zero,0.9845143910142052,0.9493046107331822,0.20898397266864777,,,,,0.0143370460303358,0.027813266168639574,0.06950334335580852,,,,,5
breast_cancer,classification,block,0.3,tabicl_impute,0.9848870151716078,0.9522554484756866,0.21093966960906982,,,,,0.013119158383576673,0.026020295566066325,0.06830430192014922,,,,,5
breast_cancer,classification,block,0.3,tabicl_indicator,0.9858122848125523,0.9447921390778534,0.2057596117258072,,,,,0.011106322459317804,0.026375776685977674,0.05814666051246482,,,,,5
breast_cancer,classification,block,0.3,tabicl_iterimpute,0.8872658525021752,0.8512717309145881,0.32250824868679046,,,,,0.22497643398466705,0.2181316953950374,0.22809322141106372,,,,,5
breast_cancer,classification,block,0.3,tabicl_knnimpute,0.9862481692631,0.9425570042831947,0.16556008607149125,,,,,0.00848225077058172,0.02517067335094963,0.082196361226858,,,,,5
breast_cancer,classification,block,0.3,xgboost,0.9850611154301012,0.7537896825396826,0.7095437481999397,,,,,0.004326648731992612,0.25288525832266523,0.8018023993245148,,,,,5
breast_cancer,classification,block,0.5,catboost,0.9678533027712776,0.7277090648814787,1.0957614354527254,,,,,0.02409626033903612,0.1751555400167563,0.7916544009707651,,,,,5
breast_cancer,classification,block,0.5,tabicl_aware,0.9771414696695014,0.9125926066270894,0.2511478945612907,,,,,0.018594526172939444,0.057916857376416234,0.12282648786583159,,,,,5
breast_cancer,classification,block,0.5,tabicl_aware_zero,0.9686219531335768,0.8901262262641574,0.3175749659538269,,,,,0.02992206833710099,0.09020620749461868,0.1336973609621007,,,,,5
breast_cancer,classification,block,0.5,tabicl_impute,0.969788901096449,0.917413540482506,0.31226506233215334,,,,,0.023771649045478068,0.03861252372626314,0.12760896706354066,,,,,5
breast_cancer,classification,block,0.5,tabicl_indicator,0.980115597872739,0.9223249547387479,0.30615987479686735,,,,,0.01020628720844808,0.036706653014117005,0.10279914808286528,,,,,5
breast_cancer,classification,block,0.5,tabicl_iterimpute,0.9272850560851704,0.8770162098437961,0.45002704560756684,,,,,0.06000378451406928,0.0685380524537564,0.15034394499264006,,,,,5
breast_cancer,classification,block,0.5,tabicl_knnimpute,0.9837429072072104,0.9336632141804555,0.17320700436830522,,,,,0.00815142923110425,0.018312787898038356,0.05327675846146307,,,,,5
breast_cancer,classification,block,0.5,xgboost,0.9640505090991767,0.6172511473201128,1.5206955388188361,,,,,0.03257962728331334,0.2998311745542846,1.2525684732698752,,,,,5
breast_cancer,classification,block_shift,0.3,catboost,0.9640445291859656,0.7674719702695894,0.7495951077006643,,,,,0.013304024715373819,0.09475479493929916,0.48116958239862173,,,,,5
breast_cancer,classification,block_shift,0.3,tabicl_aware,0.9831642921528815,0.9118986205593348,0.21984027028083802,,,,,0.005076593533056919,0.04222841324295984,0.06574223459918291,,,,,5
breast_cancer,classification,block_shift,0.3,tabicl_aware_zero,0.9804684907883962,0.9104672146636432,0.23755621314048767,,,,,0.006086008096892215,0.04770945810627531,0.07253035046425181,,,,,5
breast_cancer,classification,block_shift,0.3,tabicl_impute,0.9822613509103151,0.9198595364071555,0.2205845057964325,,,,,0.0049732274722433575,0.04014735232104221,0.05755652613059283,,,,,5
breast_cancer,classification,block_shift,0.3,tabicl_indicator,0.9823293148535015,0.9207083018392541,0.22799399495124817,,,,,0.004739909658249585,0.03828313299081462,0.055645767701794684,,,,,5
breast_cancer,classification,block_shift,0.3,tabicl_iterimpute,0.9755663809496392,0.8593093348450491,0.29954047948122026,,,,,0.015673181406408047,0.10184993401090481,0.15511540666822338,,,,,5
breast_cancer,classification,block_shift,0.3,tabicl_knnimpute,0.9810226683359311,0.8792650856638952,0.3204348891973495,,,,,0.01087294298863881,0.09726500600696897,0.22924675891999752,,,,,5
breast_cancer,classification,block_shift,0.3,xgboost,0.9616287088302675,0.6553806059460822,1.1165569424629211,,,,,0.008981131615530977,0.2051634015317803,1.1373183958462498,,,,,5
breast_cancer,classification,block_shift,0.5,catboost,0.967451892705452,0.7234355606079743,0.9513865089937571,,,,,0.021977859440193925,0.10869217939874436,0.5182424385046589,,,,,5
breast_cancer,classification,block_shift,0.5,tabicl_aware,0.9753864934403564,0.8673245758073345,0.32509768605232237,,,,,0.013493059750913349,0.041636750179765716,0.09274385708437094,,,,,5
breast_cancer,classification,block_shift,0.5,tabicl_aware_zero,0.9702759940169638,0.8667138225758915,0.35928317308425906,,,,,0.01710623901491619,0.04631514447792088,0.0901591146234265,,,,,5
breast_cancer,classification,block_shift,0.5,tabicl_impute,0.9625068394193376,0.8366053639846743,0.3790751457214355,,,,,0.03534673322970081,0.04855013615383657,0.09763093051994116,,,,,5
breast_cancer,classification,block_shift,0.5,tabicl_indicator,0.9702028649161931,0.8432113595217043,0.37442166209220884,,,,,0.020459410779421865,0.0624443915094001,0.10226475366662197,,,,,5
breast_cancer,classification,block_shift,0.5,tabicl_iterimpute,0.8508597135909314,0.6017323060081681,0.6198549032211303,,,,,0.22916768537289012,0.2884560980076251,0.22388320143947646,,,,,5
breast_cancer,classification,block_shift,0.5,tabicl_knnimpute,0.9637887249590017,0.8375824175824176,0.3771090298891068,,,,,0.012617306854529282,0.07215439000597855,0.14341866054033717,,,,,5
breast_cancer,classification,block_shift,0.5,xgboost,0.9641358546613056,0.577905435560608,1.4966084659099579,,,,,0.019911444169984877,0.24656560525852944,1.0909829060787823,,,,,5
breast_cancer,classification,none,0.0,catboost,0.9958528037383179,0.9730994152046784,0.07305147374447343,,,,,0.0034964491715948863,0.01212657389083493,0.029101893737828177,,,,,5
breast_cancer,classification,none,0.0,tabicl_aware,0.9965245327102803,0.9742690058479532,0.06267131976783276,,,,,0.0027772213976935962,0.014083736349464655,0.027670761627440924,,,,,5
breast_cancer,classification,none,0.0,tabicl_aware_zero,0.996232476635514,0.9719298245614034,0.065054427459836,,,,,0.002851101603239666,0.015137051585432501,0.02757285010822007,,,,,5
breast_cancer,classification,none,0.0,tabicl_impute,0.996232476635514,0.9719298245614034,0.065054427459836,,,,,0.002851101603239666,0.015137051585432501,0.02757285010822007,,,,,5
