dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,acc,logloss,auc,rmse,r2,coverage80,width80
breast_cancer,classification,398,30,none,0.0,0.0,0,random,,tabicl_patternnorm,1.5781421661376953,,0.9766081871345029,0.067606716719616,0.9956191588785047,,,,
breast_cancer,classification,281,30,block,0.3,0.25061511423550087,0,source,0.0,tabicl_patternnorm,0.2908637523651123,,0.96875,0.20741019346419964,0.9950617283950617,,,,
breast_cancer,classification,453,30,block,0.5,0.49279437609841825,0,source,2.0,tabicl_patternnorm,0.25731372833251953,,0.9224137931034483,0.22086525756501268,0.9821599235425295,,,,
breast_cancer,classification,281,30,block_shift,0.3,0.2662565905096661,0,source,0.0,tabicl_patternnorm,0.24460339546203613,,0.9583333333333334,0.15412910418526404,0.994238683127572,,,,
breast_cancer,classification,453,30,block_shift,0.5,0.48728763913298184,0,source,2.0,tabicl_patternnorm,0.2590188980102539,,0.9051724137931034,0.20572857278331666,0.977062758840395,,,,
breast_cancer,classification,398,30,none,0.0,0.0,1,random,,tabicl_patternnorm,0.25238561630249023,,0.9532163742690059,0.08575628841447792,0.9931366822429907,,,,
breast_cancer,classification,373,30,block,0.3,0.2886350322202695,1,source,0.0,tabicl_patternnorm,0.23804092407226562,,0.9693877551020408,0.11947723022610841,0.9857456140350878,,,,
breast_cancer,classification,366,30,block,0.5,0.47855887521968365,1,source,0.0,tabicl_patternnorm,0.24431204795837402,,0.8916256157635468,0.34142711456879077,0.971285140562249,,,,
breast_cancer,classification,373,30,block_shift,0.3,0.3,1,source,0.0,tabicl_patternnorm,0.2585306167602539,,0.9285714285714286,0.17240404472417103,0.9770833333333333,,,,
breast_cancer,classification,366,30,block_shift,0.5,0.44499121265377856,1,source,0.0,tabicl_patternnorm,0.24988532066345215,,0.8472906403940886,0.45926772910395847,0.9335341365461847,,,,
