dataset,task,mechanism,rate,model,auc,acc,logloss,rmse,r2,coverage80,width80,auc_std,acc_std,logloss_std,rmse_std,r2_std,coverage80_std,width80_std,n_fits
breast_cancer,classification,block,0.3,tabicl_patternnorm,0.9840705640064424,0.9462221277399848,0.20662914074152022,,,,,0.01356730453577536,0.025369291025427593,0.05694224461863335,,,,,5
breast_cancer,classification,block,0.5,tabicl_patternnorm,0.9672117316262983,0.909516988758368,0.2977757451357919,,,,,0.03285806977865275,0.04224061087547006,0.12534721537971763,,,,,5
breast_cancer,classification,block_shift,0.3,tabicl_patternnorm,0.9834186920726354,0.9325253527336861,0.1837619686773072,,,,,0.008136240514078836,0.031453627100003344,0.066079485971371,,,,,5
breast_cancer,classification,block_shift,0.5,tabicl_patternnorm,0.9604072367547285,0.8996959706959707,0.3074752943468738,,,,,0.026280143852789855,0.03608424700154266,0.1154759951379713,,,,,5
breast_cancer,classification,none,0.0,tabicl_patternnorm,0.996232476635514,0.9719298245614034,0.06505441181452484,,,,,0.002851101603239666,0.015137051585432501,0.027572886038639506,,,,,5
diabetes,regression,block,0.3,tabicl_patternnorm,,,,65.01680046528475,0.30241785127598764,0.7364203332584752,2.038439142071045,,,,5.421227476415274,0.07462992442780601,0.06482625279434354,0.20105599402985808,5
diabetes,regression,block,0.5,tabicl_patternnorm,,,,66.95952734435794,0.21733518440726893,0.8027526178596534,2.3458904144848725,,,,5.5551455195623385,0.15869534819104503,0.042850466719846915,0.3037206364453562,5
diabetes,regression,block_shift,0.3,tabicl_patternnorm,,,,60.95277618088785,0.38565846188982955,0.7998605376159931,2.0700674363197704,,,,1.8373834533325881,0.04257802739632824,0.046363301760317575,0.21270699193051668,5
diabetes,regression,block_shift,0.5,tabicl_patternnorm,,,,69.50754641162209,0.1642760565118968,0.818471890679713,2.375603150438933,,,,3.6426372166858343,0.06716048879533316,0.06277839988077259,0.25228658375102064,5
diabetes,regression,none,0.0,tabicl_patternnorm,,,,55.78923589928452,0.4819266274741404,0.7849624060150375,1.7766492693871325,,,,3.3669098995160467,0.03965195325905077,0.053325182636081644,0.10256075402808565,5
