dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,acc,logloss,auc,rmse,r2,coverage80,width80
breast_cancer,classification,398,30,none,0.0,0.0,0,random,,tabicl_patternnorm,1.5244643688201904,,0.9766081871345029,0.067606716719616,0.9956191588785047,,,,
breast_cancer,classification,398,30,block,0.3,0.25061511423550087,0,random,,tabicl_patternnorm,0.30202531814575195,,0.9707602339181286,0.08884810631073768,0.993428738317757,,,,
breast_cancer,classification,398,30,block,0.5,0.4859988283538371,0,random,,tabicl_patternnorm,0.2537555694580078,,0.9707602339181286,0.09537312414214523,0.9915303738317757,,,,
breast_cancer,classification,398,30,block_shift,0.3,0.283128295254833,0,random,,tabicl_patternnorm,0.2542686462402344,,0.9473684210526315,0.11087765069558352,0.9896320093457944,,,,
breast_cancer,classification,398,30,block_shift,0.5,0.49279437609841825,0,random,,tabicl_patternnorm,0.25246119499206543,,0.9590643274853801,0.12903717393532746,0.9878796728971962,,,,
breast_cancer,classification,398,30,none,0.0,0.0,1,random,,tabicl_patternnorm,0.25425171852111816,,0.9532163742690059,0.08575628841447792,0.9931366822429907,,,,
breast_cancer,classification,398,30,block,0.3,0.2886350322202695,1,random,,tabicl_patternnorm,0.253342866897583,,0.9707602339181286,0.08007443034276149,0.9945969626168224,,,,
breast_cancer,classification,398,30,block,0.5,0.4677211482132396,1,random,,tabicl_patternnorm,0.25241804122924805,,0.9590643274853801,0.10232924588029742,0.9924065420560748,,,,
breast_cancer,classification,398,30,block_shift,0.3,0.2895137668424136,1,random,,tabicl_patternnorm,0.2531890869140625,,0.9590643274853801,0.11185384942299016,0.9903621495327103,,,,
breast_cancer,classification,398,30,block_shift,0.5,0.4545401288810779,1,random,,tabicl_patternnorm,0.3329789638519287,,0.9415204678362573,0.12735852367521538,0.9877336448598131,,,,
breast_cancer,classification,398,30,none,0.0,0.0,2,random,,tabicl_patternnorm,0.25946927070617676,,0.9707602339181286,0.045252791196336975,0.9982476635514018,,,,
breast_cancer,classification,398,30,block,0.3,0.26719390743995314,2,random,,tabicl_patternnorm,0.2569713592529297,,0.9824561403508771,0.042786232595638546,0.9995619158878505,,,,
breast_cancer,classification,398,30,block,0.5,0.4555360281195079,2,random,,tabicl_patternnorm,0.2599341869354248,,0.9883040935672515,0.03533668700140104,0.9995619158878505,,,,
breast_cancer,classification,398,30,block_shift,0.3,0.21745752782659636,2,random,,tabicl_patternnorm,0.25493383407592773,,0.9824561403508771,0.06872431499690017,0.9978095794392523,,,,
breast_cancer,classification,398,30,block_shift,0.5,0.47685998828353837,2,random,,tabicl_patternnorm,0.2545328140258789,,0.9941520467836257,0.05245582494627812,1.0,,,,
breast_cancer,classification,398,30,none,0.0,0.0,3,random,,tabicl_patternnorm,0.25611114501953125,,0.9649122807017544,0.09655394931035588,0.9941588785046729,,,,
breast_cancer,classification,398,30,block,0.3,0.3,3,random,,tabicl_patternnorm,0.2554895877838135,,0.9824561403508771,0.051607269669128146,0.9995619158878505,,,,
breast_cancer,classification,398,30,block,0.5,0.4678968951376684,3,random,,tabicl_patternnorm,0.2661585807800293,,0.9824561403508771,0.05982013111281014,0.9978095794392523,,,,
breast_cancer,classification,398,30,block_shift,0.3,0.3,3,random,,tabicl_patternnorm,0.2674074172973633,,0.9649122807017544,0.09292084481312253,0.993428738317757,,,,
breast_cancer,classification,398,30,block_shift,0.5,0.4450497949619215,3,random,,tabicl_patternnorm,0.2554445266723633,,0.9707602339181286,0.09024789720239933,0.9947429906542056,,,,
breast_cancer,classification,398,30,none,0.0,0.0,4,random,,tabicl_patternnorm,0.25768542289733887,,0.9941520467836257,0.030102313431837436,1.0,,,,
breast_cancer,classification,398,30,block,0.3,0.28904510837727004,4,random,,tabicl_patternnorm,0.25659990310668945,,0.9766081871345029,0.050411169546882836,0.999123831775701,,,,
breast_cancer,classification,398,30,block,0.5,0.5,4,random,,tabicl_patternnorm,0.25571537017822266,,0.9824561403508771,0.061960070989348616,0.9981016355140186,,,,
breast_cancer,classification,398,30,block_shift,0.3,0.3,4,random,,tabicl_patternnorm,0.25565075874328613,,0.9590643274853801,0.08003238285198071,0.9963492990654206,,,,
breast_cancer,classification,398,30,block_shift,0.5,0.48734622144112477,4,random,,tabicl_patternnorm,0.2559390068054199,,0.9766081871345029,0.0696973765501748,0.9976635514018691,,,,
wine,classification,124,13,none,0.0,0.0,0,random,,tabicl_patternnorm,0.22457551956176758,,1.0,0.009828139177442661,1.0,,,,
wine,classification,124,13,block,0.3,0.2662057044079516,0,random,,tabicl_patternnorm,0.2262866497039795,,1.0,0.013862675182880731,1.0,,,,
wine,classification,124,13,block,0.5,0.44857389801210024,0,random,,tabicl_patternnorm,0.2223806381225586,,0.9444444444444444,0.1142063061432496,0.997561594783817,,,,
wine,classification,124,13,block_shift,0.3,0.2662057044079516,0,random,,tabicl_patternnorm,0.2245616912841797,,1.0,0.029712793640364187,1.0,,,,
wine,classification,124,13,block_shift,0.5,0.46153846153846156,0,random,,tabicl_patternnorm,0.22281384468078613,,0.9629629629629629,0.11094807962208376,0.9990379990379991,,,,
wine,classification,124,13,none,0.0,0.0,1,random,,tabicl_patternnorm,0.2609567642211914,,0.9814814814814815,0.027829580266236536,1.0,,,,
wine,classification,124,13,block,0.3,0.287381158167675,1,random,,tabicl_patternnorm,0.22368359565734863,,0.9629629629629629,0.08025249142404836,0.9984681984681986,,,,
wine,classification,124,13,block,0.5,0.4373379429559205,1,random,,tabicl_patternnorm,0.22271490097045898,,0.9444444444444444,0.11392246051749978,0.9969917942140164,,,,
wine,classification,124,13,block_shift,0.3,0.27787381158167673,1,random,,tabicl_patternnorm,0.22620248794555664,,0.9259259259259259,0.22843935396291054,0.9880005796672463,,,,
wine,classification,124,13,block_shift,0.5,0.4131374243733794,1,random,,tabicl_patternnorm,0.22371435165405273,,0.9629629629629629,0.08360739991681111,1.0,,,,
wine,classification,124,13,none,0.0,0.0,2,random,,tabicl_patternnorm,0.22256112098693848,,0.9814814814814815,0.03456590074831842,1.0,,,,
wine,classification,124,13,block,0.3,0.23076923076923078,2,random,,tabicl_patternnorm,0.2227933406829834,,0.9444444444444444,0.11008080906202791,0.9980091924536368,,,,
wine,classification,124,13,block,0.5,0.43215211754537597,2,random,,tabicl_patternnorm,0.22682690620422363,,0.9259259259259259,0.2914863236456495,0.9815251620807176,,,,
wine,classification,124,13,block_shift,0.3,0.27095937770095074,2,random,,tabicl_patternnorm,0.226762056350708,,0.9444444444444444,0.11181432496049534,0.9950563839452728,,,,
wine,classification,124,13,block_shift,0.5,0.43215211754537597,2,random,,tabicl_patternnorm,0.22383689880371094,,0.8518518518518519,0.5470055290163496,0.9468872691094914,,,,
wine,classification,124,13,none,0.0,0.0,3,random,,tabicl_patternnorm,0.22164106369018555,,1.0,0.004888919464795198,1.0,,,,
wine,classification,124,13,block,0.3,0.3076923076923077,3,random,,tabicl_patternnorm,0.22231173515319824,,1.0,0.023509626130367948,1.0,,,,
wine,classification,124,13,block,0.5,0.46153846153846156,3,random,,tabicl_patternnorm,0.22200608253479004,,0.9629629629629629,0.10735454825579097,1.0,,,,
wine,classification,124,13,block_shift,0.3,0.3076923076923077,3,random,,tabicl_patternnorm,0.22214293479919434,,0.9814814814814815,0.03854695427516268,1.0,,,,
wine,classification,124,13,block_shift,0.5,0.43604148660328435,3,random,,tabicl_patternnorm,0.22200584411621094,,0.9814814814814815,0.03041736757305064,1.0,,,,
wine,classification,124,13,none,0.0,0.0,4,random,,tabicl_patternnorm,0.22449755668640137,,0.9814814814814815,0.02555830298138004,1.0,,,,
wine,classification,124,13,block,0.3,0.3076923076923077,4,random,,tabicl_patternnorm,0.22138357162475586,,0.9629629629629629,0.1843834852624648,0.9875679875679876,,,,
wine,classification,124,13,block,0.5,0.46153846153846156,4,random,,tabicl_patternnorm,0.22201180458068848,,0.9259259259259259,0.1254128838333555,0.997898397898398,,,,
wine,classification,124,13,block_shift,0.3,0.28003457216940364,4,random,,tabicl_patternnorm,0.22364234924316406,,0.9629629629629629,0.07824590379571116,0.997898397898398,,,,
wine,classification,124,13,block_shift,0.5,0.46153846153846156,4,random,,tabicl_patternnorm,0.2223970890045166,,0.9629629629629629,0.13084520144718373,0.9990045962268184,,,,
diabetes,regression,309,10,none,0.0,0.0,0,random,,tabicl_patternnorm,0.28305935859680176,,,,,55.490071751990016,0.4997351301037196,0.7669172932330827,1.7310173835123048
diabetes,regression,309,10,block,0.3,0.3,0,random,,tabicl_patternnorm,0.31963634490966797,,,,,58.66166017586024,0.4409146232053963,0.7819548872180451,1.8030320521149346
diabetes,regression,309,10,block,0.5,0.5,0,random,,tabicl_patternnorm,0.2461996078491211,,,,,65.89105229139845,0.2946213339344482,0.7518796992481203,1.9607397185668092
diabetes,regression,309,10,block_shift,0.3,0.3,0,random,,tabicl_patternnorm,0.2418212890625,,,,,58.77470081075088,0.438757839434075,0.7894736842105263,1.8550028181870155
diabetes,regression,309,10,block_shift,0.5,0.5,0,random,,tabicl_patternnorm,0.24094223976135254,,,,,64.74823240776632,0.3188774362283985,0.8120300751879699,1.9573479488060919
diabetes,regression,309,10,none,0.0,0.0,1,random,,tabicl_patternnorm,0.2356116771697998,,,,,57.08002672916052,0.442594156647214,0.7669172932330827,1.7226011751444408
diabetes,regression,309,10,block,0.3,0.266289592760181,1,random,,tabicl_patternnorm,0.23651671409606934,,,,,59.61338080809012,0.3920180496466068,0.7894736842105263,1.830518427866784
diabetes,regression,309,10,block,0.5,0.40226244343891404,1,random,,tabicl_patternnorm,0.23634815216064453,,,,,61.59651741378754,0.35089418707710285,0.7593984962406015,1.8325996703515424
diabetes,regression,309,10,block_shift,0.3,0.26380090497737557,1,random,,tabicl_patternnorm,0.23671293258666992,,,,,58.073470938782705,0.4230226708015238,0.7744360902255639,1.7776313579786338
diabetes,regression,309,10,block_shift,0.5,0.5,1,random,,tabicl_patternnorm,0.23655104637145996,,,,,63.36984381962753,0.31298146329447585,0.8045112781954887,2.047467599525258
diabetes,regression,309,10,none,0.0,0.0,2,random,,tabicl_patternnorm,0.23660635948181152,,,,,57.14078266267262,0.45915883252808687,0.7518796992481203,1.7869156126079815
diabetes,regression,309,10,block,0.3,0.252262443438914,2,random,,tabicl_patternnorm,0.23616671562194824,,,,,59.35344802532221,0.4164618162154812,0.8195488721804511,1.8734935991440391
diabetes,regression,309,10,block,0.5,0.46289592760181,2,random,,tabicl_patternnorm,0.23630356788635254,,,,,66.46669996786142,0.2682114567440078,0.7518796992481203,1.9899627878283932
diabetes,regression,309,10,block_shift,0.3,0.2,2,random,,tabicl_patternnorm,0.23736977577209473,,,,,57.72619354853872,0.44802016207926476,0.8120300751879699,1.8146118173750045
diabetes,regression,309,10,block_shift,0.5,0.43710407239819005,2,random,,tabicl_patternnorm,0.2378990650177002,,,,,64.80417974040863,0.3043618233503671,0.7819548872180451,2.1316211278155723
diabetes,regression,309,10,none,0.0,0.0,3,random,,tabicl_patternnorm,0.2378218173980713,,,,,50.200818899973434,0.5423195411783601,0.8796992481203008,1.9497472295330254
diabetes,regression,309,10,block,0.3,0.3,3,random,,tabicl_patternnorm,0.24356532096862793,,,,,56.699545412280614,0.4161518333624993,0.7894736842105263,2.019405235593471
diabetes,regression,309,10,block,0.5,0.4276018099547511,3,random,,tabicl_patternnorm,0.23677444458007812,,,,,62.572137975234675,0.28894571908891087,0.8421052631578947,2.317646521847556
diabetes,regression,309,10,block_shift,0.3,0.3,3,random,,tabicl_patternnorm,0.23567581176757812,,,,,59.67722745480163,0.3532178242399301,0.849624060150376,2.04479316478701
diabetes,regression,309,10,block_shift,0.5,0.4671945701357466,3,random,,tabicl_patternnorm,0.23733162879943848,,,,,64.57716435163363,0.24264637499027286,0.8270676691729323,2.2691231551088737
