dataset,task,mechanism,rate,model,auc,acc,logloss,rmse,r2,coverage80,width80,auc_std,acc_std,logloss_std,rmse_std,r2_std,coverage80_std,width80_std,n_fits
breast_cancer,classification,block,0.3,tabicl_patternnorm,0.9972546728971963,0.9766081871345029,0.06274544169302973,,,,,0.002993396678085472,0.00584795321637426,0.020348256196598868,,,,,5
breast_cancer,classification,block,0.5,tabicl_patternnorm,0.9958820093457945,0.9766081871345029,0.07096385182520049,,,,,0.003646902229252501,0.011695906432748574,0.02763216410866265,,,,,5
breast_cancer,classification,block_shift,0.3,tabicl_patternnorm,0.9935163551401869,0.9625730994152046,0.09288180855611541,,,,,0.0035882509018263144,0.01281222356737229,0.01892407480421425,,,,,5
breast_cancer,classification,block_shift,0.5,tabicl_patternnorm,0.9936039719626167,0.968421052631579,0.09375935926187902,,,,,0.005610594076001875,0.019658171127452197,0.03417133075467694,,,,,5
breast_cancer,classification,none,0.0,tabicl_patternnorm,0.996232476635514,0.9719298245614034,0.06505441181452484,,,,,0.002851101603239666,0.015137051585432501,0.027572886038639506,,,,,5
diabetes,regression,block,0.3,tabicl_patternnorm,,,,59.60562426754723,0.4087203321434476,0.7879699248120301,1.8816467632627147,,,,2.557569154566462,0.024346140617110226,0.021530557989889267,0.08342402118860225,5
diabetes,regression,block,0.5,tabicl_patternnorm,,,,65.46205216037335,0.28694201074843895,0.7759398496240602,2.020811503585075,,,,3.633486170862042,0.043353841746323465,0.0381166672349972,0.17917056809429438,5
diabetes,regression,block_shift,0.3,tabicl_patternnorm,,,,58.90991971813249,0.4211466377114796,0.8030075187969924,1.8684547838719148,,,,1.0764156488439307,0.03910039930669601,0.02931366720243299,0.10338775184833902,5
diabetes,regression,block_shift,0.5,tabicl_patternnorm,,,,65.21179268149447,0.29168219922146654,0.7834586466165414,2.0515222687620027,,,,1.9611219969965445,0.031248451332112726,0.05380013178946862,0.1600310894986587,5
diabetes,regression,none,0.0,tabicl_patternnorm,,,,55.78923589928452,0.4819266274741404,0.7849624060150375,1.7766492693871325,,,,3.3669098995160467,0.03965195325905077,0.053325182636081644,0.10256075402808565,5
openml:1590,classification,block,0.3,tabicl_patternnorm,0.8950771653096542,0.8571111111111112,0.32093024703996137,,,,,0.012826224010971088,0.00855627702585709,0.021022206257477777,,,,,5
openml:1590,classification,block,0.5,tabicl_patternnorm,0.8641727424891485,0.8295555555555556,0.36363158840384213,,,,,0.009752788381237582,0.009013022129188135,0.014120809978081565,,,,,5
openml:1590,classification,block_shift,0.3,tabicl_patternnorm,0.8937161337910295,0.8540000000000001,0.32592214238317835,,,,,0.006388068125108918,0.002018433569398332,0.007651659412727628,,,,,5
openml:1590,classification,block_shift,0.5,tabicl_patternnorm,0.8572916962183325,0.8355555555555556,0.37113583021216384,,,,,0.029246594367262888,0.016197088596792468,0.035185743387165486,,,,,5
openml:1590,classification,none,0.0,tabicl_patternnorm,0.9077775256035633,0.8613333333333333,0.30194389129125404,,,,,0.005704188466560761,0.004740162001711438,0.00930454031531683,,,,,5
openml:31,classification,block,0.3,tabicl_patternnorm,0.7626878306878307,0.746,0.5139837109144386,,,,,0.05124734546687786,0.03067753430624943,0.040373752074543794,,,,,5
openml:31,classification,block,0.5,tabicl_patternnorm,0.7255978835978836,0.7186666666666668,0.5428087402851666,,,,,0.03499343861839939,0.00930949336251265,0.022623673645908195,,,,,5
openml:31,classification,block_shift,0.3,tabicl_patternnorm,0.7657354497354498,0.7533333333333333,0.5147035358055446,,,,,0.028476119693423025,0.019293061504650398,0.026275042016687806,,,,,5
openml:31,classification,block_shift,0.5,tabicl_patternnorm,0.7263280423280423,0.726,0.5480028040871617,,,,,0.02842697167425525,0.01977652929892174,0.012728788205985914,,,,,5
openml:31,classification,none,0.0,tabicl_patternnorm,0.813904761904762,0.7753333333333333,0.47102926511783016,,,,,0.024335903919737993,0.016599866130651616,0.02117003127914059,,,,,5
openml:531,regression,block,0.3,tabicl_patternnorm,,,,3.6889003759824375,0.8211069770612068,0.8092105263157896,0.9143955627339629,,,,0.5170712900226677,0.034158206665775556,0.016773090505239417,0.025500448291820053,5
openml:531,regression,block,0.5,tabicl_patternnorm,,,,4.8380688735170585,0.6879387684166662,0.7710526315789473,1.1063154274958755,,,,0.5543990566655386,0.07426701026340467,0.04730441582170409,0.18563529126234202,5
openml:531,regression,block_shift,0.3,tabicl_patternnorm,,,,4.354384272548485,0.7409561048290099,0.8026315789473685,1.0906974496928072,,,,0.6253419992540088,0.10563006424912835,0.016115064097257718,0.14183287861924576,5
openml:531,regression,block_shift,0.5,tabicl_patternnorm,,,,4.760419570566905,0.6854919998897913,0.7776315789473685,1.1729529940796952,,,,0.8400240806305151,0.14174533312159499,0.07091848935900984,0.25974063809683295,5
openml:531,regression,none,0.0,tabicl_patternnorm,,,,2.712360488365286,0.9016477080662411,0.8026315789473684,0.6213186745723427,,,,0.4971502479356368,0.031026202505178714,0.03807841086444147,0.03414519649167212,5
wine,classification,block,0.3,tabicl_patternnorm,0.9968090756979645,0.9740740740740741,0.08241781741235796,,,,,0.005242963718704261,0.024845199749997667,0.06952860866215979,,,,,5
wine,classification,block,0.5,tabicl_patternnorm,0.9947953897953898,0.9407407407407407,0.15047650447910907,,,,,0.0075048593037558365,0.015493704195075456,0.07909358808881144,,,,,5
wine,classification,block_shift,0.3,tabicl_patternnorm,0.9961910723021834,0.962962962962963,0.09735186612692878,,,,,0.005007556998580873,0.029280348705262794,0.08029818143021655,,,,,5
