dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,acc,logloss,auc,rmse,r2,coverage80,width80
breast_cancer,classification,398,30,none,0.0,0.0,0,random,,tabpfn25,2.3860585689544678,,0.9883040935672515,0.06641118228435516,0.9948890186915887,,,,
breast_cancer,classification,281,30,block,0.3,0.25061511423550087,0,source,0.0,tabpfn25,0.5508749485015869,,0.96875,0.16419024765491486,0.9940843621399177,,,,
breast_cancer,classification,453,30,block,0.5,0.49279437609841825,0,source,2.0,tabpfn25,0.470367431640625,,0.9482758620689655,0.15574529767036438,0.9872570882446638,,,,
breast_cancer,classification,281,30,block_shift,0.3,0.2662565905096661,0,source,0.0,tabpfn25,0.6018633842468262,,0.9097222222222222,0.30625465512275696,0.9869855967078189,,,,
breast_cancer,classification,453,30,block_shift,0.5,0.48728763913298184,0,source,2.0,tabpfn25,0.594904899597168,,0.9137931034482759,0.19045843183994293,0.9796113411914622,,,,
breast_cancer,classification,398,30,none,0.0,0.0,1,random,,tabpfn25,0.5772740840911865,,0.9649122807017544,0.09726382791996002,0.9921144859813085,,,,
breast_cancer,classification,373,30,block,0.3,0.2886350322202695,1,source,0.0,tabpfn25,0.5166704654693604,,0.9744897959183674,0.10531473159790039,0.9927631578947369,,,,
breast_cancer,classification,366,30,block,0.5,0.47855887521968365,1,source,0.0,tabpfn25,0.5599911212921143,,0.9408866995073891,0.23404528200626373,0.9936746987951808,,,,
breast_cancer,classification,373,30,block_shift,0.3,0.3,1,source,0.0,tabpfn25,0.48580002784729004,,0.9540816326530612,0.1542520374059677,0.9887061403508772,,,,
breast_cancer,classification,366,30,block_shift,0.5,0.44499121265377856,1,source,0.0,tabpfn25,0.5950548648834229,,0.9014778325123153,0.3704363703727722,0.9919678714859438,,,,
breast_cancer,classification,398,30,none,0.0,0.0,2,random,,tabpfn25,0.5638318061828613,,0.9883040935672515,0.03684162721037865,0.9998539719626168,,,,
breast_cancer,classification,289,30,block,0.3,0.26719390743995314,2,source,1.0,tabpfn25,0.6336991786956787,,0.9642857142857143,0.14664673805236816,0.9891257536606374,,,,
breast_cancer,classification,395,30,block,0.5,0.4555360281195079,2,source,2.0,tabpfn25,0.6214630603790283,,0.9597701149425287,0.26013344526290894,0.992003367003367,,,,
breast_cancer,classification,289,30,block_shift,0.3,0.2338605741066198,2,source,1.0,tabpfn25,0.5745387077331543,,0.9571428571428572,0.19122913479804993,0.9885874246339362,,,,
breast_cancer,classification,395,30,block_shift,0.5,0.46397188049209137,2,source,2.0,tabpfn25,0.5224533081054688,,0.8620689655172413,0.32927557826042175,0.9746071829405163,,,,
breast_cancer,classification,398,30,none,0.0,0.0,3,random,,tabpfn25,0.47045159339904785,,0.9590643274853801,0.08705183863639832,0.994304906542056,,,,
breast_cancer,classification,407,30,block,0.3,0.29086115992970124,3,source,3.0,tabpfn25,0.5868079662322998,,0.9320987654320988,0.17047354578971863,0.9883401920438958,,,,
breast_cancer,classification,369,30,block,0.5,0.4561218512009373,3,source,2.0,tabpfn25,0.6626951694488525,,0.935,0.2410762757062912,0.9836709384042994,,,,
breast_cancer,classification,407,30,block_shift,0.3,0.3,3,source,3.0,tabpfn25,0.5338637828826904,,0.9567901234567902,0.1549054980278015,0.99039780521262,,,,
breast_cancer,classification,369,30,block_shift,0.5,0.4666666666666667,3,source,2.0,tabpfn25,0.6488170623779297,,0.755,0.459392786026001,0.9766432410086813,,,,
breast_cancer,classification,398,30,none,0.0,0.0,4,random,,tabpfn25,0.5528082847595215,,0.9883040935672515,0.03138158097863197,1.0,,,,
breast_cancer,classification,377,30,block,0.3,0.3,4,source,0.0,tabpfn25,0.6769270896911621,,0.9635416666666666,0.13911664485931396,0.9946922642574816,,,,
breast_cancer,classification,452,30,block,0.5,0.49420035149384883,4,source,2.0,tabpfn25,0.5631887912750244,,0.9658119658119658,0.13453145325183868,0.9959876543209877,,,,
breast_cancer,classification,377,30,block_shift,0.3,0.28886936145284126,4,source,0.0,tabpfn25,0.5681555271148682,,0.921875,0.21123777329921722,0.984754376058724,,,,
breast_cancer,classification,452,30,block_shift,0.5,0.4884007029876977,4,source,2.0,tabpfn25,0.5513393878936768,,0.9316239316239316,0.17269060015678406,0.9975308641975309,,,,
wine,classification,124,13,none,0.0,0.0,0,random,,tabpfn25,0.5166501998901367,,0.9814814814814815,0.02803611010313034,1.0,,,,
wine,classification,82,13,block,0.3,0.23076923076923078,0,source,0.0,tabpfn25,0.4587712287902832,,0.9583333333333334,0.1565224975347519,0.9986126264258214,,,,
wine,classification,131,13,block,0.5,0.46153846153846156,0,source,2.0,tabpfn25,0.6231608390808105,,1.0,0.10477700084447861,1.0,,,,
wine,classification,82,13,block_shift,0.3,0.2722558340535869,0,source,0.0,tabpfn25,0.5575656890869141,,0.875,0.39031970500946045,0.9884249502688363,,,,
wine,classification,131,13,block_shift,0.5,0.46153846153846156,0,source,2.0,tabpfn25,0.6580493450164795,,0.7872340425531915,0.4169294536113739,0.9614829614829615,,,,
wine,classification,124,13,none,0.0,0.0,1,random,,tabpfn25,0.6178231239318848,,1.0,0.03392040729522705,1.0,,,,
wine,classification,116,13,block,0.3,0.2808988764044944,1,source,0.0,tabpfn25,0.6475217342376709,,0.9516129032258065,0.17405350506305695,0.9996438746438746,,,,
wine,classification,116,13,block,0.5,0.4347450302506482,1,source,0.0,tabpfn25,0.5241153240203857,,0.9354838709677419,0.4791899025440216,0.9873831848889724,,,,
wine,classification,116,13,block_shift,0.3,0.3076923076923077,1,source,0.0,tabpfn25,0.5753920078277588,,0.8225806451612904,0.33385369181632996,0.9903702778702779,,,,
wine,classification,116,13,block_shift,0.5,0.4105445116681072,1,source,0.0,tabpfn25,0.7768523693084717,,0.6129032258064516,0.8407090902328491,0.955901811929742,,,,
wine,classification,124,13,none,0.0,0.0,2,random,,tabpfn25,0.592381477355957,,0.9814814814814815,0.07146893441677094,0.998523595745818,,,,
wine,classification,93,13,block,0.3,0.23076923076923078,2,source,1.0,tabpfn25,0.5682885646820068,,0.9529411764705882,0.12331593781709671,0.9978647260729585,,,,
wine,classification,116,13,block,0.5,0.4407951598962835,2,source,0.0,tabpfn25,0.5322306156158447,,0.8548387096774194,0.3740171790122986,0.9838600138600139,,,,
wine,classification,93,13,block_shift,0.3,0.27095937770095074,2,source,1.0,tabpfn25,0.4608478546142578,,0.9176470588235294,0.3553701639175415,0.9776039947034177,,,,
wine,classification,116,13,block_shift,0.5,0.40535868625756266,2,source,0.0,tabpfn25,0.5467934608459473,,0.5483870967741935,0.9246777892112732,0.899807143630673,,,,
wine,classification,124,13,none,0.0,0.0,3,random,,tabpfn25,0.5515108108520508,,0.9814814814814815,0.017382755875587463,1.0,,,,
wine,classification,127,13,block,0.3,0.3076923076923077,3,source,3.0,tabpfn25,0.5290637016296387,,0.9019607843137255,0.2155279666185379,0.9837742504409172,,,,
