dataset,task,mechanism,rate,model,auc,acc,logloss,rmse,r2,coverage80,width80,auc_std,acc_std,logloss_std,rmse_std,r2_std,coverage80_std,width80_std,n_fits
breast_cancer,classification,block,0.3,tabpfn25,0.9969042056074766,0.983625730994152,0.06255670934915543,,,,,0.003332192151785814,0.0048927486931817565,0.020801904286868914,,,,,5
breast_cancer,classification,block,0.5,tabpfn25,0.9959696261682243,0.9777777777777776,0.07190379947423935,,,,,0.0039799003285298845,0.016227411608785474,0.024560616611408695,,,,,5
breast_cancer,classification,block_shift,0.3,tabpfn25,0.9943341121495328,0.9719298245614034,0.08752623945474625,,,,,0.003075961976905763,0.013961796943056505,0.015851043945178608,,,,,5
breast_cancer,classification,block_shift,0.5,tabpfn25,0.9949182242990654,0.9695906432748538,0.08640370890498161,,,,,0.0037930765141937187,0.01674598954769164,0.02597375314369993,,,,,5
breast_cancer,classification,none,0.0,tabpfn25,0.996232476635514,0.9777777777777779,0.06379001140594483,,,,,0.0035280204593578063,0.014561286079519002,0.029347066754622467,,,,,5
diabetes,regression,block,0.3,tabpfn25,,,,59.126698922592254,0.4182738846147925,,,,,,2.9873741427203107,0.030904088257731648,,,5
diabetes,regression,block,0.5,tabpfn25,,,,64.84039314733259,0.30033112987199806,,,,,,3.555744470217308,0.043766908806897806,,,5
diabetes,regression,block_shift,0.3,tabpfn25,,,,59.03032878844543,0.4189211224311505,,,,,,0.4481623706571159,0.03316091917215761,,,5
diabetes,regression,block_shift,0.5,tabpfn25,,,,64.1097696525145,0.3160017576852322,,,,,,2.955426005063273,0.031734641454566025,,,5
diabetes,regression,none,0.0,tabpfn25,,,,56.32620697717423,0.4718285639380582,,,,,,3.379225956301082,0.04137998373838603,,,5
openml:1590,classification,block,0.3,tabpfn25,0.8996546001305001,0.8593333333333334,0.3150718629360199,,,,,0.012460113566282573,0.008556277025857076,0.01927919005034769,,,,,5
openml:1590,classification,block,0.5,tabpfn25,0.8682501631251951,0.8335555555555555,0.3583107888698578,,,,,0.011519472312861987,0.007131914015947194,0.015200300424464902,,,,,5
openml:1590,classification,block_shift,0.3,tabpfn25,0.8940906124996454,0.8560000000000001,0.32477201223373414,,,,,0.00491149427594128,0.001490711984999849,0.005983853558433317,,,,,5
openml:1590,classification,block_shift,0.5,tabpfn25,0.8589165650089365,0.8344444444444445,0.3680418491363525,,,,,0.026882413290819362,0.020245407953654017,0.03105160937306475,,,,,5
openml:1590,classification,none,0.0,tabpfn25,0.9145096314789072,0.8671111111111112,0.2924477219581604,,,,,0.004317781691357066,0.00751952191808383,0.007398908090171651,,,,,5
openml:31,classification,block,0.3,tabpfn25,0.7644232804232803,0.7513333333333334,0.5131874263286591,,,,,0.05450668487447345,0.036178569469906954,0.038612764893754606,,,,,5
openml:31,classification,block,0.5,tabpfn25,0.7283492063492063,0.7193333333333334,0.5400135278701782,,,,,0.035822634002986124,0.009249624617007731,0.023690653900969753,,,,,5
openml:31,classification,block_shift,0.3,tabpfn25,0.7673333333333334,0.7473333333333334,0.5144624352455139,,,,,0.02882329705115038,0.026604093252313193,0.0270521986134777,,,,,5
openml:31,classification,block_shift,0.5,tabpfn25,0.7271957671957672,0.7246666666666667,0.5439995288848877,,,,,0.037886793782017196,0.016090024514862897,0.02346528523353398,,,,,5
openml:31,classification,none,0.0,tabpfn25,0.8150899470899471,0.762,0.4748359084129333,,,,,0.023698636552122683,0.022681367781605333,0.0186789129739055,,,,,5
openml:531,regression,block,0.3,tabpfn25,,,,3.766201758454213,0.8131725219711587,,,,,,0.5653974455484355,0.04032137824016476,,,5
openml:531,regression,block,0.5,tabpfn25,,,,4.931627727970055,0.6754407850981738,,,,,,0.5807443418156849,0.07990759294721775,,,5
openml:531,regression,block_shift,0.3,tabpfn25,,,,4.3678408835565286,0.7381564949170623,,,,,,0.6610269349047786,0.11389331514330077,,,5
openml:531,regression,block_shift,0.5,tabpfn25,,,,4.666631650654351,0.698199886646325,,,,,,0.8172442746929511,0.1368613415777162,,,5
openml:531,regression,none,0.0,tabpfn25,,,,2.715385409687083,0.9016720492720491,,,,,,0.46339315492838457,0.02875557140052964,,,5
wine,classification,block,0.3,tabpfn25,0.997043676488121,0.9703703703703704,0.08609702065587044,,,,,0.004744745797380526,0.02808472386685759,0.06690604957832551,,,,,5
wine,classification,block,0.5,tabpfn25,0.9947301463968131,0.9333333333333333,0.14450840801000595,,,,,0.00618064432683617,0.03364055948997216,0.06882553333232815,,,,,5
wine,classification,block_shift,0.3,tabpfn25,0.9948849093293537,0.9444444444444444,0.12562864795327186,,,,,0.005920718800759121,0.04140866624999612,0.08059216722938306,,,,,5
wine,classification,block_shift,0.5,tabpfn25,0.9885160518493852,0.9444444444444444,0.17914273738861083,,,,,0.02294866743124004,0.043429775553920656,0.163823214490766,,,,,5
wine,classification,none,0.0,tabpfn25,0.9997047191491635,0.9851851851851852,0.04244681522250175,,,,,0.0006602680549241925,0.008281733249999187,0.022973152743981977,,,,,5
