dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,acc,logloss,auc,rmse,r2,coverage80,width80
breast_cancer,classification,398,30,none,0.0,0.0,0,random,,tabpfn26,2.3446261882781982,,0.9883040935672515,0.0723050981760025,0.994304906542056,,,,
breast_cancer,classification,398,30,block,0.3,0.25061511423550087,0,random,,tabpfn26,0.6253311634063721,,0.9590643274853801,0.10191390663385391,0.9903621495327103,,,,
breast_cancer,classification,398,30,block,0.5,0.4859988283538371,0,random,,tabpfn26,0.6179137229919434,,0.9590643274853801,0.11530299484729767,0.9871495327102804,,,,
breast_cancer,classification,398,30,block_shift,0.3,0.283128295254833,0,random,,tabpfn26,0.5763137340545654,,0.9532163742690059,0.14728133380413055,0.9861273364485981,,,,
breast_cancer,classification,398,30,block_shift,0.5,0.49279437609841825,0,random,,tabpfn26,0.7026188373565674,,0.9415204678362573,0.14284741878509521,0.9862733644859814,,,,
breast_cancer,classification,398,30,none,0.0,0.0,1,random,,tabpfn26,0.7002935409545898,,0.9649122807017544,0.11682340502738953,0.9903621495327103,,,,
breast_cancer,classification,398,30,block,0.3,0.2886350322202695,1,random,,tabpfn26,0.5867092609405518,,0.9707602339181286,0.07944667339324951,0.9951810747663552,,,,
breast_cancer,classification,398,30,block,0.5,0.4677211482132396,1,random,,tabpfn26,0.6144556999206543,,0.9590643274853801,0.09706645458936691,0.9937207943925234,,,,
breast_cancer,classification,398,30,block_shift,0.3,0.2895137668424136,1,random,,tabpfn26,0.5752291679382324,,0.9590643274853801,0.10105513781309128,0.991822429906542,,,,
breast_cancer,classification,398,30,block_shift,0.5,0.4545401288810779,1,random,,tabpfn26,0.586479902267456,,0.9415204678362573,0.12777814269065857,0.9874415887850467,,,,
breast_cancer,classification,398,30,none,0.0,0.0,2,random,,tabpfn26,0.5757617950439453,,0.9824561403508771,0.03623400256037712,0.9998539719626168,,,,
breast_cancer,classification,398,30,block,0.3,0.26719390743995314,2,random,,tabpfn26,0.5988130569458008,,0.9766081871345029,0.03870276361703873,0.9995619158878505,,,,
breast_cancer,classification,398,30,block,0.5,0.4555360281195079,2,random,,tabpfn26,0.5771713256835938,,0.9883040935672515,0.04278500750660896,0.9997079439252337,,,,
breast_cancer,classification,398,30,block_shift,0.3,0.21745752782659636,2,random,,tabpfn26,0.5482730865478516,,0.9883040935672515,0.05770871788263321,0.9985397196261683,,,,
breast_cancer,classification,398,30,block_shift,0.5,0.47685998828353837,2,random,,tabpfn26,0.7701663970947266,,0.9883040935672515,0.05055692046880722,0.9998539719626168,,,,
breast_cancer,classification,398,30,none,0.0,0.0,3,random,,tabpfn26,0.530726432800293,,0.9766081871345029,0.08900277316570282,0.9941588785046729,,,,
breast_cancer,classification,398,30,block,0.3,0.3,3,random,,tabpfn26,0.592871904373169,,0.9883040935672515,0.04669443890452385,0.9994158878504673,,,,
breast_cancer,classification,398,30,block,0.5,0.4678968951376684,3,random,,tabpfn26,0.7767975330352783,,0.9824561403508771,0.07064457982778549,0.9966413551401869,,,,
