dataset,task,mechanism,rate,model,auc,acc,logloss,rmse,r2,coverage80,width80,auc_std,acc_std,logloss_std,rmse_std,r2_std,coverage80_std,width80_std,n_fits
breast_cancer,classification,block,0.3,tabpfn3,0.9929176775548438,0.9605524061476443,0.10004464983940124,,,,,0.0024518875342474573,0.019825858202063465,0.02187741141286154,,,,,5
breast_cancer,classification,block,0.5,tabpfn3,0.9911518759823765,0.9514332449160035,0.1282133549451828,,,,,0.00475799116562656,0.009580521775468684,0.03079824569861112,,,,,5
breast_cancer,classification,block_shift,0.3,tabpfn3,0.9871824248083445,0.9182427878558832,0.19964902698993683,,,,,0.0028653405278715642,0.05455246694940804,0.10089551789900653,,,,,5
breast_cancer,classification,block_shift,0.5,tabpfn3,0.9820548472782488,0.8851848764262558,0.28225735723972323,,,,,0.015224519178982694,0.06710627023465936,0.1194538395303645,,,,,5
breast_cancer,classification,none,0.0,tabpfn3,0.9965537383177571,0.9789473684210526,0.06355767846107482,,,,,0.0026398379762795844,0.013462999337100993,0.026573043505247796,,,,,5
diabetes,regression,block,0.3,tabpfn3,,,,62.25589588627382,0.35962576672830854,,,,,,2.3661360196694536,0.03960246212849305,,,5
diabetes,regression,block,0.5,tabpfn3,,,,63.979580333830185,0.28775353759001915,,,,,,3.1546389931086525,0.09985393688805302,,,5
diabetes,regression,block_shift,0.3,tabpfn3,,,,67.58566761860851,0.2366649614856998,,,,,,8.423018156381756,0.1835428921147666,,,5
diabetes,regression,block_shift,0.5,tabpfn3,,,,65.45390968547443,0.2590409842969974,,,,,,3.8461868525847125,0.061829260622027885,,,5
diabetes,regression,none,0.0,tabpfn3,,,,56.30941015906335,0.47204226946104055,,,,,,3.404400079984222,0.04344507099536665,,,5
openml:1590,classification,block,0.3,tabpfn3,0.870766818679207,0.8244891510943706,0.3837644815444946,,,,,0.024967808427090402,0.023684999000832107,0.048982900431116874,,,,,5
openml:1590,classification,block,0.5,tabpfn3,0.8487692448094393,0.8153352581122435,0.3837308645248413,,,,,0.02796338730146555,0.03239799026296487,0.03799929440547459,,,,,5
openml:1590,classification,block_shift,0.3,tabpfn3,0.841020525076084,0.76710074272256,0.4885981023311615,,,,,0.05967271065284605,0.13964285651532257,0.25207096337137114,,,,,5
openml:1590,classification,block_shift,0.5,tabpfn3,0.812478323358979,0.7943039156799624,0.4398648262023926,,,,,0.04567013474397231,0.0481184960927991,0.07928612088885527,,,,,5
openml:1590,classification,none,0.0,tabpfn3,0.9113450026951119,0.863111111111111,0.2985968828201294,,,,,0.002845471323836632,0.006867349840161085,0.005082049639096069,,,,,5
openml:31,classification,block,0.3,tabpfn3,0.7268356778799381,0.7268204826539539,0.5445305109024048,,,,,0.04569413132356371,0.028080806784665544,0.02533490358593163,,,,,5
openml:31,classification,block,0.5,tabpfn3,0.6861830588357183,0.6861344879541551,0.582180666923523,,,,,0.06895118951218673,0.0277593597589998,0.015790789277974875,,,,,5
openml:31,classification,block_shift,0.3,tabpfn3,0.706483965396375,0.7160144457275487,0.5550817370414733,,,,,0.06305766916653516,0.012180009820348451,0.03020984653326216,,,,,5
openml:31,classification,block_shift,0.5,tabpfn3,0.672989181446035,0.6925536185041958,0.5939266562461853,,,,,0.08720393472487498,0.021188082962287295,0.014750174684402399,,,,,5
openml:31,classification,none,0.0,tabpfn3,0.81610582010582,0.774,0.47158666849136355,,,,,0.02134658691141792,0.017061978522759598,0.01888792233210087,,,,,5
openml:531,regression,block,0.3,tabpfn3,,,,4.732196475446342,0.7266117959308966,,,,,,0.9835334673867234,0.1404372427478636,,,5
openml:531,regression,block,0.5,tabpfn3,,,,4.942063532352989,0.7134561114549847,,,,,,0.6983179730984087,0.08581194665395518,,,5
openml:531,regression,block_shift,0.3,tabpfn3,,,,6.462636578655811,0.4968043065166893,,,,,,1.6557427583679516,0.25956265681214236,,,5
openml:531,regression,block_shift,0.5,tabpfn3,,,,6.813738255455869,0.45656050573327694,,,,,,1.170158715963328,0.15293613544067958,,,5
openml:531,regression,none,0.0,tabpfn3,,,,2.7087673492165134,0.9013980798854095,,,,,,0.49278714003092544,0.032849635766356834,,,5
wine,classification,block,0.3,tabpfn3,0.9956498051622557,0.934696820415511,0.15811857134103774,,,,,0.006469167446869586,0.035713308133688774,0.06454903429983885,,,,,5
wine,classification,block,0.5,tabpfn3,0.9912555204511364,0.9146378222155009,0.19387850761413575,,,,,0.009524188982410265,0.03761347095896986,0.07484695585079626,,,,,5
wine,classification,block_shift,0.3,tabpfn3,0.9897097484850622,0.9009563080815453,0.2509833872318268,,,,,0.007914700125728334,0.020215887003928432,0.04200024728897512,,,,,5
wine,classification,block_shift,0.5,tabpfn3,0.924542370890331,0.7061627720108694,0.687314224243164,,,,,0.050818812124398816,0.1490073512392993,0.3276170186134163,,,,,5
wine,classification,none,0.0,tabpfn3,0.9999037999037999,0.9888888888888889,0.032552114315330984,,,,,0.00021510995454541426,0.010143010324169704,0.022970227387028083,,,,,5
