dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,acc,logloss,auc,rmse,r2,coverage80,width80
breast_cancer,classification,398,30,none,0.0,0.0,0,random,,tabpfn,2.080500364303589,,0.9824561403508771,0.0674678322873303,0.9964953271028038,,,,
breast_cancer,classification,281,30,block,0.3,0.25061511423550087,0,source,0.0,tabpfn,0.22179436683654785,,0.9618055555555556,0.13131842363104732,0.9890946502057613,,,,
breast_cancer,classification,453,30,block,0.5,0.49279437609841825,0,source,2.0,tabpfn,0.2097947597503662,,0.9310344827586207,0.1696721454747624,0.9850270786874801,,,,
breast_cancer,classification,281,30,block_shift,0.3,0.2662565905096661,0,source,0.0,tabpfn,0.20316362380981445,,0.9097222222222222,0.23281470947451055,0.9819187242798354,,,,
breast_cancer,classification,453,30,block_shift,0.5,0.48728763913298184,0,source,2.0,tabpfn,0.19974517822265625,,0.8879310344827587,0.22798598138640458,0.9710098757566104,,,,
breast_cancer,classification,398,30,none,0.0,0.0,1,random,,tabpfn,0.19884490966796875,,0.9649122807017544,0.10193520996880176,0.9915303738317757,,,,
breast_cancer,classification,373,30,block,0.3,0.2886350322202695,1,source,0.0,tabpfn,0.19874930381774902,,0.9744897959183674,0.1154478248618417,0.9881578947368421,,,,
breast_cancer,classification,366,30,block,0.5,0.47855887521968365,1,source,0.0,tabpfn,0.19981122016906738,,0.896551724137931,0.25997612320446123,0.9676706827309237,,,,
breast_cancer,classification,373,30,block_shift,0.3,0.3,1,source,0.0,tabpfn,0.19882869720458984,,0.9489795918367347,0.20485886821193597,0.9782894736842105,,,,
breast_cancer,classification,366,30,block_shift,0.5,0.44499121265377856,1,source,0.0,tabpfn,0.19909334182739258,,0.9211822660098522,0.22032356078037435,0.9829819277108434,,,,
breast_cancer,classification,398,30,none,0.0,0.0,2,random,,tabpfn,0.19795584678649902,,0.9824561403508771,0.03857650184645671,0.9995619158878505,,,,
breast_cancer,classification,289,30,block,0.3,0.26719390743995314,2,source,1.0,tabpfn,0.2019810676574707,,0.9285714285714286,0.23287556456649636,0.9802433247200688,,,,
breast_cancer,classification,395,30,block,0.5,0.4555360281195079,2,source,2.0,tabpfn,0.19857168197631836,,0.9425287356321839,0.27861764316770526,0.9810606060606061,,,,
breast_cancer,classification,289,30,block_shift,0.3,0.2338605741066198,2,source,1.0,tabpfn,0.19958806037902832,,0.9571428571428572,0.14104699139165597,0.9897179155900085,,,,
breast_cancer,classification,395,30,block_shift,0.5,0.46397188049209137,2,source,2.0,tabpfn,0.19817352294921875,,0.8850574712643678,0.2529166623227645,0.9783950617283951,,,,
breast_cancer,classification,398,30,none,0.0,0.0,3,random,,tabpfn,0.19805479049682617,,0.9590643274853801,0.0885288769885377,0.9944509345794392,,,,
breast_cancer,classification,407,30,block,0.3,0.29086115992970124,3,source,3.0,tabpfn,0.1999058723449707,,0.9012345679012346,0.229870402563968,0.9619341563786008,,,,
breast_cancer,classification,369,30,block,0.5,0.4561218512009373,3,source,2.0,tabpfn,0.2001781463623047,,0.935,0.22421852241475215,0.9720959073997519,,,,
breast_cancer,classification,407,30,block_shift,0.3,0.3,3,source,3.0,tabpfn,0.2011880874633789,,0.9506172839506173,0.12987342696892837,0.9837105624142661,,,,
breast_cancer,classification,369,30,block_shift,0.5,0.4666666666666667,3,source,2.0,tabpfn,0.19904184341430664,,0.895,0.3131336951075611,0.968995452666391,,,,
breast_cancer,classification,398,30,none,0.0,0.0,4,random,,tabpfn,0.19836211204528809,,0.9883040935672515,0.03383021345339607,0.9997079439252337,,,,
breast_cancer,classification,377,30,block,0.3,0.3,4,source,0.0,tabpfn,0.20237445831298828,,0.9635416666666666,0.1257997167708145,0.9910784867306607,,,,
breast_cancer,classification,452,30,block,0.5,0.49420035149384883,4,source,2.0,tabpfn,0.2013850212097168,,0.9572649572649573,0.12353420760080268,0.995679012345679,,,,
breast_cancer,classification,377,30,block_shift,0.3,0.28886936145284126,4,source,0.0,tabpfn,0.19914841651916504,,0.921875,0.2104349106470138,0.9696216826651609,,,,
breast_cancer,classification,452,30,block_shift,0.5,0.4884007029876977,4,source,2.0,tabpfn,0.20107555389404297,,0.9316239316239316,0.15294061252332067,0.9973765432098766,,,,
wine,classification,124,13,none,0.0,0.0,0,random,,tabpfn,0.18012738227844238,,1.0,0.01717265710807087,1.0,,,,
wine,classification,82,13,block,0.3,0.23076923076923078,0,source,0.0,tabpfn,0.17906522750854492,,0.96875,0.09048222820837575,0.9986248465380867,,,,
wine,classification,131,13,block,0.5,0.46153846153846156,0,source,2.0,tabpfn,0.18097972869873047,,0.9787234042553191,0.08707965061432657,1.0,,,,
wine,classification,82,13,block_shift,0.3,0.2722558340535869,0,source,0.0,tabpfn,0.1797618865966797,,0.8854166666666666,0.21642574813178103,0.9932104579583325,,,,
wine,classification,131,13,block_shift,0.5,0.46153846153846156,0,source,2.0,tabpfn,0.17972230911254883,,0.8297872340425532,0.33705081521241753,0.9737484737484737,,,,
wine,classification,124,13,none,0.0,0.0,1,random,,tabpfn,0.17916154861450195,,0.9814814814814815,0.037681687145616226,1.0,,,,
wine,classification,116,13,block,0.3,0.2808988764044944,1,source,0.0,tabpfn,0.18397855758666992,,0.8870967741935484,0.31507212316456573,0.9909382284382283,,,,
wine,classification,116,13,block,0.5,0.4347450302506482,1,source,0.0,tabpfn,0.18454432487487793,,0.7580645161290323,0.592817314093034,0.9870377884803009,,,,
wine,classification,116,13,block_shift,0.3,0.3076923076923077,1,source,0.0,tabpfn,0.18041110038757324,,0.8548387096774194,0.3487163581707819,0.9874759499759499,,,,
wine,classification,116,13,block_shift,0.5,0.4105445116681072,1,source,0.0,tabpfn,0.18180203437805176,,0.7258064516129032,0.748890375335179,0.9413589961121581,,,,
wine,classification,124,13,none,0.0,0.0,2,random,,tabpfn,0.2331843376159668,,0.9814814814814815,0.08128152319178034,0.998523595745818,,,,
wine,classification,93,13,block,0.3,0.23076923076923078,2,source,1.0,tabpfn,0.1795964241027832,,0.9882352941176471,0.06581524929499454,0.9984032871442072,,,,
wine,classification,116,13,block,0.5,0.4407951598962835,2,source,0.0,tabpfn,0.1832752227783203,,0.8548387096774194,0.32144047259550174,0.9863698313698314,,,,
wine,classification,93,13,block_shift,0.3,0.27095937770095074,2,source,1.0,tabpfn,0.18309354782104492,,0.7529411764705882,0.6635512179845767,0.9668010418726114,,,,
wine,classification,116,13,block_shift,0.5,0.40535868625756266,2,source,0.0,tabpfn,0.1835944652557373,,0.6129032258064516,0.9821004361091067,0.9054660625248862,,,,
wine,classification,124,13,none,0.0,0.0,3,random,,tabpfn,0.18342041969299316,,1.0,0.01087832867263647,1.0,,,,
wine,classification,127,13,block,0.3,0.3076923076923077,3,source,3.0,tabpfn,0.18099260330200195,,0.8823529411764706,0.2765898719757014,0.9892416225749558,,,,
wine,classification,119,13,block,0.5,0.439066551426102,3,source,1.0,tabpfn,0.18306589126586914,,0.8983050847457628,0.25832327650657677,0.9855598298070758,,,,
wine,classification,127,13,block_shift,0.3,0.28565254969749354,3,source,3.0,tabpfn,0.18007111549377441,,0.9019607843137255,0.19489268538875018,0.9989417989417989,,,,
wine,classification,119,13,block_shift,0.5,0.4070872947277442,3,source,1.0,tabpfn,0.18161606788635254,,0.8813559322033898,0.32390797266808613,0.9832915622389308,,,,
wine,classification,124,13,none,0.0,0.0,4,random,,tabpfn,0.18007278442382812,,0.9814814814814815,0.07061470548077435,1.0,,,,
wine,classification,126,13,block,0.3,0.3076923076923077,4,source,1.0,tabpfn,0.18018364906311035,,0.5192307692307693,1.0770668832333512,0.9158212046079693,,,,
wine,classification,151,13,block,0.5,0.46153846153846156,4,source,1.0,tabpfn,0.17999649047851562,,0.9259259259259259,0.14259910021416278,1.0,,,,
wine,classification,126,13,block_shift,0.3,0.3076923076923077,4,source,1.0,tabpfn,0.18272089958190918,,0.9230769230769231,0.2168320719551925,0.995517221528251,,,,
wine,classification,151,13,block_shift,0.5,0.44727744165946415,4,source,1.0,tabpfn,0.18006348609924316,,0.6666666666666666,0.7645536027443828,0.8334961334961335,,,,
diabetes,regression,309,10,none,0.0,0.0,0,random,,tabpfn,0.324016809463501,,,,,55.45796731137183,0.5003138310223045,,
diabetes,regression,212,10,block,0.3,0.24796380090497738,0,source,0.0,tabpfn,0.2629709243774414,,,,,65.37777073846026,0.3281964645334273,,
diabetes,regression,355,10,block,0.5,0.5,0,source,1.0,tabpfn,0.25323033332824707,,,,,62.66974191239444,0.28622040353589895,,
diabetes,regression,212,10,block_shift,0.3,0.24796380090497738,0,source,0.0,tabpfn,0.30255842208862305,,,,,79.65281471940968,0.002795283817004779,,
