dataset,task,mechanism,rate,model,auc,acc,logloss,rmse,r2,coverage80,width80,auc_std,acc_std,logloss_std,rmse_std,r2_std,coverage80_std,width80_std,n_fits
breast_cancer,classification,block,0.3,tabpfn,0.9821017025543867,0.9459286029226506,0.1670623864788336,,,,,0.012003592396452023,0.030318590223867348,0.05899263313533346,,,,,5
breast_cancer,classification,block,0.5,tabpfn,0.9803066574448881,0.9324759799587387,0.21120372837249674,,,,,0.011025474861589593,0.02244188071521457,0.06423313887697081,,,,,5
breast_cancer,classification,block_shift,0.3,tabpfn,0.9806516717266962,0.9376673910304862,0.18380578133880893,,,,,0.007422931538305428,0.020647587438972187,0.045528098459176894,,,,,5
breast_cancer,classification,block_shift,0.5,tabpfn,0.9797517722144233,0.9041589406761821,0.23346010242408505,,,,,0.01134709527163922,0.02095361902272963,0.057905876376139004,,,,,5
breast_cancer,classification,none,0.0,tabpfn,0.9963492990654206,0.9754385964912281,0.06606772690890451,,,,,0.003480249792001465,0.012678060461215668,0.029949810634838602,,,,,5
diabetes,regression,block,0.3,tabpfn,,,,63.19129528431002,0.34114699590830355,,,,,,3.416897748440205,0.03772061715770979,,,5
diabetes,regression,block,0.5,tabpfn,,,,65.60644463562649,0.25122502072976405,,,,,,3.7614505342696787,0.1100258867100897,,,5
diabetes,regression,block_shift,0.3,tabpfn,,,,67.85702106207474,0.23107398768017884,,,,,,8.201509046143627,0.1786637906755554,,,5
diabetes,regression,block_shift,0.5,tabpfn,,,,66.95201487015086,0.22436022122964278,,,,,,5.312573945683196,0.09156574253192798,,,5
diabetes,regression,none,0.0,tabpfn,,,,56.195076821909666,0.47433294042027346,,,,,,3.086369965973654,0.03632593818041751,,,5
openml:1590,classification,block,0.3,tabpfn,0.8671223876020766,0.8086012567676193,0.4050357752980184,,,,,0.02247493649443646,0.023329042889968964,0.054048825387325514,,,,,5
openml:1590,classification,block,0.5,tabpfn,0.8421510208270913,0.8129642826008375,0.39653976419428355,,,,,0.033606147547441394,0.03354164798322894,0.04065147233992502,,,,,5
openml:1590,classification,block_shift,0.3,tabpfn,0.835596258110022,0.7564019906028293,0.4896690084921591,,,,,0.06152666116015033,0.1410753435015426,0.22220226757493333,,,,,5
openml:1590,classification,block_shift,0.5,tabpfn,0.8163839013496712,0.7879495304622124,0.43293964756513975,,,,,0.047827466084001805,0.06317042783464295,0.05877769924555164,,,,,5
openml:1590,classification,none,0.0,tabpfn,0.9163642940225255,0.8684444444444445,0.29001459503195826,,,,,0.004395509831161955,0.009316121696113113,0.007658947223812088,,,,,5
openml:31,classification,block,0.3,tabpfn,0.7200554647245904,0.7362561421969881,0.553328449655542,,,,,0.05363460128712622,0.014279786107913915,0.026871986279094387,,,,,5
openml:31,classification,block,0.5,tabpfn,0.6831676366237549,0.6822538128102504,0.5996905645780931,,,,,0.06693332665962469,0.037671731602801295,0.01486526232647947,,,,,5
openml:31,classification,block_shift,0.3,tabpfn,0.6898246829591776,0.7067664017505866,0.5633816478911929,,,,,0.07369002314584325,0.017747572430004528,0.026513310947669566,,,,,5
openml:31,classification,block_shift,0.5,tabpfn,0.6649285478500895,0.6941804490679715,0.5928840153142348,,,,,0.09503072981711294,0.019371011249196164,0.01837261991178141,,,,,5
openml:31,classification,none,0.0,tabpfn,0.8056507936507936,0.7613333333333333,0.48335318188119947,,,,,0.028365066534808053,0.01757523510195211,0.021282487690316983,,,,,5
openml:531,regression,block,0.3,tabpfn,,,,5.671736280440815,0.6049255818054291,,,,,,1.273596722907632,0.2042469411640843,,,5
openml:531,regression,block,0.5,tabpfn,,,,6.29163875917068,0.5293998249846602,,,,,,0.8092041903635009,0.1375911062752275,,,5
openml:531,regression,block_shift,0.3,tabpfn,,,,6.744133311281969,0.4699981837318978,,,,,,1.121188774175533,0.15184534535853353,,,5
openml:531,regression,block_shift,0.5,tabpfn,,,,7.199177993971565,0.3774170290458504,,,,,,1.0954865645091294,0.2307665381167261,,,5
openml:531,regression,none,0.0,tabpfn,,,,2.697777322604763,0.9027035258691957,,,,,,0.42322079530401746,0.02831690884898352,,,5
wine,classification,block,0.3,tabpfn,0.9786058378606896,0.8491331557436871,0.3650052711753977,,,,,0.03535469435974139,0.19041925416496935,0.4129830237930956,,,,,5
wine,classification,block,0.5,tabpfn,0.9917934899314416,0.8831715281466919,0.28045196280472035,,,,,0.007509742040212168,0.08312887156560032,0.19757157704480954,,,,,5
wine,classification,block_shift,0.3,tabpfn,0.9883892940553887,0.8636468520410645,0.3280836163262165,,,,,0.012770015275341093,0.06672170852460262,0.19719814371406333,,,,,5
wine,classification,block_shift,0.5,tabpfn,0.9274722456241165,0.743303902066393,0.6313006404138344,,,,,0.0607575283013711,0.1114915834556363,0.289705629132183,,,,,5
wine,classification,none,0.0,tabpfn,0.9997047191491635,0.9888888888888889,0.04352578031977565,,,,,0.0006602680549241925,0.010143010324169704,0.03143963506979272,,,,,5
