dataset,task,mechanism,rate,model,auc,acc,logloss,rmse,r2,coverage80,width80,auc_std,acc_std,logloss_std,rmse_std,r2_std,coverage80_std,width80_std,n_fits
breast_cancer,classification,block,0.3,tabpfn,0.9847450296105015,0.9525900730662636,0.14492250102415236,,,,,0.00846615668818544,0.019020566064374033,0.03709806502026165,,,,,5
breast_cancer,classification,block,0.5,tabpfn,0.9822361094688821,0.937372573786367,0.20771773721228337,,,,,0.009664606037091445,0.016891556980122777,0.07288543293725808,,,,,5
breast_cancer,classification,block_shift,0.3,tabpfn,0.9788853229348161,0.9330870496346687,0.19713695090748798,,,,,0.00899673253246488,0.01886780083800627,0.05618713725348457,,,,,5
breast_cancer,classification,block_shift,0.5,tabpfn,0.9774915128831939,0.9056809818533956,0.27633609433930284,,,,,0.01177239610145325,0.010265337263670923,0.08249328700786682,,,,,5
breast_cancer,classification,none,0.0,tabpfn,0.9963492990654206,0.9754385964912281,0.06606772690890451,,,,,0.003480249792001465,0.012678060461215668,0.029949810634838602,,,,,5
diabetes,regression,block,0.3,tabpfn,,,,64.04218474042266,0.3224142055807463,,,,,,3.5655773149279977,0.055516994576507564,,,5
diabetes,regression,block,0.5,tabpfn,,,,66.02404863346757,0.24124834231305875,,,,,,4.042877165485387,0.1157712141210024,,,5
diabetes,regression,block_shift,0.3,tabpfn,,,,65.76751055717548,0.2778358084075337,,,,,,6.280186228978437,0.14946068268147736,,,5
diabetes,regression,block_shift,0.5,tabpfn,,,,70.07847746336475,0.14626350473183966,,,,,,7.782280527075423,0.16998965683041423,,,5
diabetes,regression,none,0.0,tabpfn,,,,56.195076821909666,0.47433294042027346,,,,,,3.086369965973654,0.03632593818041751,,,5
openml:1590,classification,block,0.3,tabpfn,0.8616398655111812,0.8055717763896645,0.41652800361592845,,,,,0.02160271151588341,0.023341348321623493,0.06620608429734846,,,,,5
openml:1590,classification,block,0.5,tabpfn,0.8390599817226005,0.8134116904651968,0.39890534400736477,,,,,0.033843439157013856,0.032928369134804215,0.038386541272907505,,,,,5
openml:1590,classification,block_shift,0.3,tabpfn,0.8442245989721011,0.7684046690536799,0.46371948954158826,,,,,0.05210865376778783,0.11723455748099379,0.16734927141953201,,,,,5
openml:1590,classification,block_shift,0.5,tabpfn,0.8150439738558791,0.7845928440618375,0.4596056281057426,,,,,0.045554223212592705,0.07236604661566545,0.0905297069658468,,,,,5
openml:1590,classification,none,0.0,tabpfn,0.9163642940225255,0.8684444444444445,0.29001459503195826,,,,,0.004395509831161955,0.009316121696113113,0.007658947223812088,,,,,5
openml:31,classification,block,0.3,tabpfn,0.7187437317478068,0.7353968464668181,0.5579266034515935,,,,,0.05612382903144846,0.013548279059673202,0.03223424342072508,,,,,5
openml:31,classification,block,0.5,tabpfn,0.691047582585317,0.6847854583798707,0.5974433097346481,,,,,0.07379309500555459,0.03820174306076165,0.0152573645108004,,,,,5
openml:31,classification,block_shift,0.3,tabpfn,0.6771573160740669,0.7041675231765486,0.5706779192640014,,,,,0.09644903157853024,0.010164684268697224,0.02711238713573642,,,,,5
openml:31,classification,block_shift,0.5,tabpfn,0.6641412350763415,0.6866260063940206,0.5965672176186834,,,,,0.09332868649238583,0.022389433329250998,0.019940626732129596,,,,,5
openml:31,classification,none,0.0,tabpfn,0.8056507936507936,0.7613333333333333,0.48335318188119947,,,,,0.028365066534808053,0.01757523510195211,0.021282487690316983,,,,,5
openml:531,regression,block,0.3,tabpfn,,,,5.719276975151965,0.6098224254585387,,,,,,0.8638085717803502,0.14827753011092287,,,5
openml:531,regression,block,0.5,tabpfn,,,,6.73947271258657,0.45375363150571035,,,,,,1.096018285720834,0.1929834392915336,,,5
openml:531,regression,block_shift,0.3,tabpfn,,,,6.5142687096050995,0.4891103491354807,,,,,,1.5173653315368396,0.242161858667986,,,5
openml:531,regression,block_shift,0.5,tabpfn,,,,7.128437785349135,0.40140790649198677,,,,,,0.8401534520980172,0.1648233627858309,,,5
openml:531,regression,none,0.0,tabpfn,,,,2.697777322604763,0.9027035258691957,,,,,,0.42322079530401746,0.02831690884898352,,,5
wine,classification,block,0.3,tabpfn,0.97709010070157,0.8452115871162361,0.3734406468305772,,,,,0.04141895313932651,0.18976485893951123,0.4244204079834502,,,,,5
wine,classification,block,0.5,tabpfn,0.9898756634084185,0.8702683023402402,0.32229827766558017,,,,,0.009642586593562976,0.10299480553309315,0.21079050587193618,,,,,5
wine,classification,block_shift,0.3,tabpfn,0.9874245548185907,0.8708696419014256,0.3440080422681813,,,,,0.012021565528129429,0.07097402519944643,0.1901487509973666,,,,,5
wine,classification,block_shift,0.5,tabpfn,0.9292452967878715,0.7148106786683849,0.5893253321256261,,,,,0.06454350209523596,0.13268538100897245,0.26125687838535244,,,,,5
wine,classification,none,0.0,tabpfn,0.9997047191491635,0.9888888888888889,0.04352578031977565,,,,,0.0006602680549241925,0.010143010324169704,0.03143963506979272,,,,,5
