dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,acc,logloss,auc,rmse,r2,coverage80,width80
breast_cancer,classification,398,30,none,0.0,0.0,0,random,,tabpfn,2.318506956100464,,0.9824561403508771,0.0674678322873303,0.9964953271028038,,,,
breast_cancer,classification,398,30,block,0.3,0.25061511423550087,0,random,,tabpfn,0.21246337890625,,0.9766081871345029,0.08933014110103647,0.9921144859813084,,,,
breast_cancer,classification,398,30,block,0.5,0.4859988283538371,0,random,,tabpfn,0.20096278190612793,,0.9649122807017544,0.10082988358544807,0.9889018691588785,,,,
breast_cancer,classification,398,30,block_shift,0.3,0.283128295254833,0,random,,tabpfn,0.20195555686950684,,0.9473684210526315,0.13124648427960012,0.9867114485981309,,,,
breast_cancer,classification,398,30,block_shift,0.5,0.49279437609841825,0,random,,tabpfn,0.2008366584777832,,0.9473684210526315,0.14552664327894033,0.985981308411215,,,,
breast_cancer,classification,398,30,none,0.0,0.0,1,random,,tabpfn,0.20068621635437012,,0.9649122807017544,0.10193520996880176,0.9915303738317757,,,,
breast_cancer,classification,398,30,block,0.3,0.2886350322202695,1,random,,tabpfn,0.21317052841186523,,0.9766081871345029,0.07455508429699426,0.9947429906542056,,,,
breast_cancer,classification,398,30,block,0.5,0.4677211482132396,1,random,,tabpfn,0.2108752727508545,,0.9590643274853801,0.10721965354488641,0.9908002336448598,,,,
breast_cancer,classification,398,30,block_shift,0.3,0.2895137668424136,1,random,,tabpfn,0.19804859161376953,,0.9766081871345029,0.08948356939233562,0.9928446261682243,,,,
breast_cancer,classification,398,30,block_shift,0.5,0.4545401288810779,1,random,,tabpfn,0.19639277458190918,,0.9473684210526315,0.11558222376673474,0.9908002336448598,,,,
breast_cancer,classification,398,30,none,0.0,0.0,2,random,,tabpfn,0.19671273231506348,,0.9824561403508771,0.03857650184645671,0.9995619158878505,,,,
breast_cancer,classification,398,30,block,0.3,0.26719390743995314,2,random,,tabpfn,0.19667601585388184,,0.9883040935672515,0.03759524802088755,0.9997079439252337,,,,
breast_cancer,classification,398,30,block,0.5,0.4555360281195079,2,random,,tabpfn,0.1970529556274414,,0.9941520467836257,0.03827087923151266,0.9997079439252337,,,,
breast_cancer,classification,398,30,block_shift,0.3,0.21745752782659636,2,random,,tabpfn,0.19733142852783203,,0.9883040935672515,0.06042016713959143,0.9985397196261683,,,,
breast_cancer,classification,398,30,block_shift,0.5,0.47685998828353837,2,random,,tabpfn,0.1986861228942871,,0.9824561403508771,0.05155178694494356,0.9994158878504673,,,,
breast_cancer,classification,398,30,none,0.0,0.0,3,random,,tabpfn,0.19699525833129883,,0.9590643274853801,0.0885288769885377,0.9944509345794392,,,,
breast_cancer,classification,398,30,block,0.3,0.3,3,random,,tabpfn,0.1988992691040039,,0.9824561403508771,0.055392828499259354,0.9986857476635514,,,,
breast_cancer,classification,398,30,block,0.5,0.4678968951376684,3,random,,tabpfn,0.20364046096801758,,0.9824561403508771,0.0653560295383594,0.9972254672897196,,,,
breast_cancer,classification,398,30,block_shift,0.3,0.3,3,random,,tabpfn,0.20668935775756836,,0.9707602339181286,0.0851721692564427,0.9953271028037383,,,,
breast_cancer,classification,398,30,block_shift,0.5,0.4450497949619215,3,random,,tabpfn,0.19783926010131836,,0.9766081871345029,0.08322338773051577,0.9953271028037383,,,,
breast_cancer,classification,398,30,none,0.0,0.0,4,random,,tabpfn,0.19662857055664062,,0.9883040935672515,0.03383021345339607,0.9997079439252337,,,,
breast_cancer,classification,398,30,block,0.3,0.28904510837727004,4,random,,tabpfn,0.1975393295288086,,0.9883040935672515,0.04992481345147368,0.9989778037383178,,,,
