dataset,task,mechanism,rate,model,auc,acc,logloss,rmse,r2,coverage80,width80,auc_std,acc_std,logloss_std,rmse_std,r2_std,coverage80_std,width80_std,n_fits
breast_cancer,classification,block,0.3,tabpfn,0.9968457943925234,0.9824561403508772,0.06135962307393026,,,,,0.003276043905445781,0.005847953216374254,0.020540040809683694,,,,,5
breast_cancer,classification,block,0.5,tabpfn,0.9947429906542056,0.9754385964912281,0.07576592857673126,,,,,0.004635096450964923,0.013961796943056487,0.028310609865996837,,,,,5
breast_cancer,classification,block_shift,0.3,tabpfn,0.99375,0.968421052631579,0.09130474908120068,,,,,0.004423709648486161,0.015800299515913795,0.025452614408374926,,,,,5
breast_cancer,classification,block_shift,0.5,tabpfn,0.9936623831775702,0.9660818713450292,0.09374679059790167,,,,,0.005311086093463602,0.017248983864038177,0.03703302307480426,,,,,5
breast_cancer,classification,none,0.0,tabpfn,0.9963492990654206,0.9754385964912281,0.06606772690890451,,,,,0.003480249792001465,0.012678060461215668,0.029949810634838602,,,,,5
diabetes,regression,block,0.3,tabpfn,,,,59.44788190144467,0.4117931442710077,,,,,,3.122991750493447,0.03615873127455752,,,5
diabetes,regression,block,0.5,tabpfn,,,,64.93099259983637,0.2983410721695515,,,,,,3.5529938780454913,0.0443166351296776,,,5
diabetes,regression,block_shift,0.3,tabpfn,,,,59.48611227992784,0.4101656723949111,,,,,,1.0657368324182381,0.030639570860841514,,,5
diabetes,regression,block_shift,0.5,tabpfn,,,,64.6560566332666,0.30404264830915056,,,,,,3.0661586196382165,0.039941013126797764,,,5
diabetes,regression,none,0.0,tabpfn,,,,56.195076821909666,0.47433294042027346,,,,,,3.086369965973654,0.03632593818041751,,,5
openml:1590,classification,block,0.3,tabpfn,0.9005248375840449,0.8566666666666667,0.3175550731947753,,,,,0.012814858395810116,0.007157832625958393,0.019544183643360812,,,,,5
openml:1590,classification,block,0.5,tabpfn,0.86875230502993,0.8324444444444445,0.35815006339142197,,,,,0.010219320691204865,0.00600411381604723,0.011372019247703173,,,,,5
openml:1590,classification,block_shift,0.3,tabpfn,0.8953424210615906,0.8542222222222222,0.3241918356650017,,,,,0.004194508882516327,0.007833136325339845,0.006868191822953126,,,,,5
openml:1590,classification,block_shift,0.5,tabpfn,0.8610676898635422,0.8344444444444445,0.36754402890573157,,,,,0.027771820717093724,0.018206632897971035,0.03197207029030663,,,,,5
openml:1590,classification,none,0.0,tabpfn,0.9163642940225255,0.8684444444444445,0.29001459503195826,,,,,0.004395509831161955,0.009316121696113113,0.007658947223812088,,,,,5
openml:31,classification,block,0.3,tabpfn,0.7589576719576719,0.7493333333333333,0.5165838157693678,,,,,0.05641896655593751,0.0334497965448056,0.036335253007553525,,,,,5
openml:31,classification,block,0.5,tabpfn,0.7305079365079366,0.7133333333333333,0.5390352933174698,,,,,0.032364848417972505,0.0062360956446232355,0.020354307192811116,,,,,5
openml:31,classification,block_shift,0.3,tabpfn,0.7654973544973546,0.7426666666666667,0.5167042137009441,,,,,0.025305856977334288,0.019635568633364176,0.022303594681054913,,,,,5
openml:31,classification,block_shift,0.5,tabpfn,0.7157037037037037,0.7233333333333334,0.5508531891927528,,,,,0.033301869546185116,0.012472191289246442,0.020396776753231916,,,,,5
openml:31,classification,none,0.0,tabpfn,0.8056507936507936,0.7613333333333333,0.48335318188119947,,,,,0.028365066534808053,0.01757523510195211,0.021282487690316983,,,,,5
openml:531,regression,block,0.3,tabpfn,,,,3.7110929964068973,0.8192011464539481,,,,,,0.4583236516059881,0.02720211448996213,,,5
openml:531,regression,block,0.5,tabpfn,,,,4.867831872432052,0.6831652680213084,,,,,,0.6137540839283767,0.08326913713011573,,,5
openml:531,regression,block_shift,0.3,tabpfn,,,,4.361457760670001,0.7407678545489549,,,,,,0.6181804792528905,0.10261930447556927,,,5
openml:531,regression,block_shift,0.5,tabpfn,,,,4.77299277286126,0.6857661693031007,,,,,,0.7870302617199979,0.13580687569281996,,,5
openml:531,regression,none,0.0,tabpfn,,,,2.697777322604763,0.9027035258691957,,,,,,0.42322079530401746,0.02831690884898352,,,5
wine,classification,block,0.3,tabpfn,0.9967306356195245,0.9666666666666666,0.09194657758767602,,,,,0.004958171210796618,0.030429030972509246,0.07454807922026534,,,,,5
wine,classification,block,0.5,tabpfn,0.9951061489950378,0.9407407407407407,0.14218691827152835,,,,,0.007229131704566725,0.02414519409334311,0.07076403900585511,,,,,5
wine,classification,block_shift,0.3,tabpfn,0.9934869451536118,0.951851851851852,0.13441566282676226,,,,,0.007949600375793252,0.03364055948997212,0.09587322391324167,,,,,5
wine,classification,block_shift,0.5,tabpfn,0.9857764046652935,0.9444444444444444,0.2005434905306947,,,,,0.02433961974229788,0.03928371006591936,0.1574453132736732,,,,,5
wine,classification,none,0.0,tabpfn,0.9997047191491635,0.9888888888888889,0.04352578031977565,,,,,0.0006602680549241925,0.010143010324169704,0.03143963506979272,,,,,5
