dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,rmse,r2,coverage80,width80
openml:189,regression,5734,8,none,0.0,0.0,0,random,,tabicl_aware,2.039424180984497,,0.06605542895604982,0.9367245317784874,0.7965825874694874,0.6527557499244521
openml:189,regression,5734,8,none,0.0,0.0,0,random,,tabicl_aware_knn,1.9494459629058838,,0.066236906913037,0.9363763733611402,0.7986167615947926,0.6436290029097869
openml:189,regression,5734,8,block_shift,0.3,0.125,0,random,,tabicl_aware,0.43685340881347656,,0.18291256807523634,0.5148171651787045,0.8051261187957689,1.7757281499261888
openml:189,regression,5734,8,block_shift,0.3,0.125,0,random,,tabicl_aware_knn,1.7979741096496582,,0.18405622340109273,0.5087310156023648,0.8022782750203418,1.766236765271139
openml:189,regression,5734,8,none,0.0,0.0,1,random,,tabicl_aware,0.48514223098754883,,0.06538523248405606,0.9356694468652337,0.8022782750203418,0.6528223018570203
openml:189,regression,5734,8,none,0.0,0.0,1,random,,tabicl_aware_knn,1.8454816341400146,,0.06601872296810812,0.9344168639754525,0.7973962571196095,0.6531067010338832
openml:189,regression,5734,8,block_shift,0.3,0.25,1,random,,tabicl_aware,0.44862818717956543,,0.17752570088036984,0.5257794029305176,0.7990235964198535,1.7565678138891265
openml:189,regression,5734,8,block_shift,0.3,0.25,1,random,,tabicl_aware_knn,1.876446008682251,,0.1788164083263757,0.518858657050336,0.7945484133441822,1.761827869619349
openml:189,regression,5734,8,none,0.0,0.0,2,random,,tabicl_aware,0.4459855556488037,,0.06500991030035079,0.9374912067147823,0.8112286411716843,0.6513477375966502
openml:189,regression,5734,8,none,0.0,0.0,2,random,,tabicl_aware_knn,1.8447065353393555,,0.06593738421217571,0.9356949011557271,0.7949552481692432,0.647130195579904
openml:189,regression,5734,8,block_shift,0.3,0.125,2,random,,tabicl_aware,0.4450869560241699,,0.1475775798596684,0.6778762476235263,0.8014646053702197,1.4268810687050173
openml:189,regression,5734,8,block_shift,0.3,0.125,2,random,,tabicl_aware_knn,1.8767015933990479,,0.14822096170308882,0.6750614523667424,0.7986167615947926,1.423462910325581
openml:507,regression,2174,6,none,0.0,0.0,0,random,,tabicl_aware,0.30921268463134766,,0.09125968222148877,0.7878563282935469,0.7631296891747053,0.9973039312514267
openml:507,regression,2174,6,none,0.0,0.0,0,random,,tabicl_aware_knn,0.30652761459350586,,0.09125968222148877,0.7878563282935469,0.7631296891747053,0.9973039312514267
openml:507,regression,2174,6,block_shift,0.3,0.3333333333333333,0,random,,tabicl_aware,0.30745577812194824,,0.13451225995200372,0.5391114535476875,0.7942122186495176,1.611855086424445
openml:507,regression,2174,6,block_shift,0.3,0.3333333333333333,0,random,,tabicl_aware_knn,0.3061943054199219,,0.13451225995200372,0.5391114535476875,0.7942122186495176,1.611855086424445
openml:507,regression,2174,6,none,0.0,0.0,1,random,,tabicl_aware,0.3054084777832031,,0.08941660373470754,0.8025807388766888,0.7888531618435155,1.0281347348005503
openml:507,regression,2174,6,none,0.0,0.0,1,random,,tabicl_aware_knn,0.306013822555542,,0.08941660373470754,0.8025807388766888,0.7888531618435155,1.0281347348005503
openml:507,regression,2174,6,block_shift,0.3,0.3333333333333333,1,random,,tabicl_aware,0.30704641342163086,,0.14437564687745952,0.4853155255926255,0.7781350482315113,1.5684205324388467
openml:507,regression,2174,6,block_shift,0.3,0.3333333333333333,1,random,,tabicl_aware_knn,0.306990385055542,,0.14437564687745952,0.4853155255926255,0.7781350482315113,1.5684205324388467
openml:507,regression,2174,6,none,0.0,0.0,2,random,,tabicl_aware,0.30649423599243164,,0.0870386645807363,0.7926415374491749,0.7952840300107181,1.0856038405806485
openml:507,regression,2174,6,none,0.0,0.0,2,random,,tabicl_aware_knn,0.35105037689208984,,0.0870386645807363,0.7926415374491749,0.7952840300107181,1.0856038405806485
openml:507,regression,2174,6,block_shift,0.3,0.2517970174873941,2,random,,tabicl_aware,0.30440330505371094,,0.14576318352457196,0.41844202489532856,0.782422293676313,1.8046593346754911
openml:507,regression,2174,6,block_shift,0.3,0.2517970174873941,2,random,,tabicl_aware_knn,0.304553747177124,,0.14576318352457196,0.41844202489532856,0.782422293676313,1.8046593346754911
openml:42225,regression,14000,9,none,0.0,0.0,0,random,,tabicl_aware,0.9333226680755615,,527.5716802959631,0.9828185210063032,0.812,0.21231811298313638
openml:42225,regression,14000,9,none,0.0,0.0,0,random,,tabicl_aware_knn,4.535933971405029,,528.0534684898005,0.9827871257901595,0.809,0.20835723296894484
openml:42225,regression,14000,9,block_shift,0.3,0.27824444444444446,0,random,,tabicl_aware,0.9316816329956055,,1120.2581865648158,0.9225299478373732,0.803,0.5137377679490753
openml:42225,regression,14000,9,block_shift,0.3,0.27824444444444446,0,random,,tabicl_aware_knn,4.615196228027344,,1128.5896674602527,0.9213733566662934,0.7943333333333333,0.5081217434023789
openml:42225,regression,14000,9,none,0.0,0.0,1,random,,tabicl_aware,0.9653549194335938,,541.3136802522156,0.9827473028312204,0.8036666666666666,0.20540537972054299
openml:42225,regression,14000,9,none,0.0,0.0,1,random,,tabicl_aware_knn,4.5374956130981445,,539.489661691567,0.982863376824529,0.7973333333333333,0.20267307646922253
openml:42225,regression,14000,9,block_shift,0.3,0.3333333333333333,1,random,,tabicl_aware,0.9176907539367676,,962.4955789436431,0.9454548073126665,0.8001666666666667,0.4079306289050255
openml:42225,regression,14000,9,block_shift,0.3,0.3333333333333333,1,random,,tabicl_aware_knn,4.517854452133179,,976.4946005660637,0.9438566030397215,0.791,0.40198885860240835
openml:42225,regression,14000,9,none,0.0,0.0,2,random,,tabicl_aware,0.9296844005584717,,546.8868064364634,0.9816487182029022,0.8201666666666667,0.20623436724254884
openml:42225,regression,14000,9,none,0.0,0.0,2,random,,tabicl_aware_knn,4.597412347793579,,552.2271519167508,0.9812885680623762,0.8105,0.20430929620937582
openml:42225,regression,14000,9,block_shift,0.3,0.2222222222222222,2,random,,tabicl_aware,0.9154305458068848,,919.1465745263331,0.9481628569577862,0.7995,0.40226367057193163
openml:42225,regression,14000,9,block_shift,0.3,0.2222222222222222,2,random,,tabicl_aware_knn,4.538867473602295,,928.0344505518743,0.9471555102797732,0.7896666666666666,0.3925275780886067
