dataset,task,mechanism,rate,model,rmse,r2,coverage80,width80,rmse_std,r2_std,coverage80_std,width80_std,n_fits
openml:189,regression,block_shift,0.3,tabicl_aware,0.1693386162717582,0.5728242719109161,0.8018714401952808,1.6530590108401109,0.01903711148887891,0.09114264021287699,0.003071535571713036,0.19610998381166772,3
openml:189,regression,block_shift,0.3,tabicl_aware_knn,0.1703645311435191,0.5675503750064811,0.7984811499864389,1.6505091817386897,0.01935502948012933,0.0932449253133796,0.0038667147896347793,0.1966401958200901,3
openml:189,regression,none,0.0,tabicl_aware,0.06548352391348555,0.936628395119501,0.8033631678871712,0.6523085964593741,0.0005296444266469217,0.0009146769540431397,0.007383052665482079,0.0008327932549490155,3
openml:189,regression,none,0.0,tabicl_aware_knn,0.06606433803110695,0.9354960461641065,0.7969894222945485,0.6479552998411914,0.0001548838679853487,0.0009947747176716928,0.0018643513811863728,0.00479241987041736,3
openml:42225,regression,block_shift,0.3,tabicl_aware,1000.633446678264,0.9387158707026085,0.8008888888888889,0.4413106891420108,105.84112074561038,0.014082665140861025,0.0018584142981863986,0.06278765732674539,3
openml:42225,regression,block_shift,0.3,tabicl_aware_knn,1011.039572859397,0.937461823328596,0.7916666666666666,0.434212726697798,104.64518665639638,0.01403031599439705,0.0024037008503092964,0.06418166420340571,3
openml:42225,regression,none,0.0,tabicl_aware,538.590722328214,0.9824048473468086,0.8119444444444445,0.2079859533154094,9.941297669206582,0.0006557945324672488,0.008250140290614178,0.0037745874765225114,3
openml:42225,regression,none,0.0,tabicl_aware_knn,539.9234273660394,0.9823130235590215,0.8056111111111112,0.2051132018825144,12.09267783007003,0.0008880232843319664,0.007207891765537528,0.0029261078289789908,3
openml:507,regression,block_shift,0.3,tabicl_aware,0.14155036345134506,0.4809563346785472,0.7849231868524473,1.6616449845129277,0.006134532593225885,0.060452705993120935,0.008325244871547729,0.1257436614080297,3
openml:507,regression,block_shift,0.3,tabicl_aware_knn,0.14155036345134506,0.4809563346785472,0.7849231868524473,1.6616449845129277,0.006134532593225885,0.060452705993120935,0.008325244871547729,0.1257436614080297,3
openml:507,regression,none,0.0,tabicl_aware,0.0892383168456442,0.7943595348731369,0.782422293676313,1.0370141688775418,0.0021161491303768767,0.0075110387508513215,0.017014477884659734,0.04481463777643336,3
openml:507,regression,none,0.0,tabicl_aware_knn,0.0892383168456442,0.7943595348731369,0.782422293676313,1.0370141688775418,0.0021161491303768767,0.0075110387508513215,0.017014477884659734,0.04481463777643336,3
