dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,rmse,r2,coverage80,width80
openml:189,regression,5734,8,none,0.0,0.0,0,random,,tabpfn3,2.910287618637085,,0.06280202551464724,0.9428040029398421,,
openml:189,regression,5734,8,block_shift,0.3,0.125,0,random,,tabpfn3,1.0044865608215332,,0.18236202514520994,0.5177334436302011,,
openml:189,regression,5734,8,none,0.0,0.0,1,random,,tabpfn3,0.934988260269165,,0.0622914070372946,0.9416132606076373,,
openml:189,regression,5734,8,block_shift,0.3,0.25,1,random,,tabpfn3,0.939939022064209,,0.1772290457767547,0.5273629755369587,,
openml:189,regression,5734,8,none,0.0,0.0,2,random,,tabpfn3,0.988253116607666,,0.062129111869042304,0.9429083923758342,,
openml:189,regression,5734,8,block_shift,0.3,0.125,2,random,,tabpfn3,0.9878890514373779,,0.14648625338861923,0.68262280008283,,
openml:507,regression,2174,6,none,0.0,0.0,0,random,,tabpfn3,0.8192188739776611,,0.08674649537662991,0.8083203300749549,,
openml:507,regression,2174,6,block_shift,0.3,0.3333333333333333,0,random,,tabpfn3,0.8180830478668213,,0.1348655935509925,0.5366869713368417,,
openml:507,regression,2174,6,none,0.0,0.0,1,random,,tabpfn3,0.8098745346069336,,0.08511223096118627,0.8211301550997716,,
openml:507,regression,2174,6,block_shift,0.3,0.3333333333333333,1,random,,tabpfn3,0.8932373523712158,,0.1410104060278612,0.5090293761456768,,
openml:507,regression,2174,6,none,0.0,0.0,2,random,,tabpfn3,0.8060574531555176,,0.08269247959063415,0.8128329672027063,,
openml:507,regression,2174,6,block_shift,0.3,0.2517970174873941,2,random,,tabpfn3,0.8035073280334473,,0.14470021427056456,0.42689305098041186,,
openml:42225,regression,14000,9,none,0.0,0.0,0,random,,tabpfn3,1.833956241607666,,519.727237602674,0.9833256639010419,,
openml:42225,regression,14000,9,block_shift,0.3,0.27824444444444446,0,random,,tabpfn3,1.7529528141021729,,1112.574256658975,0.9235890482180091,,
openml:42225,regression,14000,9,none,0.0,0.0,1,random,,tabpfn3,1.7752909660339355,,529.0829065263214,0.9835181311134262,,
openml:42225,regression,14000,9,block_shift,0.3,0.3333333333333333,1,random,,tabpfn3,1.750870704650879,,955.6173597782357,0.9462316072439098,,
openml:42225,regression,14000,9,none,0.0,0.0,2,random,,tabpfn3,1.774137258529663,,525.503379856843,0.9830557426473335,,
openml:42225,regression,14000,9,block_shift,0.3,0.2222222222222222,2,random,,tabpfn3,1.7602884769439697,,901.3893599925206,0.950146418178267,,
