dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,rmse,r2,coverage80,width80
diabetes,regression,309,10,none,0.0,0.0,0,random,,tabicl_aware,1.7081897258758545,,56.02447256693238,0.49005306364083057,0.7593984962406015,1.6967912194311086
diabetes,regression,309,10,none,0.0,0.0,0,random,,tabicl_aware_n32,0.3920445442199707,,56.04160004385544,0.48974121993917274,0.7669172932330827,1.6982868733940604
diabetes,regression,309,10,none,0.0,0.0,0,random,,tabicl_aware_med,0.2766585350036621,,56.48089313285372,0.4817103396726018,0.7593984962406015,1.6967912194311086
diabetes,regression,309,10,none,0.0,0.0,0,random,,tabicl_aware_ypow,0.5926954746246338,,56.05497380824689,0.48949765462529926,0.7593984962406015,1.6967912194311086
diabetes,regression,309,10,none,0.0,0.0,0,random,,tabicl_aware_n32_ypow,0.6278591156005859,,56.053044763952826,0.48953279030103636,0.7669172932330827,1.6982868733940604
diabetes,regression,212,10,block,0.3,0.24796380090497738,0,source,0.0,tabicl_aware,0.2754085063934326,,66.15129092042838,0.3122054712612573,0.6869565217391305,1.8051649552034057
diabetes,regression,212,10,block,0.3,0.24796380090497738,0,source,0.0,tabicl_aware_n32,0.2810952663421631,,66.07563344790256,0.313777837804719,0.6869565217391305,1.8102582723637737
diabetes,regression,212,10,block,0.3,0.24796380090497738,0,source,0.0,tabicl_aware_med,0.2727057933807373,,66.96067202394342,0.2952717573618894,0.6869565217391305,1.8051649552034057
diabetes,regression,212,10,block,0.3,0.24796380090497738,0,source,0.0,tabicl_aware_ypow,0.5381155014038086,,66.15096962877239,0.31221215237370137,0.6869565217391305,1.8051649552034057
diabetes,regression,212,10,block,0.3,0.24796380090497738,0,source,0.0,tabicl_aware_n32_ypow,0.5599682331085205,,66.06908807038337,0.31391378385362256,0.6869565217391305,1.8102582723637737
diabetes,regression,355,10,block,0.5,0.5,0,source,1.0,tabicl_aware,0.27965211868286133,,63.4183320677014,0.2690663627120945,0.8160919540229885,2.311142566685648
diabetes,regression,355,10,block,0.5,0.5,0,source,1.0,tabicl_aware_n32,0.31644415855407715,,63.29071899425298,0.27200503477228566,0.8160919540229885,2.3095063914521226
diabetes,regression,355,10,block,0.5,0.5,0,source,1.0,tabicl_aware_med,0.31554651260375977,,63.69880804889241,0.26258676405746784,0.8160919540229885,2.311142566685648
diabetes,regression,355,10,block,0.5,0.5,0,source,1.0,tabicl_aware_ypow,0.5495035648345947,,63.35424110197616,0.2705429884641225,0.8160919540229885,2.311142566685648
diabetes,regression,355,10,block,0.5,0.5,0,source,1.0,tabicl_aware_n32_ypow,0.6300036907196045,,63.257843387297726,0.2727611349018272,0.8160919540229885,2.3095063914521226
diabetes,regression,212,10,block_shift,0.3,0.24796380090497738,0,source,0.0,tabicl_aware,0.27701544761657715,,80.24354530248738,-0.012050738266223604,0.5173913043478261,1.388170822896967
diabetes,regression,212,10,block_shift,0.3,0.24796380090497738,0,source,0.0,tabicl_aware_n32,0.28327417373657227,,80.1840668575865,-0.010550981624618982,0.5260869565217391,1.3877740702287753
diabetes,regression,212,10,block_shift,0.3,0.24796380090497738,0,source,0.0,tabicl_aware_med,0.27283191680908203,,84.82542555304221,-0.1309259346737759,0.5173913043478261,1.388170822896967
diabetes,regression,212,10,block_shift,0.3,0.24796380090497738,0,source,0.0,tabicl_aware_ypow,0.5414812564849854,,80.19777774503858,-0.010896604786812203,0.5173913043478261,1.388170822896967
diabetes,regression,212,10,block_shift,0.3,0.24796380090497738,0,source,0.0,tabicl_aware_n32_ypow,0.6019101142883301,,80.16639502396865,-0.010105598355652612,0.5260869565217391,1.3877740702287753
diabetes,regression,355,10,block_shift,0.5,0.5,0,source,1.0,tabicl_aware,0.2818319797515869,,59.18956610265204,0.36329445854539577,0.8160919540229885,2.1022969552742383
diabetes,regression,355,10,block_shift,0.5,0.5,0,source,1.0,tabicl_aware_n32,0.32411909103393555,,59.05038434931261,0.36628531010785537,0.8160919540229885,2.0866148512884375
diabetes,regression,355,10,block_shift,0.5,0.5,0,source,1.0,tabicl_aware_med,0.28195905685424805,,60.64024089169637,0.33170201337351246,0.8160919540229885,2.1022969552742383
diabetes,regression,355,10,block_shift,0.5,0.5,0,source,1.0,tabicl_aware_ypow,0.5534298419952393,,59.14918275772317,0.364162974056103,0.8160919540229885,2.1022969552742383
diabetes,regression,355,10,block_shift,0.5,0.5,0,source,1.0,tabicl_aware_n32_ypow,0.6377933025360107,,59.03519023276156,0.3666113874464122,0.8160919540229885,2.0866148512884375
diabetes,regression,309,10,none,0.0,0.0,1,random,,tabicl_aware,0.2811448574066162,,57.174812573203276,0.44074138768366267,0.7518796992481203,1.6745028789597132
diabetes,regression,309,10,none,0.0,0.0,1,random,,tabicl_aware_n32,0.3160219192504883,,57.252121054125354,0.4392279707770774,0.7518796992481203,1.6752347466420692
diabetes,regression,309,10,none,0.0,0.0,1,random,,tabicl_aware_med,0.27765989303588867,,57.67577639022601,0.43089804131200826,0.7518796992481203,1.6745028789597132
diabetes,regression,309,10,none,0.0,0.0,1,random,,tabicl_aware_ypow,0.5902676582336426,,57.16269631558165,0.4409783942652229,0.7518796992481203,1.6745028789597132
diabetes,regression,309,10,none,0.0,0.0,1,random,,tabicl_aware_n32_ypow,0.6334671974182129,,57.23962275149285,0.43947278034536996,0.7518796992481203,1.6752347466420692
diabetes,regression,309,10,block,0.3,0.3,1,source,1.0,tabicl_aware,0.2824747562408447,,60.26375606091831,0.330818876372733,0.8195488721804511,2.147528796632862
diabetes,regression,309,10,block,0.3,0.3,1,source,1.0,tabicl_aware_n32,0.29230546951293945,,60.000046630669466,0.33666262977760686,0.8195488721804511,2.1407023207033484
diabetes,regression,309,10,block,0.3,0.3,1,source,1.0,tabicl_aware_med,0.2760920524597168,,60.11188179612776,0.33418751232076815,0.8195488721804511,2.147528796632862
diabetes,regression,309,10,block,0.3,0.3,1,source,1.0,tabicl_aware_ypow,0.5425467491149902,,60.32901386420082,0.32936881958701736,0.8195488721804511,2.147528796632862
diabetes,regression,309,10,block,0.3,0.3,1,source,1.0,tabicl_aware_n32_ypow,0.572594165802002,,60.05662691154541,0.33541098038211337,0.8195488721804511,2.1407023207033484
