dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,rmse,r2,coverage80,width80
openml:189,regression,602,8,none,0.0,0.0,0,random,,tabicl_aware,1.6440722942352295,,0.0929480726130491,0.8650417985708858,0.7441860465116279,0.9003175024089286
openml:189,regression,602,8,none,0.0,0.0,0,random,,tabicl_impute,0.2852802276611328,,0.09364112271063772,0.8630217136564551,0.7751937984496124,0.9442699347179883
openml:189,regression,602,8,block,0.5,0.4736918604651163,0,random,,tabicl_aware,0.31639671325683594,,0.208928852634397,0.3181083958529277,0.8294573643410853,2.261283361018085
openml:189,regression,602,8,block,0.5,0.4736918604651163,0,random,,tabicl_impute,0.21287083625793457,,0.21163356086956403,0.3003391341221727,0.8488372093023255,2.3299550794846233
openml:189,regression,602,8,none,0.0,0.0,1,random,,tabicl_aware,0.32089829444885254,,0.09736042188101154,0.8351553950129204,0.7790697674418605,1.006539133988659
openml:189,regression,602,8,none,0.0,0.0,1,random,,tabicl_impute,0.21158623695373535,,0.10019239733421317,0.8254260733841309,0.7906976744186046,1.0723009157397965
openml:189,regression,602,8,block,0.5,0.4569767441860465,1,random,,tabicl_aware,0.2835557460784912,,0.2123546221825809,0.21578836611826824,0.8255813953488372,2.4530848797529967
openml:189,regression,602,8,block,0.5,0.4569767441860465,1,random,,tabicl_impute,0.21357369422912598,,0.21283802417427344,0.21221395893458472,0.8333333333333334,2.4689943497972227
openml:189,regression,602,8,none,0.0,0.0,2,random,,tabicl_aware,0.28175806999206543,,0.10390995642304164,0.8341158382566582,0.7635658914728682,0.8842253152260579
openml:189,regression,602,8,none,0.0,0.0,2,random,,tabicl_impute,0.20930743217468262,,0.10400961586303956,0.8337974885802832,0.7829457364341085,0.9135387717221809
openml:189,regression,602,8,block,0.5,0.5,2,random,,tabicl_aware,0.28058791160583496,,0.22689868810454908,0.20903991674094113,0.8255813953488372,2.3313494567556363
openml:189,regression,602,8,block,0.5,0.5,2,random,,tabicl_impute,0.21302342414855957,,0.22543582139103147,0.21920603312488962,0.8333333333333334,2.3874900976438282
openml:507,regression,602,6,none,0.0,0.0,0,random,,tabicl_aware,0.27553844451904297,,0.10318285999051433,0.7179860784620172,0.7674418604651163,1.043994532465631
openml:507,regression,602,6,none,0.0,0.0,0,random,,tabicl_impute,0.206160306930542,,0.09673174616883035,0.7521473993786896,0.8062015503875969,1.0866871382938734
openml:507,regression,602,6,block,0.5,0.5,0,random,,tabicl_aware,0.2780473232269287,,0.1446779062655473,0.44555323316394524,0.7790697674418605,1.650282467772257
openml:507,regression,602,6,block,0.5,0.5,0,random,,tabicl_impute,0.20739269256591797,,0.14600656611292714,0.4353228695693796,0.8410852713178295,1.7326753263954742
openml:507,regression,602,6,none,0.0,0.0,1,random,,tabicl_aware,0.2759385108947754,,0.09424851680868995,0.7628274130853501,0.8294573643410853,1.1012172300554073
openml:507,regression,602,6,none,0.0,0.0,1,random,,tabicl_impute,0.2069387435913086,,0.08971717356141694,0.7850850594196884,0.8449612403100775,1.1112163842367706
openml:507,regression,602,6,block,0.5,0.44825581395348835,1,random,,tabicl_aware,0.2803306579589844,,0.13575356181413198,0.5079401747607668,0.7829457364341085,1.632794743509456
openml:507,regression,602,6,block,0.5,0.44825581395348835,1,random,,tabicl_impute,0.20870280265808105,,0.1369459972469548,0.499257875521291,0.7984496124031008,1.6698063128441734
openml:507,regression,602,6,none,0.0,0.0,2,random,,tabicl_aware,0.27244138717651367,,0.08684814653262463,0.769977782113187,0.813953488372093,1.1667582915310126
openml:507,regression,602,6,none,0.0,0.0,2,random,,tabicl_impute,0.24758315086364746,,0.08878049751136213,0.7596280278673706,0.7868217054263565,1.1889290592154043
openml:507,regression,602,6,block,0.5,0.38624031007751936,2,random,,tabicl_aware,0.2785322666168213,,0.12499972724692714,0.5234957170374999,0.810077519379845,1.6876259265582958
openml:507,regression,602,6,block,0.5,0.38624031007751936,2,random,,tabicl_impute,0.2097640037536621,,0.12457462992525238,0.5267311842840505,0.8255813953488372,1.7749829842069533
