dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,rmse,r2,coverage80,width80
openml:189,regression,1204,8,none,0.0,0.0,0,random,,tabpfn3,2.5133540630340576,,0.07654765955518729,0.9205738865781137,,
openml:189,regression,1204,8,none,0.0,0.0,0,random,,tabpfn25,0.43746066093444824,,0.08822416587651745,0.8944946214135819,,
openml:189,regression,1204,8,block,0.5,0.5,0,random,,tabpfn3,0.8515779972076416,,0.23595929482941333,0.24530120345490591,,
openml:189,regression,1204,8,block,0.5,0.5,0,random,,tabpfn25,0.44567060470581055,,0.23804321828237757,0.23191177975152,,
openml:189,regression,1204,8,none,0.0,0.0,1,random,,tabpfn3,0.8012065887451172,,0.076438184005687,0.9109401761748552,,
openml:189,regression,1204,8,none,0.0,0.0,1,random,,tabpfn25,0.41272544860839844,,0.08499536301440772,0.889883708560999,,
openml:189,regression,1204,8,block,0.5,0.5,1,random,,tabpfn3,0.808321475982666,,0.22264214633966517,0.24442797382044146,,
openml:189,regression,1204,8,block,0.5,0.5,1,random,,tabpfn25,0.43666863441467285,,0.22488270979533131,0.22914402692061475,,
openml:189,regression,1204,8,none,0.0,0.0,2,random,,tabpfn3,0.8280775547027588,,0.08131285778184638,0.9008164096236416,,
openml:189,regression,1204,8,none,0.0,0.0,2,random,,tabpfn25,0.42076897621154785,,0.09098943623707247,0.8758052252618483,,
openml:189,regression,1204,8,block,0.5,0.4155523255813954,2,random,,tabpfn3,0.7967226505279541,,0.23259173001620762,0.18846003165950098,,
openml:189,regression,1204,8,block,0.5,0.4155523255813954,2,random,,tabpfn25,0.4028041362762451,,0.23091641727866258,0.20010865596610639,,
openml:507,regression,1204,6,none,0.0,0.0,0,random,,tabpfn3,0.8404927253723145,,0.09439016204619197,0.7562722896093276,,
openml:507,regression,1204,6,none,0.0,0.0,0,random,,tabpfn25,0.407470703125,,0.09330137083700861,0.7618626619211054,,
openml:507,regression,1204,6,block,0.5,0.4684108527131783,0,random,,tabpfn3,0.7951405048370361,,0.14771187899619934,0.4031265092981493,,
openml:507,regression,1204,6,block,0.5,0.4684108527131783,0,random,,tabpfn25,0.4063577651977539,,0.1476878793067804,0.40332044921385024,,
openml:507,regression,1204,6,none,0.0,0.0,1,random,,tabpfn3,0.7968711853027344,,0.09349190418295428,0.7743437575968595,,
openml:507,regression,1204,6,none,0.0,0.0,1,random,,tabpfn25,0.4105660915374756,,0.09551086103585822,0.7644924350807545,,
openml:507,regression,1204,6,block,0.5,0.5,1,random,,tabpfn3,0.7953238487243652,,0.1529168149837661,0.396315772729365,,
openml:507,regression,1204,6,block,0.5,0.5,1,random,,tabpfn25,0.4104428291320801,,0.15358699074045018,0.39101274465666624,,
openml:507,regression,1204,6,none,0.0,0.0,2,random,,tabpfn3,0.8032426834106445,,0.0888564437617621,0.7840787934204203,,
openml:507,regression,1204,6,none,0.0,0.0,2,random,,tabpfn25,0.41388535499572754,,0.09000353711314342,0.7784679340290477,,
openml:507,regression,1204,6,block,0.5,0.5,2,random,,tabpfn3,0.8498430252075195,,0.12972527951796894,0.5397787442358525,,
openml:507,regression,1204,6,block,0.5,0.5,2,random,,tabpfn25,0.4018404483795166,,0.12871069043428934,0.5469494282994465,,
