dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,rmse,r2,coverage80,width80
diabetes,regression,309,10,none,0.0,0.0,0,random,,tabicl_aware,1.6365785598754883,,56.00096096477236,0.4904809892636527,0.7518796992481203,1.7002088568091305
diabetes,regression,309,10,block,0.5,0.5,0,random,,tabicl_aware,0.278275728225708,,65.48681233991287,0.30324974576364105,0.7293233082706767,1.9022841547791576
diabetes,regression,309,10,none,0.0,0.0,1,random,,tabicl_aware,0.23295187950134277,,57.22602569334792,0.43973905100192656,0.7518796992481203,1.6885764130806122
diabetes,regression,309,10,block,0.5,0.40226244343891404,1,random,,tabicl_aware,0.23360323905944824,,61.26466846159857,0.35786941390645177,0.7443609022556391,1.7816986422706256
diabetes,regression,309,10,none,0.0,0.0,2,random,,tabicl_aware,0.23181676864624023,,57.31518431197802,0.45585234873122493,0.7518796992481203,1.740142156734966
diabetes,regression,309,10,block,0.5,0.46289592760181,2,random,,tabicl_aware,0.23314404487609863,,65.22343214459073,0.2953318073409662,0.7819548872180451,1.9690485495608694
openml:189,regression,2100,8,none,0.0,0.0,0,random,,tabicl_aware,0.36149168014526367,,0.07413908373603245,0.9198464431831532,0.8166666666666667,0.7399824353635905
openml:189,regression,2100,8,block,0.5,0.5,0,random,,tabicl_aware,0.3584706783294678,,0.22564862388158716,0.25750463183795136,0.7866666666666666,2.184784053532403
openml:189,regression,2100,8,none,0.0,0.0,1,random,,tabicl_aware,0.2870349884033203,,0.07755279670633504,0.9072299386931778,0.8122222222222222,0.7517381003581773
openml:189,regression,2100,8,block,0.5,0.457125,1,random,,tabicl_aware,0.2911248207092285,,0.21209131536064377,0.30616103299433817,0.84,2.281313568679964
openml:189,regression,2100,8,none,0.0,0.0,2,random,,tabicl_aware,0.2853055000305176,,0.07677710724791469,0.9165798177543957,0.8111111111111111,0.7277616907510152
openml:189,regression,2100,8,block,0.5,0.5,2,random,,tabicl_aware,0.2897181510925293,,0.2336058411658353,0.22771955198405847,0.8055555555555556,2.2488385242167324
openml:507,regression,2100,6,none,0.0,0.0,0,random,,tabicl_aware,0.2789192199707031,,0.1120775998605136,0.7281828279936633,0.7833333333333333,0.957299328307495
openml:507,regression,2100,6,block,0.5,0.5,0,random,,tabicl_aware,0.2811877727508545,,0.16619075565963556,0.4023416783509296,0.7988888888888889,1.5202433122269978
openml:507,regression,2100,6,none,0.0,0.0,1,random,,tabicl_aware,0.276594877243042,,0.11076330859966801,0.738310280483643,0.7822222222222223,0.9444652560307395
openml:507,regression,2100,6,block,0.5,0.5,1,random,,tabicl_aware,0.2800626754760742,,0.16463144897250975,0.42187676689124753,0.76,1.4583108932401294
openml:507,regression,2100,6,none,0.0,0.0,2,random,,tabicl_aware,0.27621960639953613,,0.11773326465927338,0.7065687133900513,0.7677777777777778,0.9176673387438415
openml:507,regression,2100,6,block,0.5,0.44483333333333336,2,random,,tabicl_aware,0.2814147472381592,,0.15785219701355582,0.47251598176501,0.7977777777777778,1.4037379450600056
openml:42225,regression,2100,9,none,0.0,0.0,0,random,,tabicl_aware,0.2905151844024658,,661.6060703104415,0.9709797089235506,0.8244444444444444,0.23263373446709237
openml:42225,regression,2100,9,block,0.5,0.42188888888888887,0,random,,tabicl_aware,0.2940990924835205,,1262.2532653359572,0.8943679258977805,0.8011111111111111,0.4808819097010844
openml:42225,regression,2100,9,none,0.0,0.0,1,random,,tabicl_aware,0.29110169410705566,,532.881065368797,0.981303932299522,0.7944444444444444,0.2118280979638396
openml:42225,regression,2100,9,block,0.5,0.4063333333333333,1,random,,tabicl_aware,0.2942166328430176,,1114.9941126649512,0.9181469545246456,0.7788888888888889,0.45813835816033144
openml:42225,regression,2100,9,none,0.0,0.0,2,random,,tabicl_aware,0.28866004943847656,,714.053155460225,0.968296797993695,0.82,0.24908448701379507
openml:42225,regression,2100,9,block,0.5,0.4444444444444444,2,random,,tabicl_aware,0.2955284118652344,,1322.7146347145604,0.8912136614271996,0.7833333333333333,0.5178180192825736
