dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,rmse,r2,coverage80,width80
diabetes,regression,309,10,none,0.0,0.0,0,random,,tabicl_aware_n32_ypow_qn,2.2089622020721436,,56.236018356463205,0.4861947213195632,0.7744360902255639,1.7021006937529057
diabetes,regression,309,10,block,0.3,0.3,0,random,,tabicl_aware_n32_ypow_qn,0.8331754207611084,,59.12724720812067,0.4320046847821317,0.7894736842105263,1.7797105474278627
diabetes,regression,309,10,block,0.5,0.5,0,random,,tabicl_aware_n32_ypow_qn,0.7199454307556152,,65.41271218485491,0.3048256383757312,0.7142857142857143,1.8938501445776699
diabetes,regression,309,10,block_shift,0.3,0.3,0,random,,tabicl_aware_n32_ypow_qn,0.7389724254608154,,59.025132041548495,0.43396489277324335,0.7744360902255639,1.8354521508255235
diabetes,regression,309,10,block_shift,0.5,0.5,0,random,,tabicl_aware_n32_ypow_qn,0.7357625961303711,,64.7009443184638,0.31987197219340935,0.7744360902255639,1.9130923454651385
diabetes,regression,309,10,none,0.0,0.0,1,random,,tabicl_aware_n32_ypow_qn,0.7232778072357178,,57.440146335054784,0.4355385892720399,0.7443609022556391,1.6908434665313574
diabetes,regression,309,10,block,0.3,0.266289592760181,1,random,,tabicl_aware_n32_ypow_qn,0.7317001819610596,,59.58131875188336,0.39267185955198725,0.7518796992481203,1.797466429120055
diabetes,regression,309,10,block,0.5,0.40226244343891404,1,random,,tabicl_aware_n32_ypow_qn,0.776517391204834,,61.399122460523714,0.35504782793455136,0.7518796992481203,1.7780977814238659
diabetes,regression,309,10,block_shift,0.3,0.26380090497737557,1,random,,tabicl_aware_n32_ypow_qn,0.7300713062286377,,58.365421056765726,0.4172068649406905,0.7819548872180451,1.7787192801865757
diabetes,regression,309,10,block_shift,0.5,0.5,1,random,,tabicl_aware_n32_ypow_qn,0.7341878414154053,,62.6796317000663,0.327865708134197,0.7593984962406015,1.9121680772954468
