dataset,task,mechanism,rate,model,rmse,r2,coverage80,width80,rmse_std,r2_std,coverage80_std,width80_std,n_fits
diabetes,regression,block,0.3,tabicl_aware_n32_ypow_qn,59.19729055951576,0.4167820770225596,0.7769423558897243,1.8030361979578051,0.3542387640902028,0.021118948599008664,0.021704897337955893,0.026552340367524956,3
diabetes,regression,block,0.5,tabicl_aware_n32_ypow_qn,63.9978290829898,0.3187025831485632,0.7443609022556391,1.8761811645467497,2.2535093109992568,0.031767679489245235,0.02710940808619543,0.09055114335225221,3
diabetes,regression,block_shift,0.3,tabicl_aware_n32_ypow_qn,58.542939781013786,0.4297851904765439,0.7919799498746868,1.799215654690104,0.4224027919484233,0.011095518394563436,0.024169550779430924,0.0314717051408714,3
diabetes,regression,block_shift,0.5,tabicl_aware_n32_ypow_qn,63.498560435260494,0.32929651470346605,0.7593984962406015,1.9583594912649336,1.063816038243572,0.010215375974396356,0.015037593984962433,0.07920678433199917,3
diabetes,regression,none,0.0,tabicl_aware_n32_ypow_qn,57.13614641442223,0.4565457243413426,0.7568922305764412,1.7073271077034697,0.7931000027052099,0.026410646744137754,0.015651624056136338,0.019625905361323623,3
openml:189,regression,block,0.3,tabicl_aware_n32_ypow_qn,0.18002129990084179,0.517007967175906,0.7874074074074073,1.6888678694624304,0.019588962281450843,0.1154031683202656,0.009579642338057493,0.2805030349843908,3
openml:189,regression,block,0.5,tabicl_aware_n32_ypow_qn,0.22344258793032576,0.26601901927414157,0.8081481481481481,2.2281206262345266,0.011109878390702632,0.0411369524224185,0.030516810452021485,0.051393416602491714,3
openml:189,regression,block_shift,0.3,tabicl_aware_n32_ypow_qn,0.1826814804671495,0.5092282781345744,0.7907407407407407,1.7302152805320323,0.006498972387968408,0.020294572867813568,0.022369879808209606,0.06348017772951202,3
openml:189,regression,block_shift,0.5,tabicl_aware_n32_ypow_qn,0.2201629864387855,0.2866786958964855,0.7977777777777778,2.1969793528456942,0.008187542030456943,0.04547794137369819,0.008819171036882015,0.09932518422149354,3
openml:189,regression,none,0.0,tabicl_aware_n32_ypow_qn,0.07693087503437927,0.9128216526065612,0.8096296296296296,0.7476595299755578,0.002242280389704614,0.006635390354743749,0.008486251286955244,0.01268779888293624,3
openml:42225,regression,block,0.3,tabicl_aware_n32_ypow_qn,962.3975453919242,0.9391625406122844,0.8055555555555555,0.34243614015562707,152.35788229942958,0.017982841441199892,0.014444444444444466,0.0977859656074304,3
openml:42225,regression,block,0.5,tabicl_aware_n32_ypow_qn,1234.508714894966,0.9010521009479612,0.79,0.48860854930409264,105.39810407302612,0.01461934667420817,0.01127654618343576,0.029431603701347925,3
openml:42225,regression,block_shift,0.3,tabicl_aware_n32_ypow_qn,1182.751482039402,0.9071844491569175,0.7933333333333333,0.4712049735087613,258.89355852137976,0.03601231357897285,0.020757268546966013,0.07137717970736505,3
openml:42225,regression,block_shift,0.5,tabicl_aware_n32_ypow_qn,1174.397370582299,0.9100451684474207,0.7862962962962964,0.4790780301758251,135.64572947910003,0.01924042022966055,0.007398142353865905,0.05347163819619101,3
