dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,rmse,r2,coverage80,width80
diabetes,regression,309,10,none,0.0,0.0,0,random,,tabicl_aware,1.6978094577789307,,56.02447269441887,0.49005306132001114,0.7593984962406015,1.6967912194311086
diabetes,regression,309,10,none,0.0,0.0,0,random,,tabicl_aware_n32,0.38312554359436035,,56.04159780372132,0.4897412607320152,0.7669172932330827,1.6982870678874236
diabetes,regression,309,10,none,0.0,0.0,0,random,,tabicl_aware_med,0.2705881595611572,,56.480894171936704,0.48171032060257857,0.7593984962406015,1.6967912194311086
diabetes,regression,309,10,none,0.0,0.0,0,random,,tabicl_aware_ypow,0.5790650844573975,,56.05497297975818,0.4894976697156791,0.7593984962406015,1.6967912194311086
diabetes,regression,309,10,none,0.0,0.0,0,random,,tabicl_aware_n32_ypow,0.6206469535827637,,56.053043979635746,0.4895328045863674,0.7669172932330827,1.6982870678874236
diabetes,regression,309,10,block,0.3,0.3,0,random,,tabicl_aware,0.2738332748413086,,58.90588817238773,0.4362496157468143,0.7819548872180451,1.774810481635586
diabetes,regression,309,10,block,0.3,0.3,0,random,,tabicl_aware_n32,0.31216883659362793,,58.93761229255313,0.4356422299187823,0.7894736842105263,1.7751432597800088
diabetes,regression,309,10,block,0.3,0.3,0,random,,tabicl_aware_med,0.2724907398223877,,59.43619899055371,0.4260533969813678,0.7819548872180451,1.774810481635586
diabetes,regression,309,10,block,0.3,0.3,0,random,,tabicl_aware_ypow,0.5416462421417236,,58.95585345977142,0.4352928388548024,0.7819548872180451,1.774810481635586
diabetes,regression,309,10,block,0.3,0.3,0,random,,tabicl_aware_n32_ypow,0.6304523944854736,,58.96930236852594,0.4350351693993717,0.7894736842105263,1.7751432597800088
diabetes,regression,309,10,block,0.5,0.5,0,random,,tabicl_aware,0.2760486602783203,,65.47833625179676,0.30343009762822326,0.7218045112781954,1.888029152710676
diabetes,regression,309,10,block,0.5,0.5,0,random,,tabicl_aware_n32,0.31436705589294434,,65.37465745328943,0.3056342573018396,0.7293233082706767,1.8892367620027395
diabetes,regression,309,10,block,0.5,0.5,0,random,,tabicl_aware_med,0.3116452693939209,,66.35997873785541,0.28454568036134564,0.7218045112781954,1.888029152710676
diabetes,regression,309,10,block,0.5,0.5,0,random,,tabicl_aware_ypow,0.5459773540496826,,65.51972358485791,0.30254924807325123,0.7218045112781954,1.888029152710676
diabetes,regression,309,10,block,0.5,0.5,0,random,,tabicl_aware_n32_ypow,0.659172773361206,,65.39286854830407,0.3052473513582291,0.7293233082706767,1.8892367620027395
diabetes,regression,309,10,block_shift,0.3,0.3,0,random,,tabicl_aware,0.2942674160003662,,59.11401766152312,0.43225883088874584,0.7744360902255639,1.8279371217651212
diabetes,regression,309,10,block_shift,0.3,0.3,0,random,,tabicl_aware_n32,0.31784939765930176,,59.037626375673405,0.4337252328172161,0.7744360902255639,1.8317062086504323
diabetes,regression,309,10,block_shift,0.3,0.3,0,random,,tabicl_aware_med,0.2750544548034668,,59.39039599676059,0.42693765081559,0.7744360902255639,1.8279371217651212
diabetes,regression,309,10,block_shift,0.3,0.3,0,random,,tabicl_aware_ypow,0.5472126007080078,,59.10846613018651,0.4323654616006549,0.7744360902255639,1.8279371217651212
diabetes,regression,309,10,block_shift,0.3,0.3,0,random,,tabicl_aware_n32_ypow,0.6787095069885254,,59.033934336744935,0.4337960569082112,0.7744360902255639,1.8317062086504323
