dataset,task,mechanism,rate,model,rmse,r2,coverage80,width80,rmse_std,r2_std,coverage80_std,width80_std,n_fits
diabetes,regression,block,0.3,tabicl_aware,59.11382001583868,0.41857189634812764,0.7834586466165414,1.8448266698042803,2.843004381557255,0.026910249040005173,0.032513907233743845,0.09380294326795466,5
diabetes,regression,block,0.3,tabicl_aware_med,59.50255954338852,0.41085322953536957,0.7834586466165414,1.8448266698042803,2.8791425024449513,0.029127077797918465,0.032513907233743845,0.09380294326795466,5
diabetes,regression,block,0.3,tabicl_aware_n32,59.14112541289067,0.4180337959879455,0.7834586466165414,1.8430046751807723,2.898630748805874,0.028096853454645104,0.03420846064985665,0.09212091224578023,5
diabetes,regression,block,0.3,tabicl_aware_n32_ypow,59.13720278633131,0.4181319559740104,0.7834586466165414,1.8430046751807723,2.888066300297306,0.027298330068921906,0.03420846064985665,0.09212091224578023,5
diabetes,regression,block,0.3,tabicl_aware_ypow,59.117690506338135,0.4185197930664339,0.7834586466165414,1.8448266698042803,2.8404435319574475,0.026166601522899922,0.032513907233743845,0.09380294326795466,5
diabetes,regression,block,0.5,tabicl_aware,64.71645803424946,0.30333925240902027,0.762406015037594,1.9560600866685462,3.997587300098789,0.045971551434513286,0.04683432030796219,0.18607966303185464,5
diabetes,regression,block,0.5,tabicl_aware_med,65.52734742415731,0.2858814082274769,0.762406015037594,1.9560600866685462,4.184483052073986,0.04812870253998893,0.04683432030796219,0.18607966303185464,5
diabetes,regression,block,0.5,tabicl_aware_n32,64.68536335518004,0.30399935081261587,0.762406015037594,1.9540663007001822,3.9373278531781803,0.04491184650000137,0.04592009469053375,0.18229585853042926,5
diabetes,regression,block,0.5,tabicl_aware_n32_ypow,64.66848417245788,0.304337068047008,0.762406015037594,1.9540663007001822,3.951816933369251,0.04563534387922231,0.04592009469053375,0.18229585853042926,5
diabetes,regression,block,0.5,tabicl_aware_ypow,64.69638587249692,0.30374887433742465,0.762406015037594,1.9560600866685462,4.014179158145559,0.04666923499482185,0.04683432030796219,0.18607966303185464,5
diabetes,regression,block_shift,0.3,tabicl_aware,58.93766741597968,0.4209792160607949,0.793984962406015,1.831912730645523,0.7111502920518862,0.028363050570252724,0.024130536144182226,0.09686765552462516,5
diabetes,regression,block_shift,0.3,tabicl_aware_med,59.38851056777804,0.4119035108765706,0.793984962406015,1.831912730645523,0.35062347091418977,0.03188631194166154,0.024130536144182226,0.09686765552462516,5
diabetes,regression,block_shift,0.3,tabicl_aware_n32,58.9656580742347,0.4204137409980671,0.7954887218045112,1.8317758393785766,0.7636611367031331,0.029077650308553863,0.02931366720243294,0.09850756848041624,5
diabetes,regression,block_shift,0.3,tabicl_aware_n32_ypow,58.98197038284739,0.42010933023002195,0.7954887218045112,1.8317758393785766,0.7881162712145751,0.028821031790219668,0.02931366720243294,0.09850756848041624,5
diabetes,regression,block_shift,0.3,tabicl_aware_ypow,58.956476983178106,0.4206278206870966,0.793984962406015,1.831912730645523,0.7414772251403613,0.028076141043467454,0.024130536144182226,0.09686765552462516,5
diabetes,regression,block_shift,0.5,tabicl_aware,64.1476982591029,0.3154678680801819,0.7714285714285715,1.9832816498455546,3.3775233987721527,0.03417508794220497,0.05540491256222721,0.17237836179688265,5
diabetes,regression,block_shift,0.5,tabicl_aware_med,64.46617306466894,0.3087655923032925,0.7714285714285715,1.9832816498455546,3.9849902325715583,0.04499439266581595,0.05540491256222721,0.17237836179688265,5
diabetes,regression,block_shift,0.5,tabicl_aware_n32,64.23068397129569,0.3136677203157624,0.7714285714285715,1.9831920956369768,3.4195468256304715,0.03573803807600813,0.05437499167447986,0.17045151452720056,5
diabetes,regression,block_shift,0.5,tabicl_aware_n32_ypow,64.23716027787411,0.3135335990660977,0.7714285714285715,1.9831920956369768,3.448087120768324,0.03624968451606624,0.05437499167447986,0.17045151452720056,5
diabetes,regression,block_shift,0.5,tabicl_aware_ypow,64.15919677891614,0.3152267564316704,0.7714285714285715,1.9832816498455546,3.395939889860044,0.034474291841174245,0.05540491256222721,0.17237836179688265,5
diabetes,regression,none,0.0,tabicl_aware,56.01662060506296,0.4777464877148326,0.7759398496240602,1.7305254815077085,3.526245634703697,0.04116549360169974,0.05406218951051895,0.11458691636688388,5
