dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,rmse,r2,coverage80,width80
diabetes,regression,309,10,none,0.0,0.0,0,random,,tabicl_aware,1.6708457469940186,,56.09254243702276,0.4888131373116803,0.7518796992481203,1.6779181669469798
diabetes,regression,309,10,none,0.0,0.0,0,random,,tabicl_aware_n32_ypow,0.6918039321899414,,56.11963760085388,0.4883191665826866,0.7443609022556391,1.6793257154164054
diabetes,regression,212,10,block,0.3,0.24796380090497738,0,source,0.0,tabicl_aware,0.27187347412109375,,66.23711566701604,0.310419623004494,0.6826086956521739,1.7959782370816273
diabetes,regression,212,10,block,0.3,0.24796380090497738,0,source,0.0,tabicl_aware_n32_ypow,0.588984489440918,,66.10641176280308,0.3131383984299193,0.691304347826087,1.8019704649400823
diabetes,regression,355,10,block,0.5,0.5,0,source,1.0,tabicl_aware,0.27571582794189453,,63.43574414674484,0.2686649386752311,0.8160919540229885,2.290717734992509
diabetes,regression,355,10,block,0.5,0.5,0,source,1.0,tabicl_aware_n32_ypow,0.6202974319458008,,63.337148095175046,0.2709365511182802,0.8160919540229885,2.2927747820550257
diabetes,regression,212,10,block_shift,0.3,0.24796380090497738,0,source,0.0,tabicl_aware,0.27319979667663574,,79.85745971127402,-0.002335359842452034,0.5217391304347826,1.3881593449991407
diabetes,regression,212,10,block_shift,0.3,0.24796380090497738,0,source,0.0,tabicl_aware_n32_ypow,0.5528662204742432,,79.81851656667874,-0.0013580041052354552,0.5304347826086957,1.387398742969859
diabetes,regression,355,10,block_shift,0.5,0.5,0,source,1.0,tabicl_aware,0.27732181549072266,,58.826049234955605,0.37109118611859226,0.8160919540229885,2.0954436972807584
diabetes,regression,355,10,block_shift,0.5,0.5,0,source,1.0,tabicl_aware_n32_ypow,0.6755554676055908,,58.823798788764876,0.37113930420201313,0.8160919540229885,2.083732928353852
diabetes,regression,309,10,none,0.0,0.0,1,random,,tabicl_aware,0.27873682975769043,,57.238026191066574,0.4395040490034424,0.7518796992481203,1.6642365736112779
diabetes,regression,309,10,none,0.0,0.0,1,random,,tabicl_aware_n32_ypow,0.6252267360687256,,57.30480637501531,0.4381954134618167,0.7443609022556391,1.6628876977642084
diabetes,regression,309,10,block,0.3,0.3,1,source,1.0,tabicl_aware,0.27675676345825195,,59.99296314549047,0.3368192450915126,0.8195488721804511,2.12995411119627
diabetes,regression,309,10,block,0.3,0.3,1,source,1.0,tabicl_aware_n32_ypow,0.5737102031707764,,59.882803062565074,0.3392524962516603,0.8195488721804511,2.124534231481252
diabetes,regression,286,10,block,0.5,0.4339366515837104,1,source,0.0,tabicl_aware,0.27849292755126953,,67.2224361206266,0.21436978128201678,0.7435897435897436,2.317814434792647
diabetes,regression,286,10,block,0.5,0.4339366515837104,1,source,0.0,tabicl_aware_n32_ypow,0.6209311485290527,,66.57611361201002,0.22940432916345666,0.7628205128205128,2.3269975301487
diabetes,regression,309,10,block_shift,0.3,0.3,1,source,1.0,tabicl_aware,0.2792375087738037,,62.551427853444956,0.2790490070106736,0.7293233082706767,2.0158321611927703
diabetes,regression,309,10,block_shift,0.3,0.3,1,source,1.0,tabicl_aware_n32_ypow,0.6657426357269287,,62.66923271239031,0.27633087538939605,0.7368421052631579,2.0179434018369093
diabetes,regression,286,10,block_shift,0.5,0.4669683257918552,1,source,0.0,tabicl_aware,0.27782130241394043,,69.24261986171562,0.16644037879545703,0.7756410256410257,2.3898507206122166
diabetes,regression,286,10,block_shift,0.5,0.4669683257918552,1,source,0.0,tabicl_aware_n32_ypow,0.5725486278533936,,69.08704727032598,0.17018181292379175,0.782051282051282,2.4196787293323188
diabetes,regression,309,10,none,0.0,0.0,2,random,,tabicl_aware,0.27745532989501953,,57.568636514909876,0.45102918157394833,0.7368421052631579,1.6984548811587747
diabetes,regression,309,10,none,0.0,0.0,2,random,,tabicl_aware_n32_ypow,0.6263983249664307,,57.543556520714354,0.45150739980846055,0.7443609022556391,1.7041404290862376
diabetes,regression,211,10,block,0.3,0.20452488687782805,2,source,0.0,tabicl_aware,0.2761681079864502,,59.425544396441715,0.416746866447112,0.7619047619047619,1.8242074810283342
diabetes,regression,211,10,block,0.3,0.20452488687782805,2,source,0.0,tabicl_aware_n32_ypow,0.6195423603057861,,59.36583148958738,0.4179184246486265,0.7619047619047619,1.8306444316186934
diabetes,regression,293,10,block,0.5,0.4291855203619909,2,source,0.0,tabicl_aware,0.27718281745910645,,62.240030915519164,0.37508003827916336,0.7919463087248322,1.9351763208725001
diabetes,regression,293,10,block,0.5,0.4291855203619909,2,source,0.0,tabicl_aware_n32_ypow,0.5699052810668945,,62.62780870774697,0.3672688279916838,0.785234899328859,1.9241128325549224
diabetes,regression,211,10,block_shift,0.3,0.252262443438914,2,source,0.0,tabicl_aware,0.3111417293548584,,66.80395162238392,0.2629192849712755,0.7445887445887446,2.13711936614261
diabetes,regression,211,10,block_shift,0.3,0.252262443438914,2,source,0.0,tabicl_aware_n32_ypow,0.564877986907959,,67.1590055775358,0.25506349572859144,0.7402597402597403,2.138331062035918
diabetes,regression,293,10,block_shift,0.5,0.466289592760181,2,source,0.0,tabicl_aware,0.27451181411743164,,68.57989779071247,0.24128535838147913,0.7785234899328859,2.1323911495864962
diabetes,regression,293,10,block_shift,0.5,0.466289592760181,2,source,0.0,tabicl_aware_n32_ypow,0.5696220397949219,,68.54615147428225,0.24203186065767102,0.7651006711409396,2.135386776166127
diabetes,regression,309,10,none,0.0,0.0,3,random,,tabicl_aware,0.27491116523742676,,49.95664982781375,0.5467608887326507,0.8721804511278195,1.9055602279469261
diabetes,regression,309,10,none,0.0,0.0,3,random,,tabicl_aware_n32_ypow,0.6230156421661377,,49.97840696247331,0.5463660131041304,0.8646616541353384,1.9091057328767838
diabetes,regression,345,10,block,0.3,0.3,3,source,2.0,tabicl_aware,0.28237318992614746,,64.73237157769428,0.37206382974503416,0.7010309278350515,1.9531964391377277
diabetes,regression,345,10,block,0.3,0.3,3,source,2.0,tabicl_aware_n32_ypow,0.6328926086425781,,64.62827717663448,0.3740817407959499,0.711340206185567,1.95601156859204
