dataset,task,mechanism,rate,model,rmse,r2,coverage80,width80,rmse_std,r2_std,coverage80_std,width80_std,n_fits
diabetes,regression,block,0.3,tabicl_aware,62.6144794749368,0.3524860038447162,0.7423519848478211,1.9432259941118346,2.9434462786520066,0.04245373110831391,0.0539374112751307,0.13752615559211878,5
diabetes,regression,block,0.3,tabicl_aware_n32_ypow,62.541265970515916,0.3539883142676132,0.7461529709527067,1.9453914262598258,2.926162975633671,0.04238329093569519,0.04963779096649743,0.13287270429437695,5
diabetes,regression,block,0.5,tabicl_aware,64.27389608902718,0.28260164157371825,0.8002119649038765,2.242356347995563,2.5632773948332073,0.08311605729615432,0.03468734035097995,0.19948688515746432,5
diabetes,regression,block,0.5,tabicl_aware_n32_ypow,64.20041547930461,0.2845682625300278,0.8052158368708356,2.243067833505637,2.307449960431949,0.07763005434521655,0.03149559370022021,0.2035399566875663,5
diabetes,regression,block_shift,0.3,tabicl_aware,65.7984665228423,0.27795439249167675,0.7063742229131363,1.876244556487989,8.39111154343131,0.1750970068567641,0.10458764095169751,0.288334485630511,5
diabetes,regression,block_shift,0.3,tabicl_aware_n32_ypow,65.84286929187478,0.2769463766515873,0.7066894562105113,1.8760631039803672,8.434714454266466,0.17566294216310355,0.09956023119925864,0.28967430227576957,5
diabetes,regression,block_shift,0.5,tabicl_aware,65.07698092908818,0.26728965559701173,0.8092785666466528,2.222228100430699,4.474405307041081,0.07579269710119153,0.03566836442332202,0.1164476941983848,5
diabetes,regression,block_shift,0.5,tabicl_aware_n32_ypow,65.05266589424244,0.267885604528402,0.8068533268975875,2.2210899037215794,4.492775836699424,0.0753601974920491,0.03408896699738937,0.12881617919244837,5
diabetes,regression,none,0.0,tabicl_aware,56.045494041663254,0.4771628308144623,0.7729323308270677,1.7116098684737735,3.6014377525725534,0.04296940884857156,0.05586218231881718,0.11304346874092415,5
diabetes,regression,none,0.0,tabicl_aware_n32_ypow,56.10252483687625,0.4761094528166844,0.7669172932330828,1.7135896230094079,3.6408902515438983,0.04337570320920283,0.05473766834045503,0.114326250349371,5
openml:189,regression,block,0.3,tabicl_aware,0.21362650936933575,0.33032840484676795,0.7626571901470348,1.9602408096223514,0.03002672144671199,0.19623029380242757,0.053183123141796886,0.21666071472897425,5
openml:189,regression,block,0.3,tabicl_aware_n32_ypow,0.21360285993285583,0.33043416993859187,0.7636426024020845,1.9605686505174702,0.03007187578061767,0.19652877686252507,0.05513273121055845,0.22167599542567812,5
openml:189,regression,block,0.5,tabicl_aware,0.24964626898574233,0.07781735939235805,0.7887904770811025,2.478756392885546,0.007462816940306443,0.061240174180717574,0.022300217081947293,0.10323767294486778,5
openml:189,regression,block,0.5,tabicl_aware_n32_ypow,0.24940901328843754,0.07952764879137071,0.7916276577812402,2.4840913933830007,0.007601567456715284,0.06233976005577864,0.020670440233355264,0.1084130439475641,5
openml:189,regression,block_shift,0.3,tabicl_aware,0.23397752415011647,0.1991943166977684,0.7661458456298977,2.1993705152012124,0.02852275768238674,0.21405024303896658,0.06277666934144346,0.38300479378521324,5
openml:189,regression,block_shift,0.3,tabicl_aware_n32_ypow,0.23399124741106822,0.1990571479184539,0.7665514513875367,2.2013377691911895,0.02866418298355464,0.21465503246036785,0.06431068524593926,0.3837028858758983,5
