dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,rmse,r2,coverage80,width80
diabetes,regression,309,10,none,0.0,0.0,0,random,,tabicl_aware,1.7136526107788086,,56.09254243702276,0.4888131373116803,0.7518796992481203,1.6779181669469798
diabetes,regression,309,10,none,0.0,0.0,0,random,,tabicl_aware_n32_ypow,0.6936745643615723,,56.11963760085388,0.4883191665826866,0.7443609022556391,1.6793257154164054
diabetes,regression,309,10,block,0.3,0.3,0,random,,tabicl_aware,0.2777595520019531,,58.87740563878391,0.4367946599779784,0.7744360902255639,1.7521951823502668
diabetes,regression,309,10,block,0.3,0.3,0,random,,tabicl_aware_n32_ypow,0.6755802631378174,,58.96906565181768,0.43503970519481727,0.7744360902255639,1.7518503456173262
diabetes,regression,309,10,block,0.5,0.5,0,random,,tabicl_aware,0.2764406204223633,,65.62718225057928,0.3002595989916368,0.7218045112781954,1.8578785970551825
diabetes,regression,309,10,block,0.5,0.5,0,random,,tabicl_aware_n32_ypow,0.6258745193481445,,65.53827611735615,0.3021542125327752,0.7142857142857143,1.8578842373627151
diabetes,regression,309,10,block_shift,0.3,0.3,0,random,,tabicl_aware,0.27782511711120605,,59.03018435872047,0.4338679879062297,0.7669172932330827,1.8054161517609504
diabetes,regression,309,10,block_shift,0.3,0.3,0,random,,tabicl_aware_n32_ypow,0.6280415058135986,,58.91698506117872,0.4360371933637406,0.7669172932330827,1.8092608965645436
diabetes,regression,309,10,block_shift,0.5,0.5,0,random,,tabicl_aware,0.276256799697876,,64.80091564027055,0.3177685770151394,0.7293233082706767,1.8632837621116705
diabetes,regression,309,10,block_shift,0.5,0.5,0,random,,tabicl_aware_n32_ypow,0.6290278434753418,,65.07137654061577,0.3120618062357575,0.7443609022556391,1.8700427954693428
diabetes,regression,309,10,none,0.0,0.0,1,random,,tabicl_aware,0.3142683506011963,,57.238026191066574,0.4395040490034424,0.7518796992481203,1.6642365736112779
diabetes,regression,309,10,none,0.0,0.0,1,random,,tabicl_aware_n32_ypow,0.6212575435638428,,57.30480637501531,0.4381954134618167,0.7443609022556391,1.6628876977642084
diabetes,regression,309,10,block,0.3,0.266289592760181,1,random,,tabicl_aware,0.27788400650024414,,59.757708701349,0.3890705578057193,0.7518796992481203,1.7511428172635275
diabetes,regression,309,10,block,0.3,0.266289592760181,1,random,,tabicl_aware_n32_ypow,0.6262462139129639,,59.72915789897381,0.38965419326757544,0.7518796992481203,1.7515615405789307
diabetes,regression,309,10,block,0.5,0.40226244343891404,1,random,,tabicl_aware,0.27730751037597656,,61.393063865631554,0.3551751037323525,0.7368421052631579,1.7378292919057623
diabetes,regression,309,10,block,0.5,0.40226244343891404,1,random,,tabicl_aware_n32_ypow,0.6273877620697021,,61.29244149397272,0.3572870894993724,0.7368421052631579,1.738539005971336
diabetes,regression,309,10,block_shift,0.3,0.26380090497737557,1,random,,tabicl_aware,0.2764616012573242,,58.545079867435234,0.41361346775594077,0.7744360902255639,1.76045372294045
diabetes,regression,309,10,block_shift,0.3,0.26380090497737557,1,random,,tabicl_aware_n32_ypow,0.6684074401855469,,58.60398667625039,0.41243285489431725,0.7819548872180451,1.7494828926619035
diabetes,regression,309,10,block_shift,0.5,0.5,1,random,,tabicl_aware,0.27982544898986816,,62.923666530473774,0.3226217883262159,0.7593984962406015,1.8763087562634655
diabetes,regression,309,10,block_shift,0.5,0.5,1,random,,tabicl_aware_n32_ypow,0.6302158832550049,,62.93565192474708,0.32236371632924643,0.7518796992481203,1.8704284678737038
diabetes,regression,309,10,none,0.0,0.0,2,random,,tabicl_aware,0.27729368209838867,,57.568636514909876,0.45102918157394833,0.7368421052631579,1.6984548811587747
diabetes,regression,309,10,none,0.0,0.0,2,random,,tabicl_aware_n32_ypow,0.6193215847015381,,57.543556520714354,0.45150739980846055,0.7443609022556391,1.7041404290862376
diabetes,regression,309,10,block,0.3,0.252262443438914,2,random,,tabicl_aware,0.2776353359222412,,58.77903011003587,0.42770203237710047,0.7894736842105263,1.8018196782123133
diabetes,regression,309,10,block,0.3,0.252262443438914,2,random,,tabicl_aware_n32_ypow,0.6297998428344727,,58.81080593972361,0.4270830987822708,0.7894736842105263,1.800811632980312
diabetes,regression,309,10,block,0.5,0.46289592760181,2,random,,tabicl_aware,0.2800884246826172,,65.23192460864689,0.29514829173314094,0.7518796992481203,1.9061516723762368
diabetes,regression,309,10,block,0.5,0.46289592760181,2,random,,tabicl_aware_n32_ypow,0.6747584342956543,,65.21760225647392,0.29545777290236397,0.7518796992481203,1.913516706534768
diabetes,regression,309,10,block_shift,0.3,0.2,2,random,,tabicl_aware,0.2762629985809326,,58.44199867768008,0.43424618330641407,0.7894736842105263,1.7383024201806339
diabetes,regression,309,10,block_shift,0.3,0.2,2,random,,tabicl_aware_n32_ypow,0.6250176429748535,,58.41089962048775,0.4348481383865179,0.7894736842105263,1.7452623116714039
diabetes,regression,309,10,block_shift,0.5,0.43710407239819005,2,random,,tabicl_aware,0.2791016101837158,,63.39816777070136,0.334219937073694,0.7518796992481203,1.9930283608016133
diabetes,regression,309,10,block_shift,0.5,0.43710407239819005,2,random,,tabicl_aware_n32_ypow,0.6301593780517578,,63.22110977202964,0.3379335168198233,0.7593984962406015,1.999053458740011
diabetes,regression,309,10,none,0.0,0.0,3,random,,tabicl_aware,0.2767503261566162,,49.95664982781375,0.5467608887326507,0.8721804511278195,1.9055602279469261
diabetes,regression,309,10,none,0.0,0.0,3,random,,tabicl_aware_n32_ypow,0.619511604309082,,49.97840696247331,0.5463660131041304,0.8646616541353384,1.9091057328767838
diabetes,regression,309,10,block,0.3,0.3,3,random,,tabicl_aware,0.27747297286987305,,54.94133695614851,0.45179976954611434,0.8195488721804511,1.9783541202259265
diabetes,regression,309,10,block,0.3,0.3,3,random,,tabicl_aware_n32_ypow,0.672438383102417,,54.90321600209231,0.45256024124062655,0.8195488721804511,1.9734312929425029
diabetes,regression,309,10,block,0.5,0.4276018099547511,3,random,,tabicl_aware,0.278364896774292,,60.81011039289424,0.32842835594280295,0.8345864661654135,2.2367990568636564
diabetes,regression,309,10,block,0.5,0.4276018099547511,3,random,,tabicl_aware_n32_ypow,0.630239725112915,,60.94608717085603,0.325421610996561,0.8270676691729323,2.2322157278193693
diabetes,regression,309,10,block_shift,0.3,0.3,3,random,,tabicl_aware,0.2791135311126709,,58.43095917500485,0.3799498770217987,0.8270676691729323,1.970481503578229
diabetes,regression,309,10,block_shift,0.3,0.3,3,random,,tabicl_aware_n32_ypow,0.6311607360839844,,58.5872735902198,0.3766279251806528,0.8270676691729323,1.9726507143139367
diabetes,regression,309,10,block_shift,0.5,0.4671945701357466,3,random,,tabicl_aware,0.2767500877380371,,60.638550982617254,0.3322123290736585,0.8571428571428571,2.227779631203442
diabetes,regression,309,10,block_shift,0.5,0.4671945701357466,3,random,,tabicl_aware_n32_ypow,0.6272659301757812,,60.79911086570922,0.32867128602197393,0.8571428571428571,2.2219826627846033
diabetes,regression,309,10,none,0.0,0.0,4,random,,tabicl_aware,0.27719736099243164,,59.37161523750331,0.4597068974505899,0.7518796992481203,1.6118794927049098
diabetes,regression,309,10,none,0.0,0.0,4,random,,tabicl_aware_n32_ypow,0.6650526523590088,,59.56621672532442,0.4561592711263276,0.7368421052631579,1.612488539903404
diabetes,regression,309,10,block,0.3,0.2660633484162896,4,random,,tabicl_aware,0.2778141498565674,,62.99877515047669,0.39167466173132204,0.7593984962406015,1.8050254746315402
diabetes,regression,309,10,block,0.3,0.2660633484162896,4,random,,tabicl_aware_n32_ypow,0.6286349296569824,,63.069681513885236,0.3903045267861939,0.7518796992481203,1.8033498391939962
diabetes,regression,309,10,block,0.5,0.4819004524886878,4,random,,tabicl_aware,0.2772989273071289,,70.72336315720585,0.2333493569155588,0.7368421052631579,1.8778897354369781
diabetes,regression,309,10,block,0.5,0.4819004524886878,4,random,,tabicl_aware_n32_ypow,0.628925085067749,,70.65687669257686,0.2347901235719394,0.7443609022556391,1.872882286897747
diabetes,regression,309,10,block_shift,0.3,0.3,4,random,,tabicl_aware,0.2797863483428955,,60.048145116272366,0.44732364086130194,0.7593984962406015,1.7451761973063271
diabetes,regression,309,10,block_shift,0.3,0.3,4,random,,tabicl_aware_n32_ypow,0.6278579235076904,,60.239023501683796,0.44380441006190097,0.7518796992481203,1.7442214440367276
diabetes,regression,309,10,block_shift,0.5,0.5,4,random,,tabicl_aware,0.2790250778198242,,69.34294548934271,0.2629851044997651,0.7218045112781954,1.8026771291835006
diabetes,regression,309,10,block_shift,0.5,0.5,4,random,,tabicl_aware_n32_ypow,0.6739826202392578,,69.62513575172694,0.25697435292022563,0.7218045112781954,1.7976904607906201
openml:531,regression,354,13,none,0.0,0.0,0,random,,tabicl_aware,0.28103065490722656,,3.3272234168255124,0.8744638320368362,0.8026315789473685,0.5509546185865934
openml:531,regression,354,13,none,0.0,0.0,0,random,,tabicl_aware_n32_ypow,0.6792812347412109,,3.268321051942966,0.8788692622325982,0.8092105263157895,0.5509831048458259
openml:531,regression,354,13,block,0.3,0.3076923076923077,0,random,,tabicl_aware,0.2877228260040283,,3.8999059646569343,0.8275301401681622,0.8026315789473685,0.8515368021304583
openml:531,regression,354,13,block,0.3,0.3076923076923077,0,random,,tabicl_aware_n32_ypow,0.6967692375183105,,3.8558681528024086,0.8314032144228816,0.8026315789473685,0.8538986227644624
openml:531,regression,354,13,block,0.5,0.46153846153846156,0,random,,tabicl_aware,0.2855410575866699,,4.502984710742984,0.7700645758158503,0.7960526315789473,0.9229383471723126
openml:531,regression,354,13,block,0.5,0.46153846153846156,0,random,,tabicl_aware_n32_ypow,0.6961500644683838,,4.507995062688227,0.7695526050205754,0.7960526315789473,0.9230271064969797
openml:531,regression,354,13,block_shift,0.3,0.23076923076923078,0,random,,tabicl_aware,0.28438282012939453,,4.586747240980216,0.761430699878438,0.8026315789473685,0.932008859577305
