dataset,task,mechanism,rate,model,rmse,r2,coverage80,width80,rmse_std,r2_std,coverage80_std,width80_std,n_fits
diabetes,regression,block,0.3,tabicl_aware,59.070851311358794,0.41940833628764695,0.7789473684210526,1.817707454536715,2.8755794377725925,0.027882844647029833,0.026900065894734343,0.09346565410653937,5
diabetes,regression,block,0.3,tabicl_aware_n32_ypow,59.09638540129853,0.41892835305429676,0.7774436090225564,1.8162009302626134,2.9098074932043017,0.02798874465792715,0.028432587069457223,0.0914366124752768,5
diabetes,regression,block,0.5,tabicl_aware,64.75712885499156,0.3024721414630984,0.7563909774436091,1.9233096707275632,3.983536860020131,0.0455187345077042,0.04498729414030555,0.1866260693063866,5
diabetes,regression,block,0.5,tabicl_aware_n32_ypow,64.73025674624714,0.3030221619006024,0.7548872180451127,1.923007592917187,3.941882101951593,0.045166364859838194,0.04273164582972273,0.1847173549818924,5
diabetes,regression,block_shift,0.3,tabicl_aware,58.8992734390226,0.421800231370337,0.7834586466165414,1.8039659991533181,0.6875527876243391,0.026317542424324217,0.026794781475496934,0.09668347938298882,5
diabetes,regression,block_shift,0.3,tabicl_aware_n32_ypow,58.95163368996409,0.42075010437742594,0.7834586466165414,1.8041756518497032,0.7423919310442716,0.027294202677613916,0.0283329980171681,0.0980641282263261,5
diabetes,regression,block_shift,0.5,tabicl_aware,64.22084928268113,0.31396154719769453,0.7639097744360902,1.9526155279127384,3.2312805357521235,0.029289863272224177,0.054374991674479824,0.16854739095877466,5
diabetes,regression,block_shift,0.5,tabicl_aware_n32_ypow,64.33047697096573,0.31160093566540537,0.7669172932330828,1.9518395691316563,3.325248969550556,0.03195667020852823,0.052362361944301175,0.16754616499062858,5
diabetes,regression,none,0.0,tabicl_aware,56.045494041663254,0.4771628308144623,0.7729323308270677,1.7116098684737735,3.6014377525725534,0.04296940884857156,0.05586218231881718,0.11304346874092415,5
diabetes,regression,none,0.0,tabicl_aware_n32_ypow,56.10252483687625,0.4761094528166844,0.7669172932330828,1.7135896230094079,3.6408902515438983,0.04337570320920283,0.05473766834045503,0.114326250349371,5
openml:189,regression,block,0.3,tabicl_aware,0.18098667263597623,0.5163124452112945,0.7906666666666666,1.7055509633916226,0.01743273886585169,0.09534603039663071,0.00983192080250172,0.22218909401422632,5
openml:189,regression,block,0.3,tabicl_aware_n32_ypow,0.18089516630482722,0.5167553661161255,0.7917777777777777,1.7050114480965024,0.01750597446135314,0.09570465249271273,0.011016261829284855,0.222991712054291,5
openml:189,regression,block,0.5,tabicl_aware,0.22616838574929715,0.2517492105439499,0.8062222222222222,2.2338344447826026,0.00878229813808502,0.04147972391878263,0.022792678053258842,0.07660929751466511,5
openml:189,regression,block,0.5,tabicl_aware_n32_ypow,0.22610697164023846,0.2521530589182365,0.8062222222222223,2.2342724812229906,0.008760288549426681,0.041427330228671615,0.024147182439222283,0.076031844863616,5
openml:189,regression,block_shift,0.3,tabicl_aware,0.18944809977642701,0.47429851779183546,0.7904444444444445,1.7913760619037027,0.011786725346825226,0.056122679735935245,0.024665665645353926,0.10285586097917286,5
openml:189,regression,block_shift,0.3,tabicl_aware_n32_ypow,0.18940310849029388,0.47453670417056326,0.7895555555555556,1.790792664765958,0.01188323511706691,0.05655141004901152,0.024198255217175408,0.10565434410873782,5
openml:189,regression,block_shift,0.5,tabicl_aware,0.22085405860205456,0.28637756806138126,0.7928888888888889,2.1611483498678083,0.006811429978335696,0.0346990471928436,0.008734775114237123,0.07713321905939492,5
openml:189,regression,block_shift,0.5,tabicl_aware_n32_ypow,0.22083269002912811,0.2865043475811634,0.7926666666666666,2.1596110730434193,0.00689251525510317,0.03532964210517718,0.006065486250647157,0.07743284283536617,5
openml:189,regression,none,0.0,tabicl_aware,0.07579122162121281,0.9158645244678596,0.8066666666666666,0.7286756256568774,0.001858388041178389,0.005722269229543984,0.009938079899999067,0.01014793716605222,5
openml:189,regression,none,0.0,tabicl_aware_n32_ypow,0.07558307580575327,0.9163242135524042,0.8057777777777778,0.7277753081301036,0.001883005712590277,0.005748107812569572,0.009825640430859631,0.011741179393390182,5
openml:42225,regression,block,0.3,tabicl_aware,980.2257560439957,0.9365599547412806,0.8053333333333332,0.36872612610004196,175.4465287817637,0.02168821830336868,0.016356370752631192,0.08197037571219228,5
openml:42225,regression,block,0.3,tabicl_aware_n32_ypow,976.8966343691158,0.9369867422671863,0.8075555555555555,0.36857207866539055,174.8355745574701,0.021553318276793246,0.017256238807393035,0.08291299046281946,5
openml:42225,regression,block,0.5,tabicl_aware,1217.512465759258,0.9041659533198778,0.8024444444444445,0.4843112261653104,78.2224474065967,0.011119290818464914,0.01205440342676938,0.044319944105855345,5
openml:42225,regression,block,0.5,tabicl_aware_n32_ypow,1213.5417987826813,0.9047485948437096,0.8042222222222222,0.4849063594074372,82.69922290612494,0.011896156021889622,0.01341180611289459,0.043966184748597696,5
openml:42225,regression,block_shift,0.3,tabicl_aware,1161.2564219589617,0.9108443105911684,0.7906666666666666,0.4692095696194801,222.7864850859171,0.03154406882185565,0.015666272650679623,0.05649387519418582,5
openml:42225,regression,block_shift,0.3,tabicl_aware_n32_ypow,1151.7335304751662,0.9122675186869953,0.7915555555555556,0.4700090298957688,222.08010623443232,0.0312253328032306,0.013801950121649266,0.05592682342794164,5
openml:42225,regression,block_shift,0.5,tabicl_aware,1118.1833560723248,0.9181740616903312,0.7933333333333333,0.4749684124658359,153.29126537446285,0.02163698972443533,0.013425606637327307,0.039109369115933545,5
openml:42225,regression,block_shift,0.5,tabicl_aware_n32_ypow,1114.1587253792525,0.9188283912483455,0.7939999999999999,0.47598609987618934,148.07346873016667,0.020837522946311818,0.011536308757704365,0.038630674937891275,5
openml:42225,regression,none,0.0,tabicl_aware,620.4692542788607,0.9749622893594483,0.8142222222222222,0.23368127561913643,69.16540413798322,0.005215855889187961,0.015662331945636574,0.010685265498172072,5
openml:42225,regression,none,0.0,tabicl_aware_n32_ypow,614.978835270029,0.9754003113363119,0.8162222222222223,0.2340074390517747,70.14214565129765,0.0052483552985670345,0.02107599418447912,0.010532057621153149,5
openml:44970,regression,block,0.3,tabicl_aware,0.9978900970711377,0.5297614596058433,0.7706959706959707,1.4803846844326498,0.06770938718071838,0.07248442754842924,0.01948635322823501,0.10274995963512121,5
openml:44970,regression,block,0.3,tabicl_aware_n32_ypow,0.99738119382055,0.5302109751472908,0.7677655677655678,1.4777218392070748,0.06765710732288095,0.0725890518328657,0.020493187883808637,0.10181313756889307,5
openml:44970,regression,block,0.5,tabicl_aware,1.1017015342009875,0.4295256599409375,0.7956043956043957,1.7322776674943945,0.05187014137990228,0.048477110297440146,0.012529400275814702,0.09969731644271167,5
openml:44970,regression,block,0.5,tabicl_aware_n32_ypow,1.101820630348459,0.4293927421670484,0.7970695970695971,1.731249062511667,0.051713402514551414,0.0485447036113314,0.013105160307691075,0.09864724463685443,5
openml:44970,regression,block_shift,0.3,tabicl_aware,1.0290810982724703,0.5015395534282296,0.7743589743589744,1.5807565516754598,0.031160765918952525,0.044168184311458976,0.019827646304358054,0.07103203332849597,5
openml:44970,regression,block_shift,0.3,tabicl_aware_n32_ypow,1.0283523950174704,0.5022546030278443,0.7721611721611722,1.5787470781358688,0.030668162734293767,0.043836984033411,0.022639614857673934,0.07094255125182782,5
openml:44970,regression,block_shift,0.5,tabicl_aware,1.1026938930449335,0.42690538902552977,0.7802197802197802,1.6858932462621943,0.059345313561183936,0.07168131078783405,0.03245429514042009,0.06904730260727368,5
openml:44970,regression,block_shift,0.5,tabicl_aware_n32_ypow,1.1022027251202542,0.4274208272137298,0.780952380952381,1.6853775367087558,0.05914244808430925,0.0714550286378553,0.03361192599840138,0.0682801401546989,5
openml:44970,regression,none,0.0,tabicl_aware,0.8391383148239682,0.669066444724562,0.7934065934065935,1.1998132495002858,0.012147237392011732,0.018408394604016408,0.020493187883808616,0.03257240169946892,5
openml:44970,regression,none,0.0,tabicl_aware_n32_ypow,0.8378558334293853,0.6700903862610558,0.7926739926739927,1.200175487312477,0.012090335421144764,0.018025309055897696,0.01948635322823503,0.031675494552817374,5
openml:507,regression,block,0.3,tabicl_aware,0.13307414694308978,0.5960025262210097,0.7777777777777778,1.2547325907150544,0.00583094509053242,0.03812679282628177,0.009395296958493178,0.15907767914000762,5
openml:507,regression,block,0.3,tabicl_aware_n32_ypow,0.13317091304979117,0.5955207872172635,0.7768888888888889,1.255723352771159,0.00593069894905242,0.03696726825705767,0.00840340906719516,0.15934668973474825,5
openml:507,regression,block,0.5,tabicl_aware,0.15544166126682066,0.4522579147351882,0.788,1.5201655889118042,0.013360465405287634,0.03874993088574449,0.018281070287710106,0.10349370545039202,5
openml:507,regression,block,0.5,tabicl_aware_n32_ypow,0.15527305297787325,0.4534700084193254,0.7877777777777778,1.5199151558720247,0.013437097046497697,0.03908864820038847,0.016960375024970838,0.10211082161699961,5
openml:507,regression,block_shift,0.3,tabicl_aware,0.15921712828669826,0.42431560111927225,0.7791111111111111,1.550213080152359,0.012352880528605285,0.04451702572667311,0.0260981055080845,0.16941991445454657,5
openml:507,regression,block_shift,0.3,tabicl_aware_n32_ypow,0.15929997206875007,0.4237254049543727,0.7775555555555556,1.5513787273722068,0.012333363932980738,0.04424257125839448,0.02536645008911293,0.17103660479353489,5
openml:507,regression,block_shift,0.5,tabicl_aware,0.1684169760624084,0.35459039504852213,0.7757777777777777,1.723660998177301,0.007942246110841617,0.03586182247153555,0.01616657121010383,0.22775885164480528,5
openml:507,regression,block_shift,0.5,tabicl_aware_n32_ypow,0.16841683759965603,0.35463340768264173,0.7766666666666666,1.7242116218827708,0.008128580547773242,0.036082292282395324,0.016480441082434776,0.22767414592981666,5
openml:507,regression,none,0.0,tabicl_aware,0.10775705328434612,0.7371357779450142,0.7782222222222221,0.966776967362955,0.011729588368450913,0.027662674163106696,0.009956696363208815,0.07023670606200219,5
