dataset,task,mechanism,rate,model,rmse,r2,coverage80,width80,rmse_std,r2_std,coverage80_std,width80_std,n_fits
diabetes,regression,block,0.3,tabicl_aware,63.62784891676317,0.3317350231435934,0.7779231106166867,2.1536624204450137,3.3308216407908358,0.04148525847994554,0.05017735690010927,0.13136893938007962,5
diabetes,regression,block,0.3,tabicl_aware_n32,63.52482602660397,0.33382326422120456,0.7796622410514693,2.157793576548083,3.1866680552117534,0.04057720299254565,0.04803660516528378,0.1353373434388352,5
diabetes,regression,block,0.5,tabicl_aware,64.59697972372228,0.2748140159516172,0.82721362953948,2.4125886554576317,2.895473159293703,0.09248929031704511,0.043642276352315816,0.1651919754050774,5
diabetes,regression,block,0.5,tabicl_aware_n32,64.53427132628221,0.2765670559389076,0.8232470144990394,2.4106344385769316,2.653421978684924,0.08709256569215976,0.044474611664182595,0.15988611589471163,5
diabetes,regression,block_shift,0.3,tabicl_aware,65.87000615837874,0.2786460577588117,0.7726164349384524,2.101813190620207,6.910910948737317,0.14161141930321328,0.071241515808293,0.2972489309647803,5
diabetes,regression,block_shift,0.3,tabicl_aware_n32,65.78605085787984,0.2804239017830318,0.7693622888156375,2.100009052197607,6.978509197306808,0.1424342565578931,0.06765370064738567,0.2951733670954018,5
diabetes,regression,block_shift,0.5,tabicl_aware,65.57067407021088,0.2562861526873784,0.84781657544415,2.46428470688415,4.749052702313916,0.07830356804790314,0.03906963592302837,0.0879001715919866,5
diabetes,regression,block_shift,0.5,tabicl_aware_n32,65.51477285811316,0.25758880966656417,0.8419288390195009,2.4582462632451043,4.495295696263526,0.0740310377475361,0.0342089666212757,0.1054666733433396,5
diabetes,regression,none,0.0,tabicl_aware,56.19377194200773,0.4744271266007313,0.8,1.864382451158703,3.480164268009908,0.040724927807085934,0.05765500605317539,0.11018588152593903,5
diabetes,regression,none,0.0,tabicl_aware_n32,56.228379537994535,0.4737751933968915,0.8015037593984962,1.8705819965453536,3.4592034632632456,0.04051538888988715,0.05591275922579914,0.1144759491881936,5
openml:189,regression,block,0.3,tabicl_aware,0.21514809819850264,0.322212247884096,0.793217725060418,2.0933334449622207,0.02781676023288042,0.18741272160592615,0.058648091869037536,0.24682015474516733,5
openml:189,regression,block,0.3,tabicl_aware_n32,0.21499808331475054,0.3229761743755863,0.7944149228077978,2.0940916188543546,0.028047135976627093,0.1886277224708383,0.061805054360489546,0.2566836729704722,5
openml:189,regression,block,0.5,tabicl_aware,0.2491538180533846,0.08171880545895663,0.7974578204528211,2.5240811021622873,0.006903011238971697,0.05332005575005084,0.02360530264172433,0.09600075467020343,5
openml:189,regression,block,0.5,tabicl_aware_n32,0.24891446812080806,0.08345427066501135,0.7987664353119386,2.5301161428274233,0.006990868203112369,0.054095068117535526,0.025987780666186334,0.10141021095296415,5
openml:189,regression,block_shift,0.3,tabicl_aware,0.2339337974234625,0.2022015864526036,0.7893273407775027,2.303872176603211,0.024131704327019752,0.18610391011742972,0.04775792537869342,0.28565644806060664,5
openml:189,regression,block_shift,0.3,tabicl_aware_n32,0.2340979648033484,0.20111809122417879,0.788132846803898,2.304789195923121,0.02410177439940007,0.18624315101282823,0.05100340201140333,0.28535977667876034,5
openml:189,regression,block_shift,0.5,tabicl_aware,0.23588094208367222,0.17575489067571734,0.8051837728850778,2.4147116767798145,0.015925088903231393,0.10085662784293369,0.024844864475189864,0.16941938147433702,5
openml:189,regression,block_shift,0.5,tabicl_aware_n32,0.23548784674544984,0.17847200661640597,0.8035448549657455,2.4076313928286917,0.016073021382342373,0.10140567108151374,0.02471487002950968,0.1771201479862526,5
openml:189,regression,none,0.0,tabicl_aware,0.08073531336784343,0.9045316484252359,0.8088888888888889,0.8005966438045393,0.002586632055291209,0.00693611673089418,0.01444444444444441,0.013066275780312015,5
openml:189,regression,none,0.0,tabicl_aware_n32,0.08037178920253725,0.9053948785400493,0.8104444444444445,0.80009531891393,0.002388364785315902,0.006594938690667141,0.013779569775935537,0.0123097036664894,5
openml:42225,regression,block,0.3,tabicl_aware,2606.0324162387333,0.5282533956920565,0.8325684055341005,1.0101745808506695,1166.7296290724607,0.3892195417146968,0.1815106325841676,0.19025602182589763,5
openml:42225,regression,block,0.3,tabicl_aware_n32,2638.372179761557,0.5169743578002519,0.8248567750602722,1.0039801361755962,1171.3226703069213,0.39046775350050483,0.1862733019942921,0.1834539437663016,5
openml:42225,regression,block,0.5,tabicl_aware,1448.075725834685,0.8572548854249987,0.9472834270463025,0.8978802216237287,272.83896590777005,0.06220211542245044,0.02326810727848085,0.12703485986875562,5
openml:42225,regression,block,0.5,tabicl_aware_n32,1412.6988262007924,0.8653469820719513,0.9524048399559808,0.9077567995205772,228.68923034734004,0.04985697361295071,0.014016583858638477,0.11907756679555766,5
openml:42225,regression,block_shift,0.3,tabicl_aware,2321.6623005170723,0.6446670801649109,0.8045645569798625,0.9638885578012616,808.2734726591148,0.23213377671709434,0.13816254303275682,0.21035966858567376,5
openml:42225,regression,block_shift,0.3,tabicl_aware_n32,2301.160247388745,0.6513863412517054,0.8167781758765045,0.9835831255041512,796.5470998004853,0.2297633816772256,0.13500494313228786,0.1970174912291955,5
openml:42225,regression,block_shift,0.5,tabicl_aware,2132.385256814773,0.6869977694818367,0.8632482147361185,1.1448509694959323,564.2464839845793,0.13690735336892546,0.06883640117532944,0.24060430368316643,5
openml:42225,regression,block_shift,0.5,tabicl_aware_n32,2072.4570842410726,0.7067586674399904,0.8659011186510774,1.1500343818789376,511.20292378780175,0.1202640916565675,0.07735417700397171,0.22121182267587775,5
openml:42225,regression,none,0.0,tabicl_aware,714.5638478491794,0.9664933052244453,0.8262222222222222,0.2686480189742479,112.40842190371981,0.009754638572171263,0.01203390272583313,0.02221360261053006,5
openml:42225,regression,none,0.0,tabicl_aware_n32,707.5007175503067,0.9672628937817569,0.8242222222222223,0.26612560570993515,100.08232402484988,0.008620435705292653,0.01139633902662942,0.019480002344475677,5
openml:44970,regression,block,0.3,tabicl_aware,1.0787233430127061,0.41199753857407506,0.8583967688654767,2.177817039101239,0.1312667860527063,0.12233338988853129,0.041325131487163665,0.11093176687915442,5
openml:44970,regression,block,0.3,tabicl_aware_n32,1.0788628596874297,0.41187326539368385,0.858595840778489,2.179418696628185,0.13097715839867857,0.12205556456309627,0.040757946846397775,0.10488936059303368,5
openml:44970,regression,block,0.5,tabicl_aware,1.1368142209461323,0.3349646034103233,0.8686353707082525,2.2196551288651896,0.11274241411169757,0.16310899898844156,0.042994234148408084,0.18546473918826376,5
openml:44970,regression,block,0.5,tabicl_aware_n32,1.139810104347821,0.33179867462008855,0.8678342701310804,2.2176501952598198,0.11124891710999825,0.1614002318391768,0.04376194867826298,0.18001949044248727,5
openml:44970,regression,block_shift,0.3,tabicl_aware,1.1357039995971103,0.3507342566957258,0.8409693620169358,2.13890445534981,0.09122822103601726,0.08814461039996879,0.045444805127936694,0.18246587040323067,5
openml:44970,regression,block_shift,0.3,tabicl_aware_n32,1.13550690780197,0.35094610696756073,0.8409220013004972,2.1440455209967055,0.09120949275108091,0.08824031546636384,0.0458867559757224,0.18519408625410805,5
openml:44970,regression,block_shift,0.5,tabicl_aware,1.3516783737927331,0.0691129568172065,0.7226232007781979,2.149623976990256,0.046948525708369666,0.11630712527559396,0.12262248223160306,0.27002347351729156,5
openml:44970,regression,block_shift,0.5,tabicl_aware_n32,1.3523849191404271,0.06797702418239726,0.7203767148344227,2.1466002640910276,0.04909193971991691,0.11841424571072065,0.12143870384539363,0.27043897648270193,5
openml:44970,regression,none,0.0,tabicl_aware,0.8416584864017412,0.6672384869375325,0.810989010989011,1.297300607664726,0.01921610982577328,0.01650182543501437,0.015235629555373916,0.03635612432166626,5
openml:44970,regression,none,0.0,tabicl_aware_n32,0.841350491034335,0.6674972740969227,0.810989010989011,1.2983967912467116,0.01923297056735436,0.01612893116888876,0.01310516030769106,0.034864652279548214,5
openml:507,regression,block,0.3,tabicl_aware,0.1859906578873924,0.0344698188136475,0.8269468090265862,2.3789591037691884,0.04981407220689459,0.5771282335337977,0.08673366973901668,0.2981470900414708,5
openml:507,regression,block,0.3,tabicl_aware_n32,0.18607401858429423,0.034626283881133826,0.828662370908026,2.3959263275581626,0.0493972139961893,0.5724986500103437,0.08804016642518403,0.2897760945702397,5
openml:507,regression,block,0.5,tabicl_aware,0.18457122383549734,0.21142581850592385,0.8276614091489332,2.119953461658267,0.01848466471024541,0.11897604397321626,0.05809011881292055,0.20928459934122912,5
openml:507,regression,block,0.5,tabicl_aware_n32,0.18500821661158548,0.20776828740984646,0.8274742761813725,2.122667368980886,0.01780898021921706,0.11456539142659966,0.06443212549750779,0.21018445970849764,5
openml:507,regression,block_shift,0.3,tabicl_aware,0.18954443057548823,0.05016626256362786,0.7754305112760141,2.1188378009782958,0.03443676834696349,0.3204967580926045,0.07651911143614915,0.4136449799882905,5
openml:507,regression,block_shift,0.3,tabicl_aware_n32,0.19127374300515998,0.03094800146866299,0.7719475439264729,2.123618522394289,0.03562066598631227,0.3363560325893118,0.08018267504245824,0.4245359527687409,5
openml:507,regression,block_shift,0.5,tabicl_aware,0.18689021639071396,0.1910834890347452,0.8017380958387083,2.028424879020137,0.013752919685466544,0.09985625479210844,0.05619030326603923,0.2577224138007626,5
openml:507,regression,block_shift,0.5,tabicl_aware_n32,0.18673396668650927,0.19235474026605767,0.8015777502510915,2.030646836695571,0.013726458943998359,0.10038640926315674,0.05699362875686278,0.2561496206286229,5
openml:507,regression,none,0.0,tabicl_aware,0.10821565724737339,0.7349721375266687,0.7833333333333333,0.9842515326848315,0.012299779621965786,0.02962187044641775,0.00797372227467073,0.06424779629488717,5
