dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,rmse,r2,coverage80,width80
diabetes,regression,309,10,none,0.0,0.0,0,random,,tabicl_aware,1.8005471229553223,,55.4420764845544,0.5006001483592502,0.8045112781954887,1.821556572492222
diabetes,regression,309,10,none,0.0,0.0,0,random,,tabicl_aware_n32,0.37746644020080566,,55.4855031869216,0.4998175015425632,0.8045112781954887,1.82609974296304
diabetes,regression,309,10,block,0.3,0.3,0,random,,tabicl_aware,0.2679100036621094,,58.75378832229019,0.4391571568952509,0.7819548872180451,1.901606150915068
diabetes,regression,309,10,block,0.3,0.3,0,random,,tabicl_aware_n32,0.31131696701049805,,58.76161605326304,0.43900770544824863,0.7894736842105263,1.8982256617694158
diabetes,regression,309,10,block,0.5,0.5,0,random,,tabicl_aware,0.26595258712768555,,65.37490827029315,0.30562892927180674,0.7969924812030075,2.0329206789949685
diabetes,regression,309,10,block,0.5,0.5,0,random,,tabicl_aware_n32,0.3368794918060303,,65.16367407154736,0.31010887298340173,0.7894736842105263,2.0290253659169455
diabetes,regression,309,10,block_shift,0.3,0.3,0,random,,tabicl_aware,0.26144886016845703,,58.96295611044046,0.43515676553667393,0.7969924812030075,1.9642264010887645
diabetes,regression,309,10,block_shift,0.3,0.3,0,random,,tabicl_aware_n32,0.300400972366333,,58.81367792576792,0.43801320429445956,0.7969924812030075,1.9615009655903453
diabetes,regression,309,10,block_shift,0.5,0.5,0,random,,tabicl_aware,0.25916266441345215,,65.0497256337656,0.3125195192474035,0.7744360902255639,2.063638377297532
diabetes,regression,309,10,block_shift,0.5,0.5,0,random,,tabicl_aware_n32,0.3020799160003662,,65.17949004960452,0.3097739432167189,0.7744360902255639,2.060690246898257
diabetes,regression,309,10,none,0.0,0.0,1,random,,tabicl_aware,0.2624082565307617,,56.99894975172964,0.4441765204776199,0.7669172932330827,1.8201363648811066
diabetes,regression,309,10,none,0.0,0.0,1,random,,tabicl_aware_n32,0.30152416229248047,,57.08579305941005,0.44248153061280215,0.7669172932330827,1.8199559426327157
diabetes,regression,309,10,block,0.3,0.266289592760181,1,random,,tabicl_aware,0.2625885009765625,,59.17966952989078,0.40083249381769703,0.7819548872180451,1.9256384742098882
diabetes,regression,309,10,block,0.3,0.266289592760181,1,random,,tabicl_aware_n32,0.30228662490844727,,59.21437213953719,0.40012959119602065,0.7819548872180451,1.9156250394241867
diabetes,regression,309,10,block,0.5,0.40226244343891404,1,random,,tabicl_aware,0.262495756149292,,61.10566252442488,0.36119825188100674,0.7368421052631579,1.8749587827146637
