dataset,task,mechanism,rate,model,rmse,r2,coverage80,width80,rmse_std,r2_std,coverage80_std,width80_std,n_fits
diabetes,regression,block,0.3,tabicl_aware,59.14533605128033,0.4179706230934353,0.8,1.9752767190348137,2.788496182378938,0.024940517527088264,0.03629328837938999,0.07715785941014322,5
diabetes,regression,block,0.3,tabicl_aware_n32,59.141838255745824,0.4180383632017765,0.8015037593984962,1.9753917728594934,2.7961645846404886,0.025152319416765507,0.039998303994798166,0.08511637712794214,5
diabetes,regression,block,0.5,tabicl_aware,64.88449850109484,0.2995179691742057,0.7894736842105263,2.097770583759978,3.645175613495999,0.042546224872120064,0.05181973215071512,0.21160280185881547,5
diabetes,regression,block,0.5,tabicl_aware_n32,64.84140511276576,0.3004248907973945,0.7924812030075188,2.0971564867999057,3.6097411199416958,0.04231707296231856,0.05358956295099389,0.21527690664919466,5
diabetes,regression,block_shift,0.3,tabicl_aware,58.99220101265087,0.4198060423017867,0.8150375939849624,1.9501829513205107,0.6061063300716446,0.03050743811482633,0.03550592166351156,0.1090409303660198,5
diabetes,regression,block_shift,0.3,tabicl_aware_n32,59.05136660706056,0.4186358921405267,0.8150375939849624,1.9494281772420063,0.6656179295296641,0.03098284865101831,0.03550592166351156,0.10922184543841075,5
diabetes,regression,block_shift,0.5,tabicl_aware,64.47446384273238,0.30829559282589614,0.7954887218045112,2.1668097314210795,2.929635523216383,0.02859146043819459,0.05247021450336209,0.1735751091330824,5
diabetes,regression,block_shift,0.5,tabicl_aware_n32,64.51729720682938,0.30735023138660783,0.7984962406015038,2.1626674624281677,2.9117988842988765,0.028930867549423363,0.05247021450336209,0.17629439464372287,5
diabetes,regression,none,0.0,tabicl_aware,56.19377150369585,0.4744271347432868,0.8,1.864382451158703,3.4801643867497347,0.04072493017059724,0.05765500605317539,0.11018588152593903,5
diabetes,regression,none,0.0,tabicl_aware_n32,56.22837863143519,0.4737752105891375,0.8015037593984962,1.870582039166686,3.459203297812306,0.04051538223442898,0.05591275922579914,0.11447607681260033,5
openml:189,regression,block,0.3,tabicl_aware,0.1834024704594632,0.5036625189935099,0.7871111111111111,1.6975507728962598,0.017111841997592272,0.09451869679026184,0.014350119369744833,0.2165914751343765,5
openml:189,regression,block,0.3,tabicl_aware_n32,0.18347235885156704,0.503289405120795,0.7875555555555556,1.6982304330368865,0.017073576364916767,0.09442604196841488,0.016299662951904274,0.21773321010238986,5
openml:189,regression,block,0.5,tabicl_aware,0.22746008996325023,0.24315118890490717,0.8057777777777778,2.2554533807643105,0.008619985113167687,0.041628015425867276,0.02498641606261933,0.09365251021376438,5
openml:189,regression,block,0.5,tabicl_aware_n32,0.22741416315528404,0.24346515605641078,0.8057777777777778,2.2551827931872857,0.008631025310156186,0.04147041961282877,0.02404214406740849,0.09156282383761971,5
openml:189,regression,block_shift,0.3,tabicl_aware,0.19151203168883663,0.46274762972722633,0.7835555555555556,1.790649634708507,0.012295544410941814,0.059300551725945824,0.02254487979427413,0.1152356507258602,5
openml:189,regression,block_shift,0.3,tabicl_aware_n32,0.19154143292113507,0.4625716180717114,0.7831111111111111,1.790814906843871,0.012323961096397275,0.05950344465585793,0.023059236653925227,0.1168927507318035,5
openml:189,regression,block_shift,0.5,tabicl_aware,0.22136809186900658,0.28311094446559804,0.7911111111111111,2.1679455045445124,0.007176034819465795,0.03498171456713261,0.007535922203472486,0.08357145841621955,5
openml:189,regression,block_shift,0.5,tabicl_aware_n32,0.22139016241510107,0.28296790988556414,0.7915555555555556,2.1678122408234093,0.007220626736196732,0.03518120301081235,0.007560455927201833,0.08300135139624248,5
openml:189,regression,none,0.0,tabicl_aware,0.08073531346732422,0.9045316480364146,0.8088888888888889,0.8005966324921724,0.002586632915768919,0.006936120447517889,0.01444444444444441,0.013066231725749201,5
openml:189,regression,none,0.0,tabicl_aware_n32,0.08037179009286295,0.9053948763063036,0.8104444444444445,0.8000953300823449,0.002388366008797882,0.006594942615234332,0.013779569775935537,0.012309682283445374,5
openml:42225,regression,block,0.3,tabicl_aware,1019.7202350635896,0.9315782791004862,0.818,0.4076792867057198,171.6070403186186,0.021942655666594015,0.01714858810730711,0.0831772785619976,5
openml:42225,regression,block,0.3,tabicl_aware_n32,1014.3056721409478,0.932251837446311,0.8224444444444444,0.4061140895568419,173.02474155097,0.02213807648581531,0.016242757170315248,0.08541576217946426,5
openml:42225,regression,block,0.5,tabicl_aware,1237.8108608494954,0.9007556293067923,0.8248888888888889,0.5323328428134523,94.98974954484925,0.014653298951819856,0.011616293367720123,0.04068121178417637,5
openml:42225,regression,block,0.5,tabicl_aware_n32,1236.6162640630469,0.9009393991460929,0.8253333333333334,0.5320598213944361,95.65526609297186,0.01475393766106596,0.013132750504082118,0.040701585761568175,5
openml:42225,regression,block_shift,0.3,tabicl_aware,1190.041638547332,0.9063680383881545,0.8115555555555556,0.5099252951800561,226.5601143489283,0.03268869263417453,0.01137465234850643,0.06974195976501787,5
openml:42225,regression,block_shift,0.3,tabicl_aware_n32,1187.7968178998076,0.9067548127407701,0.8088888888888889,0.5114100257925477,224.8756279328923,0.03246029306220978,0.013123346456686369,0.06787808521516195,5
openml:42225,regression,block_shift,0.5,tabicl_aware,1151.5080677184937,0.9133623874143885,0.8122222222222222,0.5211216493544383,147.72298442390914,0.021878907593373104,0.022194427061597955,0.04495895917696624,5
openml:42225,regression,block_shift,0.5,tabicl_aware_n32,1150.5210827445183,0.9135718349772869,0.8142222222222222,0.522033071858926,143.1417283273312,0.02115432580267133,0.023653882827973625,0.043459811457981216,5
openml:42225,regression,none,0.0,tabicl_aware,714.5638527662309,0.9664933048719696,0.8262222222222222,0.2686480159839848,112.40841616793723,0.00975463804128967,0.01203390272583313,0.02221359304020798,5
openml:42225,regression,none,0.0,tabicl_aware_n32,707.5007105864617,0.9672628942446249,0.8242222222222223,0.2661255965245787,100.08233774104299,0.008620437001456423,0.01139633902662942,0.01948000195593197,5
openml:44970,regression,block,0.3,tabicl_aware,1.0003781206373268,0.5275631621796303,0.8021978021978022,1.609416721654781,0.06570007577388534,0.07088829293875075,0.012950673648105288,0.12304522177951739,5
openml:44970,regression,block,0.3,tabicl_aware_n32,1.0002175741213635,0.5277124672380087,0.8007326007326008,1.60924031643068,0.06562972820760048,0.07085035545039135,0.014327917374071776,0.12170557841717686,5
openml:44970,regression,block,0.5,tabicl_aware,1.1021783633969888,0.42893899042112515,0.8095238095238095,1.809782462093521,0.05280000494604492,0.050401933161099484,0.00897248990030465,0.10757249786764263,5
openml:44970,regression,block,0.5,tabicl_aware_n32,1.1022966946016628,0.4288019587654045,0.8080586080586081,1.8071358975126166,0.05246342221302771,0.050459764984767334,0.009551944916047803,0.10834059962228564,5
openml:44970,regression,block_shift,0.3,tabicl_aware,1.0300523339859482,0.5010204283468648,0.8051282051282052,1.688222925775954,0.0245977302970285,0.03609289831762788,0.015410757485686905,0.0870590668590402,5
openml:44970,regression,block_shift,0.3,tabicl_aware_n32,1.029820906063304,0.5012438624671646,0.8065934065934066,1.6866639845842062,0.024886765439751254,0.03618437257634311,0.014969096514067796,0.08421434267886543,5
openml:44970,regression,block_shift,0.5,tabicl_aware,1.1024002964417392,0.42718596369762246,0.8021978021978022,1.7626347490117529,0.058409385550835725,0.07195508031826095,0.018856465459683162,0.09678837928570523,5
openml:44970,regression,block_shift,0.5,tabicl_aware_n32,1.1025372213518871,0.4270207267398168,0.8007326007326008,1.760793661356735,0.05867899177241695,0.0723180090702299,0.01878517421971879,0.09666044534089396,5
openml:44970,regression,none,0.0,tabicl_aware,0.8416584999664961,0.6672384764971853,0.810989010989011,1.2973006412557877,0.019216108140997487,0.016501817521104512,0.015235629555373916,0.03635618987098412,5
openml:44970,regression,none,0.0,tabicl_aware_n32,0.8413504875596203,0.6674972769840253,0.810989010989011,1.2983968244413848,0.019232987155251187,0.016128933690926273,0.01310516030769106,0.03486467207362729,5
openml:507,regression,block,0.3,tabicl_aware,0.1335468528729618,0.5921431990418867,0.7828888888888889,1.2749291279708994,0.005245691409962258,0.049058127665161017,0.009182646005064158,0.15761669888604626,5
openml:507,regression,block,0.3,tabicl_aware_n32,0.13359816507516614,0.5918753227562125,0.7855555555555556,1.275138584566961,0.0052574841946612496,0.048599423614437184,0.010657403385139366,0.15970114154196097,5
openml:507,regression,block,0.5,tabicl_aware,0.15605994851169258,0.44780255364357774,0.79,1.5256603837619562,0.013859602546752621,0.04455499088582361,0.013146843962443573,0.08985120303174679,5
openml:507,regression,block,0.5,tabicl_aware_n32,0.1559711497717549,0.44843248442494027,0.7895555555555556,1.5247913102700221,0.013792049737296044,0.043965094627858414,0.01325439596306371,0.08914969132885603,5
openml:507,regression,block_shift,0.3,tabicl_aware,0.15919330167464887,0.4243055105777289,0.7704444444444445,1.5354411138181505,0.011847594101338151,0.0434940772562072,0.024552790191194936,0.15756750058987298,5
