dataset,task,mechanism,rate,model,rmse,r2,coverage80,width80,rmse_std,r2_std,coverage80_std,width80_std,n_fits
diabetes,regression,block,0.3,tabpfn3,62.25589588627382,0.35962576672830854,,,2.3661360196694536,0.03960246212849305,,,5
diabetes,regression,block,0.3,tabpfn3_n32,62.14618664620325,0.36182106812917986,,,2.3463080753142607,0.04044274086478944,,,5
diabetes,regression,block,0.5,tabpfn3,63.979580333830185,0.28775353759001915,,,3.1546389931086525,0.09985393688805302,,,5
diabetes,regression,block,0.5,tabpfn3_n32,63.83974822043153,0.2908259196415427,,,3.056276688285606,0.09915468037602064,,,5
diabetes,regression,block_shift,0.3,tabpfn3,67.58566761860851,0.2366649614856998,,,8.423018156381756,0.1835428921147666,,,5
diabetes,regression,block_shift,0.3,tabpfn3_n32,67.58520517905656,0.23689592129418804,,,8.390531356330726,0.18239263639883424,,,5
diabetes,regression,block_shift,0.5,tabpfn3,65.45390968547443,0.2590409842969974,,,3.8461868525847125,0.061829260622027885,,,5
diabetes,regression,block_shift,0.5,tabpfn3_n32,65.55804886290612,0.2565531894228698,,,3.8727587397811094,0.0642115438067534,,,5
diabetes,regression,none,0.0,tabpfn3,56.30941015906335,0.47204226946104055,,,3.404400079984222,0.04344507099536665,,,5
diabetes,regression,none,0.0,tabpfn3_n32,56.329005410411185,0.4716840841979904,,,3.40173061315668,0.043268835346978625,,,5
openml:189,regression,block,0.3,tabpfn3,0.21443698608134176,0.32506557943647907,,,0.030975709643304906,0.19900948291952192,,,5
openml:189,regression,block,0.3,tabpfn3_n32,0.21415474348356037,0.32634647685566504,,,0.031492661562558685,0.20220373528361146,,,5
openml:189,regression,block,0.5,tabpfn3,0.2504059685286005,0.07256842993433783,,,0.007593294501064543,0.05402590059841808,,,5
openml:189,regression,block,0.5,tabpfn3_n32,0.25036715994942715,0.07286558189761386,,,0.007418352547039726,0.053214489141746195,,,5
openml:189,regression,block_shift,0.3,tabpfn3,0.23803043950282093,0.1699083691766785,,,0.029614002123999575,0.23277777875300745,,,5
openml:189,regression,block_shift,0.3,tabpfn3_n32,0.23710833259945768,0.1772000558109256,,,0.02836832433632091,0.22160955743736233,,,5
openml:189,regression,block_shift,0.5,tabpfn3,0.23466996031978726,0.18351525421497972,,,0.018809105168620846,0.11731210880309016,,,5
openml:189,regression,block_shift,0.5,tabpfn3_n32,0.23476452517356594,0.1830580453980578,,,0.018171798901712794,0.11301506729690278,,,5
openml:189,regression,none,0.0,tabpfn3,0.07133936924433572,0.9254242813702585,,,0.0017000922445347193,0.0056861784548184946,,,5
openml:189,regression,none,0.0,tabpfn3_n32,0.07132768309450155,0.9254388703369937,,,0.0018194896408424183,0.0059424853009582826,,,5
openml:42225,regression,block,0.3,tabpfn3,2003.7656242526489,0.67888454960956,,,1312.1638362551741,0.433946352180465,,,5
openml:42225,regression,block,0.3,tabpfn3_n32,1975.2247053755673,0.6885910339375771,,,1289.4188894746226,0.42030811148644626,,,5
openml:42225,regression,block,0.5,tabpfn3,1292.577515631931,0.8894262208708611,,,102.1026659364757,0.02044236428333877,,,5
openml:42225,regression,block,0.5,tabpfn3_n32,1291.2928888403055,0.8892550195624255,,,128.22097150782741,0.025133051233966905,,,5
openml:42225,regression,block_shift,0.3,tabpfn3,2076.8424367754183,0.7218357937856447,,,630.2911718195079,0.17449103488997117,,,5
openml:42225,regression,block_shift,0.3,tabpfn3_n32,2024.0084932020786,0.7376910813698131,,,578.5230216822894,0.15362200043833765,,,5
openml:42225,regression,block_shift,0.5,tabpfn3,2162.967386144894,0.6843348872335568,,,479.64108210933415,0.12101062935699174,,,5
