dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,rmse,r2,coverage80,width80
diabetes,regression,309,10,none,0.0,0.0,0,random,,tabpfn3,2.5593008995056152,,55.351799578216855,0.502225180136322,,
diabetes,regression,309,10,none,0.0,0.0,0,random,,tabpfn3_n32,1.3941874504089355,,55.39058304975567,0.5015273817233401,,
diabetes,regression,309,10,block,0.3,0.3,0,random,,tabpfn3,0.6722266674041748,,58.876550140387195,0.43681102679168926,,
diabetes,regression,309,10,block,0.3,0.3,0,random,,tabpfn3_n32,1.3031811714172363,,58.97137402235004,0.434995473080654,,
diabetes,regression,309,10,block,0.5,0.5,0,random,,tabpfn3,0.6814141273498535,,64.4940183477927,0.32421537407956313,,
diabetes,regression,309,10,block,0.5,0.5,0,random,,tabpfn3_n32,1.307081699371338,,64.51679144013697,0.3237380453855804,,
diabetes,regression,309,10,block_shift,0.3,0.3,0,random,,tabpfn3,0.6749396324157715,,58.19129740273838,0.4498444304581559,,
diabetes,regression,309,10,block_shift,0.3,0.3,0,random,,tabpfn3_n32,1.356050729751587,,58.32094884585519,0.4473901829200957,,
diabetes,regression,309,10,block_shift,0.5,0.5,0,random,,tabpfn3,0.6814055442810059,,64.59306156959882,0.3221381805091318,,
diabetes,regression,309,10,block_shift,0.5,0.5,0,random,,tabpfn3_n32,1.3045070171356201,,64.61863624743066,0.32160129530153303,,
diabetes,regression,309,10,none,0.0,0.0,1,random,,tabpfn3,0.6716799736022949,,58.14588697147989,0.42158282368294686,,
diabetes,regression,309,10,none,0.0,0.0,1,random,,tabpfn3_n32,1.3281116485595703,,58.13001187922917,0.42189862151528157,,
diabetes,regression,309,10,block,0.3,0.266289592760181,1,random,,tabpfn3,0.6777591705322266,,59.44433303762232,0.3954613124244307,,
diabetes,regression,309,10,block,0.3,0.266289592760181,1,random,,tabpfn3_n32,1.3053596019744873,,59.689495140951905,0.39046451644344826,,
diabetes,regression,309,10,block,0.5,0.40226244343891404,1,random,,tabpfn3,0.6795063018798828,,61.2859236480958,0.3574237745736405,,
diabetes,regression,309,10,block,0.5,0.40226244343891404,1,random,,tabpfn3_n32,1.3579115867614746,,61.27856764239202,0.35757801915135035,,
diabetes,regression,309,10,block_shift,0.3,0.26380090497737557,1,random,,tabpfn3,0.7269845008850098,,58.52299526292913,0.41405578236666896,,
diabetes,regression,309,10,block_shift,0.3,0.26380090497737557,1,random,,tabpfn3_n32,1.3231618404388428,,58.523764455582906,0.41404037963659346,,
diabetes,regression,309,10,block_shift,0.5,0.5,1,random,,tabpfn3,0.6816720962524414,,62.48576502787371,0.3320170702457069,,
diabetes,regression,309,10,block_shift,0.5,0.5,1,random,,tabpfn3_n32,1.3113648891448975,,62.250465317119804,0.3370383820465934,,
diabetes,regression,309,10,none,0.0,0.0,2,random,,tabpfn3,0.679222583770752,,57.579771467133575,0.45081679665840146,,
diabetes,regression,309,10,none,0.0,0.0,2,random,,tabpfn3_n32,1.3026008605957031,,57.62184106851663,0.4500140022711171,,
diabetes,regression,309,10,block,0.3,0.252262443438914,2,random,,tabpfn3,0.6847374439239502,,58.32068770694136,0.4365924724365272,,
diabetes,regression,309,10,block,0.3,0.252262443438914,2,random,,tabpfn3_n32,1.3483524322509766,,58.312090408487414,0.4367585687510559,,
diabetes,regression,309,10,block,0.5,0.46289592760181,2,random,,tabpfn3,0.6810574531555176,,64.63180991924222,0.30805749732815646,,
diabetes,regression,309,10,block,0.5,0.46289592760181,2,random,,tabpfn3_n32,1.3078539371490479,,64.748777290788,0.30555074618956624,,
diabetes,regression,309,10,block_shift,0.3,0.2,2,random,,tabpfn3,0.684990406036377,,58.62094213652755,0.4307763178925976,,
diabetes,regression,309,10,block_shift,0.3,0.2,2,random,,tabpfn3_n32,1.3166241645812988,,58.541681034194326,0.4323145666286877,,
diabetes,regression,309,10,block_shift,0.5,0.43710407239819005,2,random,,tabpfn3,0.6853606700897217,,63.16518581368049,0.3391042967273137,,
diabetes,regression,309,10,block_shift,0.5,0.43710407239819005,2,random,,tabpfn3_n32,1.3223731517791748,,63.248900921945406,0.3373513178340548,,
diabetes,regression,309,10,none,0.0,0.0,3,random,,tabpfn3,0.7231812477111816,,50.867492464069386,0.5300827088098523,,
diabetes,regression,309,10,none,0.0,0.0,3,random,,tabpfn3_n32,1.302367925643921,,50.88274413082047,0.5298008747336143,,
diabetes,regression,309,10,block,0.3,0.3,3,random,,tabpfn3,0.6776559352874756,,54.96578117858706,0.4513118560689443,,
diabetes,regression,309,10,block,0.3,0.3,3,random,,tabpfn3_n32,1.2982041835784912,,54.97259571320488,0.4511757973774885,,
diabetes,regression,309,10,block,0.5,0.4276018099547511,3,random,,tabpfn3,0.6806859970092773,,61.01698553535478,0.32385122887923423,,
