dataset,task,mechanism,rate,model,rmse,r2,coverage80,width80,rmse_std,r2_std,coverage80_std,width80_std,n_fits
diabetes,regression,block,0.3,tabpfn3,58.8580298553489,0.4235876568027336,,,2.7573209874099236,0.02535098412799463,,,5
diabetes,regression,block,0.3,tabpfn3_n32,58.937280622477125,0.4220079976076477,,,2.7903271204958244,0.02681070301784979,,,5
diabetes,regression,block,0.5,tabpfn3,64.21331892010173,0.31405013649878805,,,3.4808667052171676,0.03676035159993209,,,5
diabetes,regression,block,0.5,tabpfn3_n32,64.23014301289497,0.31367131809920296,,,3.4011082378151056,0.03546324827264798,,,5
diabetes,regression,block_shift,0.3,tabpfn3,58.553522455028656,0.4279190043934803,,,0.24462135171607885,0.039170966832640854,,,5
diabetes,regression,block_shift,0.3,tabpfn3_n32,58.59371930252276,0.4271410182848439,,,0.22995640711283402,0.03911439176983545,,,5
diabetes,regression,block_shift,0.5,tabpfn3,63.71899176585539,0.32457996360413766,,,2.751493453927395,0.0182338555376016,,,5
diabetes,regression,block_shift,0.5,tabpfn3_n32,63.69782907126042,0.3250176996786401,,,2.7176456256847965,0.017584694620185977,,,5
diabetes,regression,none,0.0,tabpfn3,56.30941015906335,0.47204226946104055,,,3.404400079984222,0.04344507099536665,,,5
diabetes,regression,none,0.0,tabpfn3_n32,56.329005410411185,0.4716840841979904,,,3.40173061315668,0.043268835346978625,,,5
openml:189,regression,block,0.3,tabpfn3,0.17934678608080715,0.5252623117627649,,,0.016948129192796403,0.0917301564597306,,,5
openml:189,regression,block,0.3,tabpfn3_n32,0.17928604541546936,0.525587271068747,,,0.016915829857749788,0.09155631882675587,,,5
openml:189,regression,block,0.5,tabpfn3,0.2249721418568186,0.25961145131953856,,,0.00847165146060633,0.04068563887962864,,,5
openml:189,regression,block,0.5,tabpfn3_n32,0.22504039711744395,0.2591624592632283,,,0.008466426342318884,0.04066585084989639,,,5
openml:189,regression,block_shift,0.3,tabpfn3,0.1873567809306285,0.48556684602230965,,,0.01320515241421417,0.06316401652473189,,,5
openml:189,regression,block_shift,0.3,tabpfn3_n32,0.1873658763574592,0.48550166533627187,,,0.013261798793174727,0.0635361746875715,,,5
openml:189,regression,block_shift,0.5,tabpfn3,0.21886623368282238,0.2990804001018149,,,0.007310462979711997,0.03827767496049094,,,5
openml:189,regression,block_shift,0.5,tabpfn3_n32,0.2188420790897497,0.2992394123933389,,,0.007249964995679993,0.03791893956346646,,,5
openml:189,regression,none,0.0,tabpfn3,0.07133936924433572,0.9254242813702585,,,0.0017000922445347193,0.0056861784548184946,,,5
openml:189,regression,none,0.0,tabpfn3_n32,0.07132768309450155,0.9254388703369937,,,0.0018194896408424183,0.0059424853009582826,,,5
openml:42225,regression,block,0.3,tabpfn3,972.99978659659,0.9374193665643389,,,170.76187817361566,0.021736180103140476,,,5
openml:42225,regression,block,0.3,tabpfn3_n32,970.5936115134243,0.9377177099129614,,,171.59151432913725,0.02175477144072166,,,5
openml:42225,regression,block,0.5,tabpfn3,1199.6617399451675,0.9067239709618307,,,90.08250476216918,0.014188239583107927,,,5
openml:42225,regression,block,0.5,tabpfn3_n32,1198.8904894829582,0.9068766386800877,,,87.65052041839638,0.013656379807200065,,,5
openml:42225,regression,block_shift,0.3,tabpfn3,1131.719295042372,0.9153633091842632,,,213.36340189250942,0.029568459234858836,,,5
openml:42225,regression,block_shift,0.3,tabpfn3_n32,1132.5133429502537,0.9152224204063055,,,214.57875929422013,0.02975169623296232,,,5
openml:42225,regression,block_shift,0.5,tabpfn3,1091.3540625231556,0.9221549431139262,,,142.25161953448657,0.019788294129083697,,,5
openml:42225,regression,block_shift,0.5,tabpfn3_n32,1090.6768354420096,0.9222382078639321,,,143.22135505455532,0.019940788351597412,,,5
openml:42225,regression,none,0.0,tabpfn3,591.35415637872,0.9771844693516085,,,72.1677896342669,0.005546010862817832,,,5
openml:42225,regression,none,0.0,tabpfn3_n32,590.8190310925838,0.9772331009598295,,,70.613873733863,0.005454241145056236,,,5
openml:44970,regression,block,0.3,tabpfn3,0.9983515294174085,0.5291943221538884,,,0.06269237770488911,0.07118154672314772,,,5
openml:44970,regression,block,0.3,tabpfn3_n32,0.9977415360161908,0.5297669544554264,,,0.06258566944714578,0.07104498433170486,,,5
openml:44970,regression,block,0.5,tabpfn3,1.0987074118855917,0.4327476140027007,,,0.045911297692032685,0.043244716129229824,,,5
openml:44970,regression,block,0.5,tabpfn3_n32,1.0982859081457381,0.433184588962874,,,0.04632182710161193,0.043396551509240364,,,5
openml:44970,regression,block_shift,0.3,tabpfn3,1.0300791730284204,0.5006634015869308,,,0.027882545192058933,0.04206459684479682,,,5
openml:44970,regression,block_shift,0.3,tabpfn3_n32,1.0302557204736655,0.5004920827768236,,,0.02753475436737491,0.041967717537079195,,,5
openml:44970,regression,block_shift,0.5,tabpfn3,1.1016234275286578,0.4276845486729025,,,0.05704586833799192,0.07459506853420238,,,5
openml:44970,regression,block_shift,0.5,tabpfn3_n32,1.1013226406916103,0.42803901734844985,,,0.056718636686818424,0.0740365719360656,,,5
openml:44970,regression,none,0.0,tabpfn3,0.841062108014578,0.6675768945919065,,,0.015491853322246712,0.018718804567988065,,,5
openml:44970,regression,none,0.0,tabpfn3_n32,0.8404175345348103,0.6680783142824289,,,0.016380718775517403,0.019122062274596112,,,5
openml:507,regression,block,0.3,tabpfn3,0.12584140404424043,0.6367843253237708,,,0.007854848453530388,0.058448895350521154,,,5
openml:507,regression,block,0.3,tabpfn3_n32,0.12552520873053413,0.6384394659996024,,,0.007972530506213854,0.05971336062578358,,,5
openml:507,regression,block,0.5,tabpfn3,0.1527402134356754,0.47071863410577697,,,0.012651498953559139,0.03988952825814086,,,5
openml:507,regression,block,0.5,tabpfn3_n32,0.15268314327681964,0.4710885554239666,,,0.012711490429134581,0.0407343868882335,,,5
openml:507,regression,block_shift,0.3,tabpfn3,0.15215270446562426,0.47289684507951313,,,0.011083942076185816,0.05466718791522485,,,5
openml:507,regression,block_shift,0.3,tabpfn3_n32,0.15212571650624693,0.4730193834750439,,,0.011233468114266763,0.05596386299755434,,,5
openml:507,regression,block_shift,0.5,tabpfn3,0.16634183475803851,0.37026475240529155,,,0.007573802875935216,0.03632467638807647,,,5
openml:507,regression,block_shift,0.5,tabpfn3_n32,0.16639093139481853,0.3699001753770612,,,0.007691537204136026,0.03682837867962168,,,5
openml:507,regression,none,0.0,tabpfn3,0.09408174181496312,0.7992168774958891,,,0.007327877069886016,0.01189998479994615,,,5
openml:507,regression,none,0.0,tabpfn3_n32,0.09423762678608767,0.7985912669052293,,,0.007196618761616001,0.010294109628962574,,,5
openml:531,regression,block,0.3,tabpfn3,3.6391663709836295,0.8258701996766694,,,0.5587575381665829,0.03624072446441883,,,5
openml:531,regression,block,0.3,tabpfn3_n32,3.6524897859081507,0.8244892377123596,,,0.5286967361224607,0.03454440427838342,,,5
openml:531,regression,block,0.5,tabpfn3,4.898668276886852,0.6788218684786556,,,0.5887174075277797,0.08314710589292301,,,5
openml:531,regression,block,0.5,tabpfn3_n32,4.889775198728934,0.679767881012485,,,0.5879204121584173,0.08378717229131638,,,5
openml:531,regression,block_shift,0.3,tabpfn3,4.258018892634702,0.7534692748981432,,,0.565150600710162,0.09332416644185187,,,5
openml:531,regression,block_shift,0.3,tabpfn3_n32,4.2667263902395725,0.7522045017485184,,,0.5782366533187364,0.09548974178987309,,,5
openml:531,regression,block_shift,0.5,tabpfn3,4.632349105477605,0.702592152704563,,,0.8034980481182434,0.13028506994044448,,,5
