split,mechanism,dataset,gain_percent
random,block,diabetes,0.010834644020898029
random,block,openml:189,-0.03304288534551151
random,block,openml:42225,-0.1289655553928848
random,block,openml:44970,-0.06832331244887764
random,block,openml:507,-0.09337866049535977
random,block,openml:531,0.023128555590777127
random,block,openml:560,0.07259039927889899
random,block_shift,diabetes,-0.07830890979699616
random,block_shift,openml:189,0.009996548349949785
random,block_shift,openml:42225,0.11635735715071482
random,block_shift,openml:44970,-0.021815873128044894
random,block_shift,openml:507,-0.061330747949265664
random,block_shift,openml:531,-0.2712226087715819
random,block_shift,openml:560,0.6205541535587148
random,none,diabetes,0.15067522211852738
random,none,openml:189,0.21921299121671067
random,none,openml:42225,-0.024985533756919736
random,none,openml:44970,0.02394886089576535
random,none,openml:507,-0.034687500657263705
random,none,openml:531,0.3043734044036128
random,none,openml:560,-0.10704275508788645
source,block,diabetes,-0.14875584608453618
source,block,openml:189,-0.04449183245118412
source,block,openml:42225,-2.500980032810355
source,block,openml:44970,0.421684288170332
source,block,openml:507,0.5090411729694211
source,block,openml:531,-1.3474266836700164
source,block,openml:560,-0.10550615719485863
source,block_shift,diabetes,0.12403354190223352
source,block_shift,openml:189,0.19959767998062686
source,block_shift,openml:42225,1.5401066018541003
source,block_shift,openml:44970,0.003335330099507594
source,block_shift,openml:507,0.8064755866402188
source,block_shift,openml:531,1.1477361852175811
source,block_shift,openml:560,0.31463458152879803
