dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,acc,logloss,auc
breast_cancer,classification,398,30,none,0.0,0.0,0,random,,tabicl_aware,1.6288278102874756,,0.9824561403508771,0.0658333579861942,0.9957651869158879
breast_cancer,classification,281,30,block,0.3,0.25061511423550087,0,source,0.0,tabicl_aware,0.3681759834289551,,0.9791666666666666,0.1158798543403976,0.9954218106995886
breast_cancer,classification,453,30,block,0.5,0.49279437609841825,0,source,2.0,tabicl_aware,0.31418895721435547,,0.9396551724137931,0.16117970037295826,0.9850270786874801
breast_cancer,classification,281,30,block_shift,0.3,0.2662565905096661,0,source,0.0,tabicl_aware,0.27082204818725586,,0.8784722222222222,0.2544602114036381,0.9841563786008231
breast_cancer,classification,453,30,block_shift,0.5,0.48728763913298184,0,source,2.0,tabicl_aware,0.28305959701538086,,0.8879310344827587,0.2176262236064079,0.9757884676648614
breast_cancer,classification,398,30,none,0.0,0.0,1,random,,tabicl_aware,0.32286500930786133,,0.9590643274853801,0.089128672626382,0.9928446261682243
breast_cancer,classification,373,30,block,0.3,0.2886350322202695,1,source,0.0,tabicl_aware,0.28269219398498535,,0.9642857142857143,0.10537546101166924,0.9898026315789473
breast_cancer,classification,366,30,block,0.5,0.47855887521968365,1,source,0.0,tabicl_aware,0.2805652618408203,,0.9310344827586207,0.1828547466162084,0.9909638554216867
breast_cancer,classification,373,30,block_shift,0.3,0.3,1,source,0.0,tabicl_aware,0.28143858909606934,,0.9540816326530612,0.1725282001628113,0.9792763157894737
breast_cancer,classification,366,30,block_shift,0.5,0.44499121265377856,1,source,0.0,tabicl_aware,0.27649497985839844,,0.7980295566502463,0.37148025563927733,0.970281124497992
breast_cancer,classification,398,30,none,0.0,0.0,2,random,,tabicl_aware,0.28143978118896484,,0.9824561403508771,0.041359387683524144,0.999123831775701
breast_cancer,classification,289,30,block,0.3,0.26719390743995314,2,source,1.0,tabicl_aware,0.2690877914428711,,0.9428571428571428,0.1409750187335225,0.9888027562446167
breast_cancer,classification,395,30,block,0.5,0.4555360281195079,2,source,2.0,tabicl_aware,0.27724337577819824,,0.9137931034482759,0.23005200918915364,0.9806397306397305
breast_cancer,classification,289,30,block_shift,0.3,0.2338605741066198,2,source,1.0,tabicl_aware,0.26972436904907227,,0.9535714285714286,0.12935091501611676,0.9918712316968131
breast_cancer,classification,395,30,block_shift,0.5,0.46397188049209137,2,source,2.0,tabicl_aware,0.28018641471862793,,0.8333333333333334,0.36437567136020077,0.9870931537598204
breast_cancer,classification,398,30,none,0.0,0.0,3,random,,tabicl_aware,0.28147006034851074,,0.9590643274853801,0.08584301140436772,0.9948890186915889
breast_cancer,classification,407,30,block,0.3,0.29086115992970124,3,source,3.0,tabicl_aware,0.28281331062316895,,0.9259259259259259,0.20089018573630463,0.9713648834019204
breast_cancer,classification,369,30,block,0.5,0.4561218512009373,3,source,2.0,tabicl_aware,0.2784605026245117,,0.935,0.19097938680506385,0.9775733774286897
breast_cancer,classification,407,30,block_shift,0.3,0.3,3,source,3.0,tabicl_aware,0.3222205638885498,,0.9444444444444444,0.1528979612056523,0.9837105624142661
