dataset,task,mechanism,rate,model,auc,acc,logloss,auc_std,acc_std,logloss_std,n_fits
breast_cancer,classification,block,0.3,tabicl_aware,0.9878813525792551,0.95619708994709,0.13361118304752265,0.009641191285611713,0.021476151940717655,0.04035668188701198,5
breast_cancer,classification,block,0.5,tabicl_aware,0.9862852528799617,0.9370589448865312,0.1698327671659808,0.007919253716086993,0.018810298944449508,0.05401026678637375,5
breast_cancer,classification,block_shift,0.3,tabicl_aware,0.9849570478979036,0.9304889455782313,0.1842777371005202,0.004553393377364818,0.031875191843608125,0.049603977645646044,5
breast_cancer,classification,block_shift,0.5,tabicl_aware,0.9805986815012252,0.8636365626710454,0.28049282282408255,0.011824235093182506,0.046368185775069855,0.08030684949537599,5
breast_cancer,classification,none,0.0,tabicl_aware,0.9965245327102803,0.9754385964912281,0.06204251665842366,0.0029844787154741275,0.015691705105261685,0.026916084493070987,5
openml:1590,classification,block,0.3,tabicl_aware,0.8684956108975059,0.8206200975731507,0.39918217196112693,0.02586883079766611,0.02813736457233908,0.08330933247885035,5
openml:1590,classification,block,0.5,tabicl_aware,0.8444971915878015,0.8172442956400948,0.3807766443989544,0.03120122841802972,0.028539363963800725,0.03819903215427261,5
openml:1590,classification,block_shift,0.3,tabicl_aware,0.8500927166816288,0.7577222412675015,0.5056988925808974,0.045473952603609695,0.13951639438154545,0.2734943426147347,5
openml:1590,classification,block_shift,0.5,tabicl_aware,0.8084456307262909,0.7889651872554457,0.44771052491940005,0.04614650817511473,0.054183710848521055,0.07563365763428685,5
openml:1590,classification,none,0.0,tabicl_aware,0.9120067235949956,0.863111111111111,0.2972155147643308,0.004021373947406751,0.006450189010533369,0.006759768107295348,5
openml:31,classification,block,0.3,tabicl_aware,0.727742030176519,0.7342464845381876,0.5393304591273401,0.04187676393596156,0.008346569760608753,0.007950866008343507,5
openml:31,classification,block,0.5,tabicl_aware,0.7028969307824052,0.6856311747621858,0.5846514080490108,0.07556152671731263,0.03998510134530192,0.017944515449615492,5
openml:31,classification,block_shift,0.3,tabicl_aware,0.6972598121822206,0.7101233367296166,0.5532364388496818,0.0703780792888952,0.0206852195824195,0.033380028101090795,5
openml:31,classification,block_shift,0.5,tabicl_aware,0.6725774398306958,0.6938726425364835,0.5901596027317634,0.09150687860130043,0.015654734628331463,0.019409576638385086,5
openml:31,classification,none,0.0,tabicl_aware,0.8155238095238095,0.776,0.46997340435784823,0.022894730753714912,0.015347819244295114,0.019171020247627256,5
wine,classification,block,0.3,tabicl_aware,0.992499694412165,0.9163841045102904,0.22846230401431952,0.009445649016142036,0.08602008497742439,0.21131819535159937,5
wine,classification,block,0.5,tabicl_aware,0.9907424129222729,0.9003770355980028,0.2198637817217429,0.009282115425029118,0.03202916466050809,0.09106114604745554,5
wine,classification,block_shift,0.3,tabicl_aware,0.9889097554854575,0.8745010460759985,0.29036959503563764,0.008946489301799693,0.0392094719932169,0.08086960604870053,5
wine,classification,block_shift,0.5,tabicl_aware,0.9214243038211276,0.758793425767589,0.6608344691478705,0.05933037533653235,0.05678927511919666,0.2606800408662598,5
wine,classification,none,0.0,tabicl_aware,1.0,0.9888888888888889,0.022686125888399973,0.0,0.010143010324169704,0.016795722176462784,5
