dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,acc,logloss,auc
breast_cancer,classification,398,30,none,0.0,0.0,0,random,,tabicl_aware,1.6215734481811523,,0.9824561403508771,0.0658333579861942,0.9957651869158879
breast_cancer,classification,398,30,block,0.3,0.25061511423550087,0,random,,tabicl_aware,0.39065122604370117,,0.9824561403508771,0.0935559320347778,0.992552570093458
breast_cancer,classification,398,30,block,0.5,0.4859988283538371,0,random,,tabicl_aware,0.3226737976074219,,0.9707602339181286,0.10147327121785807,0.9908002336448598
breast_cancer,classification,398,30,block_shift,0.3,0.283128295254833,0,random,,tabicl_aware,0.2938358783721924,,0.9590643274853801,0.11254929311735325,0.9894859813084113
breast_cancer,classification,398,30,block_shift,0.5,0.49279437609841825,0,random,,tabicl_aware,0.29288768768310547,,0.9415204678362573,0.1252287069518834,0.9905081775700935
breast_cancer,classification,398,30,none,0.0,0.0,1,random,,tabicl_aware,0.33629298210144043,,0.9590643274853801,0.089128672626382,0.9928446261682243
breast_cancer,classification,398,30,block,0.3,0.2886350322202695,1,random,,tabicl_aware,0.29408836364746094,,0.9766081871345029,0.07053569648199304,0.9956191588785047
breast_cancer,classification,398,30,block,0.5,0.4677211482132396,1,random,,tabicl_aware,0.2936065196990967,,0.9473684210526315,0.10546552115324195,0.9921144859813084
breast_cancer,classification,398,30,block_shift,0.3,0.2895137668424136,1,random,,tabicl_aware,0.2936561107635498,,0.9590643274853801,0.1019556208186356,0.9908002336448598
breast_cancer,classification,398,30,block_shift,0.5,0.4545401288810779,1,random,,tabicl_aware,0.2939436435699463,,0.9415204678362573,0.1216552562679478,0.9905081775700935
breast_cancer,classification,398,30,none,0.0,0.0,2,random,,tabicl_aware,0.2938499450683594,,0.9824561403508771,0.041359387683524144,0.999123831775701
breast_cancer,classification,398,30,block,0.3,0.26719390743995314,2,random,,tabicl_aware,0.29548025131225586,,0.9883040935672515,0.0450429527562482,0.9994158878504673
breast_cancer,classification,398,30,block,0.5,0.4555360281195079,2,random,,tabicl_aware,0.29499220848083496,,0.9883040935672515,0.03699394012234236,0.9994158878504673
breast_cancer,classification,398,30,block_shift,0.3,0.21745752782659636,2,random,,tabicl_aware,0.29058289527893066,,0.9649122807017544,0.06986898524298639,0.9973714953271028
breast_cancer,classification,398,30,block_shift,0.5,0.47685998828353837,2,random,,tabicl_aware,0.2819511890411377,,1.0,0.0472042129188842,1.0
breast_cancer,classification,398,30,none,0.0,0.0,3,random,,tabicl_aware,0.2794456481933594,,0.9590643274853801,0.08584301140436772,0.9948890186915889
breast_cancer,classification,398,30,block,0.3,0.3,3,random,,tabicl_aware,0.2834315299987793,,0.9824561403508771,0.044135472861872645,0.9998539719626168
breast_cancer,classification,398,30,block,0.5,0.4678968951376684,3,random,,tabicl_aware,0.28182101249694824,,0.9824561403508771,0.05841969867691121,0.9981016355140186
breast_cancer,classification,398,30,block_shift,0.3,0.3,3,random,,tabicl_aware,0.3216681480407715,,0.9707602339181286,0.07976717629199337,0.9951810747663551
breast_cancer,classification,398,30,block_shift,0.5,0.4450497949619215,3,random,,tabicl_aware,0.28157567977905273,,0.9707602339181286,0.08953625023714895,0.994304906542056
breast_cancer,classification,398,30,none,0.0,0.0,4,random,,tabicl_aware,0.281696081161499,,0.9941520467836257,0.028048153591650228,1.0
breast_cancer,classification,398,30,block,0.3,0.28904510837727004,4,random,,tabicl_aware,0.2826812267303467,,0.9824561403508771,0.049682975232518134,0.9985397196261683
breast_cancer,classification,398,30,block,0.5,0.5,4,random,,tabicl_aware,0.2820014953613281,,0.9707602339181286,0.06849963091176563,0.9970794392523364
breast_cancer,classification,398,30,block_shift,0.3,0.3,4,random,,tabicl_aware,0.28090739250183105,,0.9590643274853801,0.07649663394018726,0.9972254672897196
breast_cancer,classification,398,30,block_shift,0.5,0.48734622144112477,4,random,,tabicl_aware,0.28058958053588867,,0.9883040935672515,0.060273318797724455,0.9985397196261683
wine,classification,124,13,none,0.0,0.0,0,random,,tabicl_aware,0.24931907653808594,,1.0,0.006081201697210956,1.0
wine,classification,124,13,block,0.3,0.2662057044079516,0,random,,tabicl_aware,0.2535111904144287,,1.0,0.012509896150449644,1.0
wine,classification,124,13,block,0.5,0.44857389801210024,0,random,,tabicl_aware,0.2557070255279541,,0.9444444444444444,0.14059699866670095,0.9944091916314138
wine,classification,124,13,block_shift,0.3,0.2662057044079516,0,random,,tabicl_aware,0.2543060779571533,,1.0,0.022564587694945074,1.0
wine,classification,124,13,block_shift,0.5,0.46153846153846156,0,random,,tabicl_aware,0.2564547061920166,,0.9814814814814815,0.11745633517203305,0.9985569985569985
