dataset,task,mechanism,rate,model,auc,acc,logloss,auc_std,acc_std,logloss_std,n_fits
breast_cancer,classification,block,0.3,tabicl_aware,0.9971962616822431,0.9824561403508772,0.06059060587348196,0.003075961976905697,0.004135127375359937,0.02131369795586507,5
breast_cancer,classification,block,0.5,tabicl_aware,0.9955023364485982,0.9719298245614034,0.07417041241642383,0.0038127022905600377,0.01569170510526168,0.02909966824549112,5
breast_cancer,classification,block_shift,0.3,tabicl_aware,0.9940128504672897,0.9625730994152046,0.08812754188223118,0.003666728834547154,0.005230568368420555,0.018208420602628207,5
breast_cancer,classification,block_shift,0.5,tabicl_aware,0.9947721962616823,0.968421052631579,0.08877954903471777,0.004418886588124394,0.02667077017775761,0.03518181195992575,5
breast_cancer,classification,none,0.0,tabicl_aware,0.9965245327102803,0.9754385964912281,0.06204251665842366,0.0029844787154741275,0.015691705105261685,0.026916084493070987,5
openml:1590,classification,block,0.3,tabicl_aware,0.898911316633096,0.861111111111111,0.3161992668353727,0.014076914039146552,0.008127077132404301,0.021358533866287506,5
openml:1590,classification,block,0.5,tabicl_aware,0.8683771170813357,0.8315555555555555,0.3581014810481434,0.01007380850812242,0.008628119403696509,0.014071898127115292,5
openml:1590,classification,block_shift,0.3,tabicl_aware,0.8951239751482312,0.8517777777777777,0.3238810338578914,0.0037798144343739546,0.004621474298463416,0.005543888972122377,5
openml:1590,classification,block_shift,0.5,tabicl_aware,0.8602754688076256,0.8337777777777777,0.3670417082721083,0.025623680420299083,0.017995198262142794,0.029908300817065202,5
openml:1590,classification,none,0.0,tabicl_aware,0.9120067235949956,0.863111111111111,0.2972155147643308,0.004021373947406751,0.006450189010533369,0.006759768107295348,5
openml:31,classification,block,0.3,tabicl_aware,0.769883597883598,0.7486666666666666,0.5091384165916384,0.052516384695784596,0.03436729711675199,0.04096831282593322,5
openml:31,classification,block,0.5,tabicl_aware,0.7233121693121694,0.7233333333333334,0.5452432774723178,0.03207518078455986,0.011055415967851317,0.019891061947823994,5
openml:31,classification,block_shift,0.3,tabicl_aware,0.7703280423280423,0.752,0.5097722127927139,0.0317119393658841,0.01879716290649557,0.029580279977720662,5
openml:31,classification,block_shift,0.5,tabicl_aware,0.7275132275132276,0.7286666666666666,0.5422451689507957,0.031057840510602886,0.02180723631172817,0.020135541042405527,5
openml:31,classification,none,0.0,tabicl_aware,0.8155238095238095,0.776,0.46997340435784823,0.022894730753714912,0.015347819244295114,0.019171020247627256,5
wine,classification,block,0.3,tabicl_aware,0.9985466385466385,0.9703703703703704,0.06680122998034554,0.002988195008129537,0.02808472386685759,0.05769819471876848,5
wine,classification,block,0.5,tabicl_aware,0.9953859514970625,0.9481481481481481,0.14601318034245353,0.005760012082455547,0.024145194093343147,0.07551544050311511,5
wine,classification,block_shift,0.3,tabicl_aware,0.9954865504865504,0.9592592592592591,0.10298339273616183,0.005930364184020916,0.03312693299999686,0.07656949953908024,5
wine,classification,block_shift,0.5,tabicl_aware,0.9889164950276061,0.9444444444444444,0.176497727199599,0.023162977605226686,0.052378280087892415,0.16965907022754492,5
wine,classification,none,0.0,tabicl_aware,1.0,0.9888888888888889,0.022686125888399973,0.0,0.010143010324169704,0.016795722176462784,5
