dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,acc,logloss,auc
breast_cancer,classification,398,30,none,0.0,0.0,0,random,,tabicl_aware,1.785033941268921,,0.9824561403508771,0.06465166668958935,0.9963492990654206
breast_cancer,classification,281,30,block,0.3,0.25061511423550087,0,source,0.0,tabicl_aware,0.5846571922302246,,0.9791666666666666,0.11008744547122877,0.9937757201646091
breast_cancer,classification,453,30,block,0.5,0.49279437609841825,0,source,2.0,tabicl_aware,0.3139359951019287,,0.9396551724137931,0.1662612620884103,0.9843899330997132
breast_cancer,classification,281,30,block_shift,0.3,0.2662565905096661,0,source,0.0,tabicl_aware,0.28195762634277344,,0.8680555555555556,0.27368286175436435,0.9836934156378601
breast_cancer,classification,453,30,block_shift,0.5,0.48728763913298184,0,source,2.0,tabicl_aware,0.4196207523345947,,0.9051724137931034,0.21023508870231628,0.9745141764893278
breast_cancer,classification,398,30,none,0.0,0.0,1,random,,tabicl_aware,0.47795724868774414,,0.9649122807017544,0.08822562239079247,0.9926985981308412
breast_cancer,classification,373,30,block,0.3,0.2886350322202695,1,source,0.0,tabicl_aware,0.35895776748657227,,0.9693877551020408,0.10256286117466042,0.9896929824561403
breast_cancer,classification,366,30,block,0.5,0.47855887521968365,1,source,0.0,tabicl_aware,0.36020731925964355,,0.9359605911330049,0.18422786534463553,0.9932730923694779
breast_cancer,classification,373,30,block_shift,0.3,0.3,1,source,0.0,tabicl_aware,0.304304838180542,,0.9438775510204082,0.18052130013209083,0.9793859649122807
breast_cancer,classification,366,30,block_shift,0.5,0.44499121265377856,1,source,0.0,tabicl_aware,0.49872469902038574,,0.8226600985221675,0.3305828806620095,0.9789156626506025
breast_cancer,classification,398,30,none,0.0,0.0,2,random,,tabicl_aware,0.3823847770690918,,0.9766081871345029,0.04404847503730757,0.9986857476635514
breast_cancer,classification,289,30,block,0.3,0.26719390743995314,2,source,1.0,tabicl_aware,0.2953827381134033,,0.9428571428571428,0.13994302177706186,0.9885874246339363
breast_cancer,classification,395,30,block,0.5,0.4555360281195079,2,source,2.0,tabicl_aware,0.34253573417663574,,0.9367816091954023,0.1796000322979783,0.9904601571268238
breast_cancer,classification,289,30,block_shift,0.3,0.2338605741066198,2,source,1.0,tabicl_aware,0.47075986862182617,,0.95,0.1375452345173475,0.9919788975021533
breast_cancer,classification,395,30,block_shift,0.5,0.46397188049209137,2,source,2.0,tabicl_aware,0.35645127296447754,,0.8390804597701149,0.39589234847699234,0.9880751964085297
breast_cancer,classification,398,30,none,0.0,0.0,3,random,,tabicl_aware,0.29927754402160645,,0.9590643274853801,0.08625681919486818,0.9956191588785047
