dataset,task,mechanism,rate,model,auc,acc,logloss,auc_std,acc_std,logloss_std,n_fits
breast_cancer,classification,block,0.3,tabicl_aware,0.9889742973167465,0.9584520660115897,0.1264122742344687,0.005901078947159591,0.019952628274478523,0.030717309733853896,5
breast_cancer,classification,block,0.5,tabicl_aware,0.9886672773410915,0.9416418677108332,0.16039317721200158,0.006999915355049201,0.013960414576659204,0.04212433407786088,5
breast_cancer,classification,block_shift,0.3,tabicl_aware,0.9845875688723623,0.9244159423028471,0.19189755035498518,0.004766672507677555,0.033197240816384324,0.052599568340156395,5
breast_cancer,classification,block_shift,0.5,tabicl_aware,0.9826813754896471,0.8727415687760516,0.27871156992677565,0.009816330227974276,0.04308370776750356,0.0812791913980377,5
breast_cancer,classification,none,0.0,tabicl_aware,0.9966705607476636,0.9754385964912281,0.062048623616930046,0.00283422326349511,0.013961796943056506,0.026581100151646005,5
openml:1590,classification,block,0.3,tabicl_aware,0.8691504826680635,0.8191797959251318,0.40131469041004275,0.02506352922228253,0.02673359975294923,0.08896430875744184,5
openml:1590,classification,block,0.5,tabicl_aware,0.844549194096059,0.8203118144494705,0.3794303848701671,0.03270486020314266,0.029141093573284132,0.03979340472719437,5
openml:1590,classification,block_shift,0.3,tabicl_aware,0.8490293334676787,0.7626142310016422,0.5065275553057014,0.0473569821161341,0.13649978177250574,0.27956837130196194,5
openml:1590,classification,block_shift,0.5,tabicl_aware,0.8103959598870529,0.7945695575719582,0.4267457231368376,0.04376152877804432,0.0545067224939948,0.055484864171232356,5
openml:1590,classification,none,0.0,tabicl_aware,0.911453516411813,0.8620000000000001,0.29818565447315626,0.0037561895982292505,0.006731169435938232,0.006417449328418313,5
openml:31,classification,block,0.3,tabicl_aware,0.7273568820514374,0.7332005861668262,0.5387314050863343,0.04269273178886319,0.008955879955401699,0.008831320540704391,5
openml:31,classification,block,0.5,tabicl_aware,0.7028098585683912,0.6892482951211883,0.5841623980973769,0.0810831967688699,0.04102070279631385,0.019439861200335078,5
openml:31,classification,block_shift,0.3,tabicl_aware,0.7028694911404,0.709558571216445,0.5505465718439677,0.06662787852717013,0.028522102839030138,0.03423068790573284,5
openml:31,classification,block_shift,0.5,tabicl_aware,0.6817694718707841,0.6972327061589899,0.5864407405800326,0.08992706897209829,0.014367148147890491,0.02045698242021867,5
openml:31,classification,none,0.0,tabicl_aware,0.8184232804232805,0.7793333333333333,0.4673576509458,0.024224583296272785,0.018165902124584927,0.019918428912865712,5
wine,classification,block,0.3,tabicl_aware,0.9937952388762467,0.9240009974213009,0.21216951680076762,0.0073169140656677,0.06292467530795723,0.17207057774377582,5
wine,classification,block,0.5,tabicl_aware,0.9922257723627927,0.9091889663123798,0.18603935719009002,0.00715530643537131,0.02468818869922678,0.052867863551027364,5
wine,classification,block_shift,0.3,tabicl_aware,0.9888822058247454,0.8747706539191359,0.2653834621875248,0.00859970211453665,0.034899616043501024,0.06253027539766902,5
wine,classification,block_shift,0.5,tabicl_aware,0.9293352193950103,0.758793425767589,0.6314223054634716,0.056207923507990615,0.05678927511919666,0.27934195956466173,5
wine,classification,none,0.0,tabicl_aware,1.0,0.9888888888888889,0.02208842442846384,0.0,0.010143010324169704,0.015931299349269085,5
