dataset,task,mechanism,rate,model,auc,acc,logloss,auc_std,acc_std,logloss_std,n_fits
breast_cancer,classification,block,0.3,tabicl_aware,0.9972546728971963,0.9824561403508772,0.0599522708012574,0.003037593787629932,0.004135127375359937,0.019677375355310042,5
breast_cancer,classification,block,0.5,tabicl_aware,0.9951226635514019,0.9730994152046784,0.07518320416741082,0.0041963691692101,0.016847789813904036,0.027761330570703596,5
breast_cancer,classification,block_shift,0.3,tabicl_aware,0.9941296728971963,0.9660818713450292,0.08860766547117474,0.0035909241572872758,0.010461136736841119,0.019486834613577062,5
breast_cancer,classification,block_shift,0.5,tabicl_aware,0.9945093457943924,0.9707602339181287,0.08893309898131461,0.004768435943433043,0.02549063709672912,0.036827100999422165,5
breast_cancer,classification,none,0.0,tabicl_aware,0.9966705607476636,0.9754385964912281,0.06204862008919987,0.00283422326349511,0.013961796943056506,0.0265810943075368,5
openml:1590,classification,block,0.3,tabicl_aware,0.8988254985957049,0.8586666666666666,0.3166492636012019,0.014193232939425413,0.009074451995153486,0.0213371458024214,5
openml:1590,classification,block,0.5,tabicl_aware,0.8667047292121761,0.8328888888888889,0.3598574475752327,0.008791140896170588,0.007353507603455257,0.01299067790950588,5
openml:1590,classification,block_shift,0.3,tabicl_aware,0.8951353229878862,0.8528888888888888,0.3238088033645022,0.004045259038853998,0.0042017045335975495,0.005763686579770524,5
openml:1590,classification,block_shift,0.5,tabicl_aware,0.8593314703963232,0.8331111111111111,0.36799699886972065,0.026396826606500307,0.0183148054525685,0.030914902938129714,5
openml:1590,classification,none,0.0,tabicl_aware,0.911453516411813,0.8620000000000001,0.29818565447315626,0.0037561895982292505,0.006731169435938232,0.006417449328418313,5
openml:31,classification,block,0.3,tabicl_aware,0.7707830687830688,0.7473333333333333,0.5087355586330411,0.053746515111933624,0.03491258926073642,0.0425803888455994,5
openml:31,classification,block,0.5,tabicl_aware,0.7215132275132274,0.7226666666666667,0.5461527822387098,0.03465973162280282,0.01402378931197513,0.021764221527724482,5
openml:31,classification,block_shift,0.3,tabicl_aware,0.7721164021164022,0.752,0.5086158148513642,0.03304782404590745,0.014259499757471622,0.030687740329819305,5
openml:31,classification,block_shift,0.5,tabicl_aware,0.7264867724867725,0.734,0.5422212185380936,0.03270073706229829,0.024540216425741286,0.019841393445009632,5
openml:31,classification,none,0.0,tabicl_aware,0.8184232804232805,0.7793333333333333,0.4673576520286156,0.024224583296272785,0.018165902124584927,0.019918426273943763,5
wine,classification,block,0.3,tabicl_aware,0.9985466385466385,0.9740740740740741,0.06633632975165929,0.002988195008129537,0.024845199749997667,0.0592689811511538,5
wine,classification,block,0.5,tabicl_aware,0.9964930337152559,0.9481481481481481,0.136768784435068,0.0043688776424486995,0.024145194093343147,0.06099893836141235,5
wine,classification,block_shift,0.3,tabicl_aware,0.9955827505827506,0.9666666666666666,0.10095689607530345,0.0059520704711440485,0.03562108159568766,0.07690842851160228,5
wine,classification,block_shift,0.5,tabicl_aware,0.9884442923331813,0.9407407407407409,0.17641856018896768,0.022592165914416474,0.04969039949999533,0.17398914866319504,5
wine,classification,none,0.0,tabicl_aware,1.0,0.9888888888888889,0.02208843073382461,0.0,0.010143010324169704,0.0159313078600086,5
