dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,acc,logloss,auc
breast_cancer,classification,398,30,none,0.0,0.0,0,random,,tabicl_aware,1.6678028106689453,,0.9883040935672515,0.06542786510673657,0.9957651869158879
breast_cancer,classification,281,30,block,0.3,0.25061511423550087,0,source,0.0,tabicl_aware,0.37093234062194824,,0.9791666666666666,0.10920366513565866,0.9940329218106996
breast_cancer,classification,453,30,block,0.5,0.49279437609841825,0,source,2.0,tabicl_aware,0.3225290775299072,,0.9396551724137931,0.15975112644583483,0.9856642242752469
breast_cancer,classification,281,30,block_shift,0.3,0.2662565905096661,0,source,0.0,tabicl_aware,0.27929043769836426,,0.8680555555555556,0.2691665487849513,0.9840020576131687
breast_cancer,classification,453,30,block_shift,0.5,0.48728763913298184,0,source,2.0,tabicl_aware,0.2956357002258301,,0.9137931034482759,0.20829333846116446,0.9757884676648614
breast_cancer,classification,398,30,none,0.0,0.0,1,random,,tabicl_aware,0.3356363773345947,,0.9649122807017544,0.0878512427440136,0.9931366822429907
breast_cancer,classification,373,30,block,0.3,0.2886350322202695,1,source,0.0,tabicl_aware,0.290116548538208,,0.9693877551020408,0.10279305638475286,0.9899122807017544
breast_cancer,classification,366,30,block,0.5,0.47855887521968365,1,source,0.0,tabicl_aware,0.2999105453491211,,0.9408866995073891,0.18395453331058606,0.9926706827309237
breast_cancer,classification,373,30,block_shift,0.3,0.3,1,source,0.0,tabicl_aware,0.29877185821533203,,0.9438775510204082,0.17795093232048767,0.9785087719298246
breast_cancer,classification,366,30,block_shift,0.5,0.44499121265377856,1,source,0.0,tabicl_aware,0.28848862648010254,,0.8374384236453202,0.3119056523458562,0.9795180722891567
breast_cancer,classification,398,30,none,0.0,0.0,2,random,,tabicl_aware,0.2923760414123535,,0.9707602339181286,0.04379573630206084,0.9986857476635514
breast_cancer,classification,289,30,block,0.3,0.26719390743995314,2,source,1.0,tabicl_aware,0.2814624309539795,,0.9428571428571428,0.1400934945221372,0.9893949181739878
breast_cancer,classification,395,30,block,0.5,0.4555360281195079,2,source,2.0,tabicl_aware,0.28934264183044434,,0.9367816091954023,0.18334862414237266,0.9891975308641976
breast_cancer,classification,289,30,block_shift,0.3,0.2338605741066198,2,source,1.0,tabicl_aware,0.28223466873168945,,0.95,0.13659252468446068,0.991763565891473
breast_cancer,classification,395,30,block_shift,0.5,0.46397188049209137,2,source,2.0,tabicl_aware,0.29569411277770996,,0.8218390804597702,0.42991810713205536,0.9880751964085297
breast_cancer,classification,398,30,none,0.0,0.0,3,random,,tabicl_aware,0.29989171028137207,,0.9590643274853801,0.08449417059683341,0.9953271028037383
breast_cancer,classification,407,30,block,0.3,0.29086115992970124,3,source,3.0,tabicl_aware,0.3046121597290039,,0.9320987654320988,0.17366101160209782,0.9792524005486969
breast_cancer,classification,369,30,block,0.5,0.4561218512009373,3,source,2.0,tabicl_aware,0.3124210834503174,,0.935,0.18384274344003604,0.9777800744109135
breast_cancer,classification,407,30,block_shift,0.3,0.3,3,source,3.0,tabicl_aware,0.40161585807800293,,0.9382716049382716,0.16232147440735722,0.9819958847736625
breast_cancer,classification,369,30,block_shift,0.5,0.4666666666666667,3,source,2.0,tabicl_aware,0.3157026767730713,,0.93,0.213745308123513,0.9746796196775527
breast_cancer,classification,398,30,none,0.0,0.0,4,random,,tabicl_aware,0.3251042366027832,,0.9941520467836257,0.02753566361120922,1.0
breast_cancer,classification,377,30,block,0.3,0.3,4,source,0.0,tabicl_aware,0.30125975608825684,,0.96875,0.1041407812895123,0.9934500282326368
breast_cancer,classification,452,30,block,0.5,0.49420035149384883,4,source,2.0,tabicl_aware,0.31079721450805664,,0.9658119658119658,0.08729250066957972,0.9962962962962963
breast_cancer,classification,377,30,block_shift,0.3,0.28886936145284126,4,source,0.0,tabicl_aware,0.31529998779296875,,0.921875,0.2128262929221467,0.9861095426312817
breast_cancer,classification,452,30,block_shift,0.5,0.4884007029876977,4,source,2.0,tabicl_aware,0.3003690242767334,,0.8632478632478633,0.2548303984100624,0.9972222222222221
wine,classification,124,13,none,0.0,0.0,0,random,,tabicl_aware,0.26523876190185547,,1.0,0.0055991329195702955,1.0
wine,classification,82,13,block,0.3,0.23076923076923078,0,source,0.0,tabicl_aware,0.2708461284637451,,0.9791666666666666,0.0673208702317559,0.9993623640176642
wine,classification,131,13,block,0.5,0.46153846153846156,0,source,2.0,tabicl_aware,0.2699565887451172,,0.9361702127659575,0.1064237268153421,1.0
wine,classification,82,13,block_shift,0.3,0.2722558340535869,0,source,0.0,tabicl_aware,0.2671785354614258,,0.90625,0.1835736497314723,0.9932989626743535
wine,classification,131,13,block_shift,0.5,0.46153846153846156,0,source,2.0,tabicl_aware,0.265702486038208,,0.7659574468085106,0.37929678352961854,0.9612054612054611
wine,classification,124,13,none,0.0,0.0,1,random,,tabicl_aware,0.26409435272216797,,0.9814814814814815,0.03133502932721654,1.0
