dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,acc,logloss,auc
breast_cancer,classification,398,30,none,0.0,0.0,0,random,,tabicl_aware,1.6583151817321777,,0.9883040935672515,0.06542785650489664,0.9957651869158879
breast_cancer,classification,398,30,block,0.3,0.25061511423550087,0,random,,tabicl_aware,0.3810298442840576,,0.9824561403508771,0.09127258608969856,0.9929906542056075
breast_cancer,classification,398,30,block,0.5,0.4859988283538371,0,random,,tabicl_aware,0.3243582248687744,,0.9649122807017544,0.10514715970330833,0.9891939252336448
breast_cancer,classification,398,30,block_shift,0.3,0.283128295254833,0,random,,tabicl_aware,0.2947812080383301,,0.9532163742690059,0.11217538276637426,0.9896320093457944
breast_cancer,classification,398,30,block_shift,0.5,0.49279437609841825,0,random,,tabicl_aware,0.29332995414733887,,0.9532163742690059,0.12698119862060786,0.9902161214953271
breast_cancer,classification,398,30,none,0.0,0.0,1,random,,tabicl_aware,0.3343353271484375,,0.9649122807017544,0.08785123530389599,0.9931366822429907
breast_cancer,classification,398,30,block,0.3,0.2886350322202695,1,random,,tabicl_aware,0.2988770008087158,,0.9766081871345029,0.07272289276485662,0.9953271028037383
breast_cancer,classification,398,30,block,0.5,0.4677211482132396,1,random,,tabicl_aware,0.295330286026001,,0.9473684210526315,0.10299050679847563,0.9919684579439252
breast_cancer,classification,398,30,block_shift,0.3,0.2895137668424136,1,random,,tabicl_aware,0.2943737506866455,,0.9590643274853801,0.10546795322761783,0.9910922897196262
breast_cancer,classification,398,30,block_shift,0.5,0.4545401288810779,1,random,,tabicl_aware,0.29357171058654785,,0.9532163742690059,0.11724517625122197,0.9906542056074766
breast_cancer,classification,398,30,none,0.0,0.0,2,random,,tabicl_aware,0.2947533130645752,,0.9707602339181286,0.04379573870638808,0.9986857476635514
breast_cancer,classification,398,30,block,0.3,0.26719390743995314,2,random,,tabicl_aware,0.29845547676086426,,0.9883040935672515,0.046729692019942384,0.9994158878504673
breast_cancer,classification,398,30,block,0.5,0.4555360281195079,2,random,,tabicl_aware,0.2990732192993164,,0.9824561403508771,0.04115742358610956,0.9994158878504673
breast_cancer,classification,398,30,block_shift,0.3,0.21745752782659636,2,random,,tabicl_aware,0.30113863945007324,,0.9707602339181286,0.06931834436686031,0.9973714953271028
breast_cancer,classification,398,30,block_shift,0.5,0.47685998828353837,2,random,,tabicl_aware,0.29953765869140625,,1.0,0.049630100834255675,1.0
breast_cancer,classification,398,30,none,0.0,0.0,3,random,,tabicl_aware,0.29933857917785645,,0.9590643274853801,0.08449413991299282,0.9953271028037383
breast_cancer,classification,398,30,block,0.3,0.3,3,random,,tabicl_aware,0.30269598960876465,,0.9824561403508771,0.04260660806744287,0.9998539719626168
breast_cancer,classification,398,30,block,0.5,0.4678968951376684,3,random,,tabicl_aware,0.3003995418548584,,0.9766081871345029,0.062297094295989404,0.997517523364486
breast_cancer,classification,398,30,block_shift,0.3,0.3,3,random,,tabicl_aware,0.33922791481018066,,0.9766081871345029,0.07952487396702651,0.9956191588785047
breast_cancer,classification,398,30,block_shift,0.5,0.4450497949619215,3,random,,tabicl_aware,0.2938721179962158,,0.9707602339181286,0.09027049866818954,0.9941588785046729
breast_cancer,classification,398,30,none,0.0,0.0,4,random,,tabicl_aware,0.302044153213501,,0.9941520467836257,0.02753565366804639,1.0
breast_cancer,classification,398,30,block,0.3,0.28904510837727004,4,random,,tabicl_aware,0.2996199131011963,,0.9824561403508771,0.0507214699350857,0.998393691588785
breast_cancer,classification,398,30,block,0.5,0.5,4,random,,tabicl_aware,0.31768083572387695,,0.9824561403508771,0.06772395648028835,0.9972254672897196
breast_cancer,classification,398,30,block_shift,0.3,0.3,4,random,,tabicl_aware,0.2956397533416748,,0.9590643274853801,0.07661837541377194,0.9969334112149533
breast_cancer,classification,398,30,block_shift,0.5,0.48734622144112477,4,random,,tabicl_aware,0.3000664710998535,,0.9883040935672515,0.05498548279154682,0.9989778037383178
wine,classification,124,13,none,0.0,0.0,0,random,,tabicl_aware,0.26523280143737793,,1.0,0.0055991329195702955,1.0
wine,classification,124,13,block,0.3,0.2662057044079516,0,random,,tabicl_aware,0.2668876647949219,,1.0,0.013271944431903278,1.0
wine,classification,124,13,block,0.5,0.44857389801210024,0,random,,tabicl_aware,0.2568824291229248,,0.9444444444444444,0.1407270145427584,0.9944091916314138
wine,classification,124,13,block_shift,0.3,0.2662057044079516,0,random,,tabicl_aware,0.2681002616882324,,1.0,0.023584631256024995,1.0
wine,classification,124,13,block_shift,0.5,0.46153846153846156,0,random,,tabicl_aware,0.25548410415649414,,0.9814814814814815,0.11444111950148939,0.9990379990379991
wine,classification,124,13,none,0.0,0.0,1,random,,tabicl_aware,0.2539083957672119,,0.9814814814814815,0.03133503748231692,1.0
wine,classification,124,13,block,0.3,0.287381158167675,1,random,,tabicl_aware,0.2548806667327881,,0.9629629629629629,0.06981073534808205,0.9995189995189996
wine,classification,124,13,block,0.5,0.4373379429559205,1,random,,tabicl_aware,0.298656702041626,,0.9629629629629629,0.081876434112227,1.0
wine,classification,124,13,block_shift,0.3,0.27787381158167673,1,random,,tabicl_aware,0.2537658214569092,,0.9074074074074074,0.22305954053120888,0.9850477711588823
wine,classification,124,13,block_shift,0.5,0.4131374243733794,1,random,,tabicl_aware,0.2519402503967285,,0.9814814814814815,0.0898801209599949,0.998523595745818
wine,classification,124,13,none,0.0,0.0,2,random,,tabicl_aware,0.25064730644226074,,0.9814814814814815,0.04506806586989769,1.0
wine,classification,124,13,block,0.3,0.23076923076923078,2,random,,tabicl_aware,0.25208258628845215,,0.9444444444444444,0.09006073285664684,1.0
wine,classification,124,13,block,0.5,0.43215211754537597,2,random,,tabicl_aware,0.2523517608642578,,0.9259259259259259,0.2285548310307529,0.9885369774258663
wine,classification,124,13,block_shift,0.3,0.27095937770095074,2,random,,tabicl_aware,0.25305747985839844,,0.9814814814814815,0.10909880480078471,0.9955373844262733
wine,classification,124,13,block_shift,0.5,0.43215211754537597,2,random,,tabicl_aware,0.253359317779541,,0.8703703703703703,0.4944266564078177,0.9414186636408859
wine,classification,124,13,none,0.0,0.0,3,random,,tabicl_aware,0.24982285499572754,,1.0,0.006052893940407868,1.0
wine,classification,124,13,block,0.3,0.3076923076923077,3,random,,tabicl_aware,0.2510855197906494,,1.0,0.013580600715357542,1.0
wine,classification,124,13,block,0.5,0.46153846153846156,3,random,,tabicl_aware,0.25360655784606934,,0.9814814814814815,0.07316166318940527,1.0
wine,classification,124,13,block_shift,0.3,0.3076923076923077,3,random,,tabicl_aware,0.2532052993774414,,0.9814814814814815,0.05157237168866548,0.9995189995189996
wine,classification,124,13,block_shift,0.5,0.43604148660328435,3,random,,tabicl_aware,0.25229787826538086,,0.9814814814814815,0.04728766287271217,1.0
wine,classification,124,13,none,0.0,0.0,4,random,,tabicl_aware,0.29357481002807617,,0.9814814814814815,0.02726764038102308,1.0
wine,classification,124,13,block,0.3,0.3076923076923077,4,random,,tabicl_aware,0.2530379295349121,,0.9444444444444444,0.15379805088019274,0.9932141932141931
wine,classification,124,13,block,0.5,0.46153846153846156,4,random,,tabicl_aware,0.25234150886535645,,0.9444444444444444,0.1822701109142138,0.9964553964553965
wine,classification,124,13,block_shift,0.3,0.28003457216940364,4,random,,tabicl_aware,0.25279974937438965,,0.9629629629629629,0.11539623968018535,0.9968475968475968
wine,classification,124,13,block_shift,0.5,0.46153846153846156,4,random,,tabicl_aware,0.25197744369506836,,0.9074074074074074,0.15214586407806563,0.9965327881994549
openml:31,classification,700,20,none,0.0,0.0,0,random,,tabicl_aware,0.2973058223724365,,0.7866666666666666,0.44819022047062496,0.841058201058201
openml:31,classification,700,20,block,0.3,0.27515,0,random,,tabicl_aware,0.3031284809112549,,0.7766666666666666,0.4697205707101248,0.8167195767195768
openml:31,classification,700,20,block,0.5,0.5,0,random,,tabicl_aware,0.29859137535095215,,0.7266666666666667,0.5605778433934654,0.6943386243386244
openml:31,classification,700,20,block_shift,0.3,0.27515,0,random,,tabicl_aware,0.2984580993652344,,0.76,0.5167715367782073,0.7628571428571428
openml:31,classification,700,20,block_shift,0.5,0.48935,0,random,,tabicl_aware,0.3005795478820801,,0.7,0.5604757341254032,0.6974603174603174
openml:31,classification,700,20,none,0.0,0.0,1,random,,tabicl_aware,0.296309232711792,,0.77,0.4621776212248116,0.8259788359788361
openml:31,classification,700,20,block,0.3,0.2832,1,random,,tabicl_aware,0.2980504035949707,,0.7533333333333333,0.4949865524375512,0.7902645502645502
openml:31,classification,700,20,block,0.5,0.4316,1,random,,tabicl_aware,0.2999866008758545,,0.7266666666666667,0.513605543716158,0.7698941798941799
openml:31,classification,700,20,block_shift,0.3,0.3,1,random,,tabicl_aware,0.3427770137786865,,0.7366666666666667,0.5185704532135688,0.7675132275132275
openml:31,classification,700,20,block_shift,0.5,0.434,1,random,,tabicl_aware,0.29761433601379395,,0.7266666666666667,0.52897590577863,0.7582010582010582
openml:31,classification,700,20,none,0.0,0.0,2,random,,tabicl_aware,0.29753684997558594,,0.79,0.45775061704612047,0.8271428571428571
openml:31,classification,700,20,block,0.3,0.2746,2,random,,tabicl_aware,0.2983548641204834,,0.7866666666666666,0.4695510553918797,0.8203703703703703
openml:31,classification,700,20,block,0.5,0.45015,2,random,,tabicl_aware,0.2980687618255615,,0.7266666666666667,0.5470964578701837,0.7171428571428571
openml:31,classification,700,20,block_shift,0.3,0.3,2,random,,tabicl_aware,0.3000648021697998,,0.7533333333333333,0.5085669072712335,0.7734391534391534
openml:31,classification,700,20,block_shift,0.5,0.48355,2,random,,tabicl_aware,0.2988886833190918,,0.7733333333333333,0.5279639539922095,0.7429629629629629
openml:31,classification,700,20,none,0.0,0.0,3,random,,tabicl_aware,0.2972221374511719,,0.7833333333333333,0.5004861607101838,0.7790476190476191
openml:31,classification,700,20,block,0.3,0.3,3,random,,tabicl_aware,0.30127453804016113,,0.72,0.5631429057476548,0.7053968253968254
openml:31,classification,700,20,block,0.5,0.467,3,random,,tabicl_aware,0.29776430130004883,,0.7333333333333333,0.5688639462750008,0.6872486772486772
openml:31,classification,700,20,block_shift,0.3,0.3,3,random,,tabicl_aware,0.2987971305847168,,0.73,0.5383473459538763,0.7356084656084657
openml:31,classification,700,20,block_shift,0.5,0.4844,3,random,,tabicl_aware,0.2965092658996582,,0.73,0.5670689093125143,0.687037037037037
openml:31,classification,700,20,none,0.0,0.0,4,random,,tabicl_aware,0.29670143127441406,,0.7566666666666667,0.46878764904612014,0.815132275132275
openml:31,classification,700,20,block,0.3,0.3,4,random,,tabicl_aware,0.3442568778991699,,0.7,0.5428525132172018,0.7250793650793652
openml:31,classification,700,20,block,0.5,0.5,4,random,,tabicl_aware,0.3033747673034668,,0.73,0.5360913833461598,0.7475661375661375
openml:31,classification,700,20,block_shift,0.3,0.2841,4,random,,tabicl_aware,0.30519986152648926,,0.77,0.45659833665175426,0.8251322751322752
openml:31,classification,700,20,block_shift,0.5,0.4896,4,random,,tabicl_aware,0.3031890392303467,,0.73,0.5283445566987411,0.7406878306878306
openml:1590,classification,2100,14,none,0.0,0.0,0,random,,tabicl_aware,0.3847978115081787,,0.8555555555555555,0.30445025487870947,0.9077988028029164
openml:1590,classification,2100,14,block,0.3,0.216,0,random,,tabicl_aware,0.4018740653991699,,0.8633333333333333,0.3122069929635336,0.9033625067377798
openml:1590,classification,2100,14,block,0.5,0.5,0,random,,tabicl_aware,0.33205723762512207,,0.8344444444444444,0.37302859443427355,0.8577264603251155
openml:1590,classification,2100,14,block_shift,0.3,0.24914285714285714,0,random,,tabicl_aware,0.3279571533203125,,0.8522222222222222,0.3248522390312841,0.8961566285568385
openml:1590,classification,2100,14,block_shift,0.5,0.5,0,random,,tabicl_aware,0.3274257183074951,,0.8022222222222222,0.41908731721347764,0.8163564923827628
openml:1590,classification,2100,14,none,0.0,0.0,1,random,,tabicl_aware,0.32277607917785645,,0.8722222222222222,0.296820892028995,0.9113662798944651
openml:1590,classification,2100,14,block,0.3,0.2857142857142857,1,random,,tabicl_aware,0.3299384117126465,,0.8555555555555555,0.3083451956392041,0.9029511475502852
openml:1590,classification,2100,14,block,0.5,0.4756190476190476,1,random,,tabicl_aware,0.3260369300842285,,0.8433333333333334,0.3439936729954883,0.8760638599676588
openml:1590,classification,2100,14,block_shift,0.3,0.2618333333333333,1,random,,tabicl_aware,0.31853580474853516,,0.8566666666666667,0.32590259058683924,0.8923480098726204
openml:1590,classification,2100,14,block_shift,0.5,0.4756190476190476,1,random,,tabicl_aware,0.36811089515686035,,0.8422222222222222,0.3434293040982143,0.878645493489177
