dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,acc,logloss,auc
breast_cancer,classification,398,30,none,0.0,0.0,0,random,,tabicl_aware,1.748553991317749,,0.9824561403508771,0.0656573016079068,0.9959112149532711
breast_cancer,classification,281,30,block,0.3,0.25061511423550087,0,source,0.0,tabicl_aware,0.3712737560272217,,0.9791666666666666,0.11467444546374682,0.9941358024691358
breast_cancer,classification,453,30,block,0.5,0.49279437609841825,0,source,2.0,tabicl_aware,0.2977766990661621,,0.9482758620689655,0.1586479587440694,0.9859827970691303
breast_cancer,classification,281,30,block_shift,0.3,0.2662565905096661,0,source,0.0,tabicl_aware,0.2788197994232178,,0.8680555555555556,0.2757446587349197,0.9839506172839506
breast_cancer,classification,453,30,block_shift,0.5,0.48728763913298184,0,source,2.0,tabicl_aware,0.2942471504211426,,0.9224137931034483,0.2085001083592787,0.9764256132526282
breast_cancer,classification,398,30,none,0.0,0.0,1,random,,tabicl_aware,0.33418798446655273,,0.9649122807017544,0.08805056184772665,0.9926985981308412
breast_cancer,classification,373,30,block,0.3,0.2886350322202695,1,source,0.0,tabicl_aware,0.2921576499938965,,0.9642857142857143,0.10250399580143088,0.9900219298245614
breast_cancer,classification,366,30,block,0.5,0.47855887521968365,1,source,0.0,tabicl_aware,0.29118943214416504,,0.9408866995073891,0.18483518402747273,0.9929718875502008
breast_cancer,classification,373,30,block_shift,0.3,0.3,1,source,0.0,tabicl_aware,0.2899777889251709,,0.9489795918367347,0.17543568656101619,0.9800438596491228
breast_cancer,classification,366,30,block_shift,0.5,0.44499121265377856,1,source,0.0,tabicl_aware,0.2884252071380615,,0.8275862068965517,0.32581815375700807,0.9791164658634539
breast_cancer,classification,398,30,none,0.0,0.0,2,random,,tabicl_aware,0.29261088371276855,,0.9824561403508771,0.040529513917863115,0.999123831775701
breast_cancer,classification,289,30,block,0.3,0.26719390743995314,2,source,1.0,tabicl_aware,0.28392934799194336,,0.9428571428571428,0.14194512216159247,0.9890180878552972
breast_cancer,classification,395,30,block,0.5,0.4555360281195079,2,source,2.0,tabicl_aware,0.2888040542602539,,0.9367816091954023,0.194518763386235,0.9890572390572391
breast_cancer,classification,289,30,block_shift,0.3,0.2338605741066198,2,source,1.0,tabicl_aware,0.28189706802368164,,0.9535714285714286,0.1325502621260941,0.9919788975021533
breast_cancer,classification,395,30,block_shift,0.5,0.46397188049209137,2,source,2.0,tabicl_aware,0.2893707752227783,,0.8390804597701149,0.3877267397873512,0.9877946127946128
