dataset,task,mechanism,rate,model,auc,acc,logloss,auc_std,acc_std,logloss_std,n_fits
breast_cancer,classification,block,0.3,tabicl_aware,0.9888678365877531,0.95619708994709,0.12987206965271786,0.006404920099631946,0.021476151940717655,0.030858508407924763,5
breast_cancer,classification,block,0.5,tabicl_aware,0.9884176588767559,0.9443512273167446,0.16162148406557147,0.00711178150142499,0.013704249812013037,0.045500543908787924,5
breast_cancer,classification,block_shift,0.3,tabicl_aware,0.9848835186966621,0.9261506361803982,0.18942302855574822,0.004621257475009819,0.03468896947479995,0.05479679520360888,5
breast_cancer,classification,block_shift,0.5,tabicl_aware,0.9829650279692043,0.8741750663129974,0.27566339184639405,0.009484685199863284,0.04188740619837629,0.07770180750283011,5
breast_cancer,classification,none,0.0,tabicl_aware,0.996553738317757,0.9766081871345029,0.06192291725554196,0.0030026432622604986,0.01432450141978466,0.027339670332212736,5
openml:1590,classification,block,0.3,tabicl_aware,0.8681066524721628,0.8211525704080394,0.40421993480039936,0.025498032859221278,0.028037148142958084,0.09408506530174017,5
openml:1590,classification,block,0.5,tabicl_aware,0.8454297573886393,0.8177265681503716,0.3795141239419026,0.03306690118738502,0.030408520859291063,0.0405183095154955,5
openml:1590,classification,block_shift,0.3,tabicl_aware,0.8492424711273646,0.7629980226908153,0.5003081861958059,0.048243872363921775,0.1346515598688193,0.2675186501988152,5
openml:1590,classification,block_shift,0.5,tabicl_aware,0.8095800258379248,0.7944228393013479,0.42404825309007627,0.04327125707325878,0.053213772965289376,0.05127610074740029,5
openml:1590,classification,none,0.0,tabicl_aware,0.911915231637777,0.8635555555555555,0.29720470338757565,0.0033722304414448836,0.005847865496418115,0.005878201026371124,5
openml:31,classification,block,0.3,tabicl_aware,0.7260863724241478,0.730246046612863,0.5392702289537568,0.04279674327612886,0.007532938702233361,0.009495051780433734,5
openml:31,classification,block,0.5,tabicl_aware,0.7019082102067957,0.6900651530018878,0.5836457208991106,0.08013453061638853,0.0433030311214004,0.018881299180721886,5
openml:31,classification,block_shift,0.3,tabicl_aware,0.7005042543508392,0.7079310834310558,0.5528823311506503,0.06615243576549894,0.019604280861476617,0.03288352035343505,5
openml:31,classification,block_shift,0.5,tabicl_aware,0.6785392943909306,0.697014003793028,0.5864401898633214,0.08983218142523189,0.013798481430981191,0.020597116886804958,5
openml:31,classification,none,0.0,tabicl_aware,0.8165185185185185,0.7746666666666666,0.46862793234708866,0.02373351772042404,0.019235384061671322,0.019320390691458474,5
wine,classification,block,0.3,tabicl_aware,0.992990034592401,0.9202302583564442,0.22320286880126008,0.009058557692969961,0.0778362614750702,0.19212844006477275,5
wine,classification,block,0.5,tabicl_aware,0.9918246620420577,0.9176258864171105,0.183513552982338,0.007511258291654368,0.027216290336116205,0.06393203036280186,5
wine,classification,block_shift,0.3,tabicl_aware,0.9893368041802741,0.8763392813701163,0.27298697105103625,0.008943273188084562,0.03890718671997697,0.06490302149780881,5
wine,classification,block_shift,0.5,tabicl_aware,0.9239325016414393,0.7555676193159762,0.6586397584822998,0.058167894610371015,0.06271597414033452,0.27380315254472376,5
wine,classification,none,0.0,tabicl_aware,1.0,0.9888888888888889,0.02012571677418206,0.0,0.010143010324169704,0.014753739591000035,5
