dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,acc,logloss,auc
breast_cancer,classification,398,30,none,0.0,0.0,0,random,,tabicl_aware,1.7368717193603516,,0.9824561403508771,0.0656573016079068,0.9959112149532711
breast_cancer,classification,398,30,block,0.3,0.25061511423550087,0,random,,tabicl_aware,0.39191246032714844,,0.9824561403508771,0.09112802765687643,0.9928446261682243
breast_cancer,classification,398,30,block,0.5,0.4859988283538371,0,random,,tabicl_aware,0.3023715019226074,,0.9649122807017544,0.10362419765431387,0.9896320093457944
breast_cancer,classification,398,30,block_shift,0.3,0.283128295254833,0,random,,tabicl_aware,0.29967212677001953,,0.9590643274853801,0.11181078584102408,0.9897780373831776
breast_cancer,classification,398,30,block_shift,0.5,0.49279437609841825,0,random,,tabicl_aware,0.2972102165222168,,0.9415204678362573,0.1317727723290214,0.9886098130841121
breast_cancer,classification,398,30,none,0.0,0.0,1,random,,tabicl_aware,0.3323690891265869,,0.9649122807017544,0.08805056184772665,0.9926985981308412
breast_cancer,classification,398,30,block,0.3,0.2886350322202695,1,random,,tabicl_aware,0.3016502857208252,,0.9766081871345029,0.07224815713550524,0.9951810747663552
breast_cancer,classification,398,30,block,0.5,0.4677211482132396,1,random,,tabicl_aware,0.29323339462280273,,0.9473684210526315,0.10299535965839775,0.9922605140186915
breast_cancer,classification,398,30,block_shift,0.3,0.2895137668424136,1,random,,tabicl_aware,0.2975022792816162,,0.9532163742690059,0.10584886292293597,0.9905081775700935
breast_cancer,classification,398,30,block_shift,0.5,0.4545401288810779,1,random,,tabicl_aware,0.2994673252105713,,0.9532163742690059,0.1187505391678149,0.9912383177570093
breast_cancer,classification,398,30,none,0.0,0.0,2,random,,tabicl_aware,0.2971968650817871,,0.9824561403508771,0.040529513917863115,0.999123831775701
breast_cancer,classification,398,30,block,0.3,0.26719390743995314,2,random,,tabicl_aware,0.29929351806640625,,0.9883040935672515,0.046541385308471094,0.9994158878504673
breast_cancer,classification,398,30,block,0.5,0.4555360281195079,2,random,,tabicl_aware,0.29805779457092285,,0.9824561403508771,0.04117240338444999,0.9992698598130841
breast_cancer,classification,398,30,block_shift,0.3,0.21745752782659636,2,random,,tabicl_aware,0.2999711036682129,,0.9707602339181286,0.0692309438175865,0.9973714953271028
breast_cancer,classification,398,30,block_shift,0.5,0.47685998828353837,2,random,,tabicl_aware,0.3030688762664795,,1.0,0.0500179894620138,1.0
breast_cancer,classification,398,30,none,0.0,0.0,3,random,,tabicl_aware,0.289078950881958,,0.9590643274853801,0.0876860571845163,0.9950350467289719
breast_cancer,classification,398,30,block,0.3,0.3,3,random,,tabicl_aware,0.2884640693664551,,0.9941520467836257,0.04110384423304707,0.9998539719626168
breast_cancer,classification,398,30,block,0.5,0.4678968951376684,3,random,,tabicl_aware,0.29205894470214844,,0.9707602339181286,0.06273919687975561,0.997517523364486
