dataset,task,mechanism,rate,model,auc,acc,logloss,auc_std,acc_std,logloss_std,n_fits
breast_cancer,classification,block,0.3,tabicl_aware,0.9971962616822431,0.9859649122807017,0.060082709978989866,0.00304985420563092,0.006667692544439421,0.02103368164670243,5
breast_cancer,classification,block,0.5,tabicl_aware,0.9951810747663551,0.9695906432748538,0.07631116112341184,0.0040521135880582865,0.014561286079518971,0.026948683388252244,5
breast_cancer,classification,block_shift,0.3,tabicl_aware,0.9940128504672897,0.9637426900584796,0.08873869702693171,0.0036110581246723535,0.009609167675529221,0.018877334939284052,5
breast_cancer,classification,block_shift,0.5,tabicl_aware,0.9944801401869159,0.9707602339181287,0.089659089702592,0.004834829320556563,0.024111728804781636,0.036163865043262244,5
breast_cancer,classification,none,0.0,tabicl_aware,0.996553738317757,0.9766081871345029,0.06192291725554196,0.0030026432622604986,0.01432450141978466,0.027339670332212736,5
openml:1590,classification,block,0.3,tabicl_aware,0.8990602570285681,0.8602222222222222,0.31607564540679667,0.01388831088130053,0.009667305215180527,0.021359770640560202,5
openml:1590,classification,block,0.5,tabicl_aware,0.8672288575562428,0.8320000000000001,0.35920962193666667,0.00951889646530048,0.009074451995153526,0.013308590208655097,5
openml:1590,classification,block_shift,0.3,tabicl_aware,0.8955133478963943,0.8539999999999999,0.3233928258856527,0.0034551295437542256,0.004554200340426468,0.004892069680699853,5
openml:1590,classification,block_shift,0.5,tabicl_aware,0.8600591506142019,0.8328888888888889,0.36727701111767763,0.025511927714456952,0.01742001119756982,0.030017762469645933,5
openml:1590,classification,none,0.0,tabicl_aware,0.911915231637777,0.8635555555555555,0.29720470338757565,0.0033722304414448836,0.005847865496418115,0.005878201026371124,5
openml:31,classification,block,0.3,tabicl_aware,0.7712380952380953,0.7453333333333333,0.5083599950460449,0.05180756936435279,0.0337967782816976,0.0409251928787186,5
openml:31,classification,block,0.5,tabicl_aware,0.7226243386243386,0.7293333333333333,0.5455177597227989,0.034183612424093374,0.007226494462892951,0.021020203669780895,5
openml:31,classification,block_shift,0.3,tabicl_aware,0.7707301587301587,0.752,0.5090347492920768,0.03150953354252705,0.02008316044185606,0.029936711930741634,5
openml:31,classification,block_shift,0.5,tabicl_aware,0.7257037037037037,0.7333333333333334,0.5423574724621867,0.032035702242825585,0.023213980461973507,0.020696397474263186,5
openml:31,classification,none,0.0,tabicl_aware,0.8165185185185185,0.7746666666666666,0.46862793234708866,0.02373351772042404,0.019235384061671322,0.019320390691458474,5
wine,classification,block,0.3,tabicl_aware,0.9986428386428386,0.9703703703703704,0.06667314073172827,0.0027736487366367755,0.02808472386685759,0.05703084936694481,5
wine,classification,block,0.5,tabicl_aware,0.9958913925580593,0.9444444444444444,0.14302498799948893,0.004616355618171401,0.026189140043946204,0.06763197463678666,5
wine,classification,block_shift,0.3,tabicl_aware,0.9954865504865504,0.9740740740740741,0.1032076125826962,0.006155599039878522,0.02808472386685759,0.07640597032659012,5
wine,classification,block_shift,0.5,tabicl_aware,0.9888113327002216,0.9444444444444444,0.17514140106907644,0.02231382225467594,0.052378280087892415,0.1730622340216421,5
wine,classification,none,0.0,tabicl_aware,1.0,0.9888888888888889,0.02012571677418206,0.0,0.010143010324169704,0.014753739591000035,5
