dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,acc,logloss,auc
breast_cancer,classification,398,30,none,0.0,0.0,0,random,,tabicl_aware,1.718865156173706,,0.9824561403508771,0.06410202661763842,0.9959112149532711
breast_cancer,classification,281,30,block,0.3,0.25061511423550087,0,source,0.0,tabicl_aware,0.3654978275299072,,0.9826388888888888,0.11402924232906453,0.9941358024691358
breast_cancer,classification,453,30,block,0.5,0.49279437609841825,0,source,2.0,tabicl_aware,0.2940804958343506,,0.9482758620689655,0.1592544307743199,0.9850270786874801
breast_cancer,classification,281,30,block_shift,0.3,0.2662565905096661,0,source,0.0,tabicl_aware,0.27688097953796387,,0.8680555555555556,0.2739708339574369,0.9837448559670782
breast_cancer,classification,453,30,block_shift,0.5,0.48728763913298184,0,source,2.0,tabicl_aware,0.29034924507141113,,0.9137931034482759,0.2095585818397085,0.9745141764893278
breast_cancer,classification,398,30,none,0.0,0.0,1,random,,tabicl_aware,0.32393407821655273,,0.9707602339181286,0.08880261924089611,0.9926985981308412
breast_cancer,classification,373,30,block,0.3,0.2886350322202695,1,source,0.0,tabicl_aware,0.2879679203033447,,0.9642857142857143,0.10149361117040956,0.9901315789473684
breast_cancer,classification,366,30,block,0.5,0.47855887521968365,1,source,0.0,tabicl_aware,0.2849271297454834,,0.9408866995073891,0.18174074622341366,0.9933734939759037
breast_cancer,classification,373,30,block_shift,0.3,0.3,1,source,0.0,tabicl_aware,0.2841835021972656,,0.9387755102040817,0.17784806009170495,0.9794956140350878
breast_cancer,classification,366,30,block_shift,0.5,0.44499121265377856,1,source,0.0,tabicl_aware,0.28133344650268555,,0.8325123152709359,0.32301856263724893,0.978413654618474
breast_cancer,classification,398,30,none,0.0,0.0,2,random,,tabicl_aware,0.28633642196655273,,0.9707602339181286,0.04478167841683463,0.9985397196261683
breast_cancer,classification,289,30,block,0.3,0.26719390743995314,2,source,1.0,tabicl_aware,0.2770214080810547,,0.9428571428571428,0.14291518817120033,0.9892872523686478
breast_cancer,classification,395,30,block,0.5,0.4555360281195079,2,source,2.0,tabicl_aware,0.28453731536865234,,0.9425287356321839,0.181770766196795,0.989337822671156
breast_cancer,classification,289,30,block_shift,0.3,0.2338605741066198,2,source,1.0,tabicl_aware,0.28073811531066895,,0.95,0.13962749760068816,0.9916559000861327
breast_cancer,classification,395,30,block_shift,0.5,0.46397188049209137,2,source,2.0,tabicl_aware,0.2897989749908447,,0.8218390804597702,0.4307798388025285,0.9876543209876543
breast_cancer,classification,398,30,none,0.0,0.0,3,random,,tabicl_aware,0.32130861282348633,,0.9590643274853801,0.08908250076650333,0.9947429906542056
breast_cancer,classification,407,30,block,0.3,0.29086115992970124,3,source,3.0,tabicl_aware,0.32189178466796875,,0.9259259259259259,0.16616939976106246,0.9797668038408779
breast_cancer,classification,369,30,block,0.5,0.4561218512009373,3,source,2.0,tabicl_aware,0.3089866638183594,,0.93,0.18527459833611032,0.9793303017775941
breast_cancer,classification,407,30,block_shift,0.3,0.3,3,source,3.0,tabicl_aware,0.34116578102111816,,0.9382716049382716,0.15605262465628306,0.9828532235939643
breast_cancer,classification,369,30,block_shift,0.5,0.4666666666666667,3,source,2.0,tabicl_aware,0.29241275787353516,,0.92,0.21662990253176206,0.9742662257131046
breast_cancer,classification,398,30,none,0.0,0.0,4,random,,tabicl_aware,0.29670119285583496,,0.9941520467836257,0.026729474630537976,1.0
breast_cancer,classification,377,30,block,0.3,0.3,4,source,0.0,tabicl_aware,0.30312490463256836,,0.96875,0.10587783422491535,0.9940146809712027
breast_cancer,classification,452,30,block,0.5,0.49420035149384883,4,source,2.0,tabicl_aware,0.3055856227874756,,0.9658119658119658,0.08695157587274771,0.9959876543209877
breast_cancer,classification,377,30,block_shift,0.3,0.28886936145284126,4,source,0.0,tabicl_aware,0.29671287536621094,,0.921875,0.21115309980714866,0.9864483342744212
breast_cancer,classification,452,30,block_shift,0.5,0.4884007029876977,4,source,2.0,tabicl_aware,0.298614501953125,,0.8803418803418803,0.23129014080148083,0.9975308641975308
wine,classification,124,13,none,0.0,0.0,0,random,,tabicl_aware,0.26445603370666504,,1.0,0.005084645994076614,1.0
wine,classification,82,13,block,0.3,0.23076923076923078,0,source,0.0,tabicl_aware,0.2665281295776367,,0.9791666666666666,0.0704179646482504,0.9993623640176642
wine,classification,131,13,block,0.5,0.46153846153846156,0,source,2.0,tabicl_aware,0.26703882217407227,,0.9574468085106383,0.10333732757906859,1.0
wine,classification,82,13,block_shift,0.3,0.2722558340535869,0,source,0.0,tabicl_aware,0.2636728286743164,,0.90625,0.17932203307156658,0.9932739296637902
