dataset,task,mechanism,rate,model,auc,acc,logloss,auc_std,acc_std,logloss_std,n_fits
breast_cancer,classification,block,0.3,tabicl_aware,0.9894672237194465,0.9568915343915343,0.12609705513133046,0.005853351569295681,0.02243911996877922,0.02760625317614605,5
breast_cancer,classification,block,0.5,tabicl_aware,0.9886112702866242,0.9455006526041009,0.15899842348067733,0.0066445560450191276,0.013140037258523132,0.041584384062779575,5
breast_cancer,classification,block_shift,0.3,tabicl_aware,0.9848395855913369,0.9233955341395819,0.19173042322265235,0.00454841495870055,0.03252100860836152,0.05320024835125736,5
breast_cancer,classification,block_shift,0.5,tabicl_aware,0.9824758484012183,0.8736972759041726,0.2822554053225458,0.010009465789916462,0.04522510870740249,0.09474984865892022,5
breast_cancer,classification,none,0.0,tabicl_aware,0.9963785046728972,0.9754385964912281,0.0626996599344821,0.002924938308073425,0.01333538508887882,0.027360069899860145,5
openml:1590,classification,block,0.3,tabicl_aware,0.8690094336634407,0.8214979439261441,0.3986557003342991,0.02455443348478116,0.027853601896891206,0.08394289820755924,5
openml:1590,classification,block,0.5,tabicl_aware,0.846030742342011,0.8193241745240973,0.378174712308182,0.0316457691568233,0.029415692398570486,0.039048514720096975,5
openml:1590,classification,block_shift,0.3,tabicl_aware,0.8491481485259271,0.7623157272546974,0.49801493143912373,0.047125313338806964,0.13285166750093108,0.2597228761792151,5
openml:1590,classification,block_shift,0.5,tabicl_aware,0.8106795172409555,0.794507521524634,0.4223047989824707,0.04275112706666086,0.05440490847317015,0.05078601506162921,5
openml:1590,classification,none,0.0,tabicl_aware,0.9115506822888593,0.8628888888888889,0.29781664146303244,0.003505461194212099,0.005588789484426365,0.005824559597413321,5
openml:31,classification,block,0.3,tabicl_aware,0.7271388664752689,0.7310710177331068,0.5386553494674382,0.04089387551478327,0.0040783800421629645,0.0076147726409798375,5
openml:31,classification,block,0.5,tabicl_aware,0.7006402185599048,0.6862965431490732,0.5863892008582186,0.08258649423929974,0.04076237341354353,0.018969574185049604,5
openml:31,classification,block_shift,0.3,tabicl_aware,0.7014988458647311,0.7093212470191024,0.5504360159465885,0.06855767893606317,0.023875738762943046,0.034972815974775764,5
openml:31,classification,block_shift,0.5,tabicl_aware,0.6789209686928246,0.6931333286491234,0.5899746206801264,0.0890290154855739,0.014512367679555476,0.018561302853219195,5
openml:31,classification,none,0.0,tabicl_aware,0.817968253968254,0.776,0.4676145461635528,0.022048216452049855,0.014794894014114759,0.018406309828906568,5
wine,classification,block,0.3,tabicl_aware,0.9935662602394568,0.9201548435751471,0.21659118503058084,0.0074893876730868485,0.07047638471789976,0.1832626274895762,5
wine,classification,block,0.5,tabicl_aware,0.9921405015431277,0.9100544549528415,0.18850421899843353,0.007307096837225656,0.034246649015852844,0.05861567585130633,5
wine,classification,block_shift,0.3,tabicl_aware,0.9892915522197875,0.8771235950956064,0.2741020794285322,0.008723764711307948,0.033939037201049224,0.06481068300665561,5
wine,classification,block_shift,0.5,tabicl_aware,0.9256625847867431,0.7630487449165252,0.6330037884161135,0.05734864757226561,0.0601508123544366,0.2587167940559699,5
wine,classification,none,0.0,tabicl_aware,1.0,0.9888888888888889,0.022391096200823395,0.0,0.010143010324169704,0.017807220239869036,5
